Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,9167,2018-09-21--2018-09-28,cy,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,8407,2018-09-21--2018-09-28,cy,0Dn40gxVCMo5TkgS8Ik18Q
3,Lucky You (feat. Joyner Lucas),Eminem,7136,2018-09-21--2018-09-28,cy,60SdxE8apGAxMiRrpbmLY0
4,Promises (with Sam Smith),Calvin Harris,6282,2018-09-21--2018-09-28,cy,5N5k9nd479b1xpDZ4usjrg
5,Killshot,Eminem,6198,2018-09-21--2018-09-28,cy,1jo3TwNGCXfNdB5uba3ZVv
6,In My Mind,Dynoro,6145,2018-09-21--2018-09-28,cy,0E9ZjEAyAwOXZ7wJC0PD33
7,Happier,Marshmello,5896,2018-09-21--2018-09-28,cy,2dpaYNEQHiRxtZbfNsse99
8,Eastside (with Halsey & Khalid),benny blanco,5377,2018-09-21--2018-09-28,cy,0d2iYfpKoM0QCKvcLCkBao
9,In My Feelings,Drake,5266,2018-09-21--2018-09-28,cy,2G7V7zsVDxg1yRsu7Ew9RJ
10,Better,Khalid,5192,2018-09-21--2018-09-28,cy,4T3fNx3CgwDRRYgmFCbD4J
11,Be Alright,Dean Lewis,4655,2018-09-21--2018-09-28,cy,3EPXxR3ImUwfayaurPi3cm
12,Natural,Imagine Dragons,4283,2018-09-21--2018-09-28,cy,4zIO3ilp5HvTeK3HJHxhMP
13,SICKO MODE,Travis Scott,4060,2018-09-21--2018-09-28,cy,2xLMifQCjDGFmkHkpNLD9h
14,breathin,Ariana Grande,3928,2018-09-21--2018-09-28,cy,4OafepJy2teCjYJbvFE60J
15,Thunderclouds,Sia,3833,2018-09-21--2018-09-28,cy,5a8RPWgKSmcGBGcffmIrUi
16,Electricity (with Dua Lipa),Silk City,3831,2018-09-21--2018-09-28,cy,5N4erncE7kuUccm7zEmwzk
17,Lucid Dreams,Juice WRLD,3714,2018-09-21--2018-09-28,cy,0s3nnoMeVWz3989MkNQiRf
18,I Like It,Cardi B,3703,2018-09-21--2018-09-28,cy,58q2HKrzhC3ozto2nDdN4z
19,Girls Like You (feat. Cardi B),Maroon 5,3679,2018-09-21--2018-09-28,cy,7fa9MBXhVfQ8P8Df9OEbD8
20,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,3608,2018-09-21--2018-09-28,cy,2E124GmJRnBJuXbTb4cPUB
21,Wake Up in the Sky,Gucci Mane,3587,2018-09-21--2018-09-28,cy,0QIjsbm2fh1cJ45XO9eGqq
22,No Stylist,French Montana,3466,2018-09-21--2018-09-28,cy,04MLEeAMuV9IlHEsD8vF6A
23,No Brainer,DJ Khaled,3375,2018-09-21--2018-09-28,cy,5WvAo7DNuPRmk4APhdPzi8
24,God is a woman,Ariana Grande,3314,2018-09-21--2018-09-28,cy,5OCJzvD7sykQEKHH7qAC3C
25,Taste (feat. Offset),Tyga,3279,2018-09-21--2018-09-28,cy,5IaHrVsrferBYDm0bDyABy
26,Shotgun,George Ezra,3261,2018-09-21--2018-09-28,cy,4ofwffwvvnbSkrMSCKQDaC
27,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,3256,2018-09-21--2018-09-28,cy,5Xn4IyTtW6FUGIUyWjbUHG
28,Better Now,Post Malone,3237,2018-09-21--2018-09-28,cy,7dt6x5M1jzdTEt8oCbisTK
29,Jackie Chan,Tiësto,3192,2018-09-21--2018-09-28,cy,4kWO6O1BUXcZmaxitpVUwp
30,Solo (feat. Demi Lovato),Clean Bandit,3184,2018-09-21--2018-09-28,cy,6kPJZM97LwdG9QIsT7khp6
31,no tears left to cry,Ariana Grande,3052,2018-09-21--2018-09-28,cy,2qT1uLXPVPzGgFOx4jtEuo
32,Beautiful (feat. Camila Cabello),Bazzi,2986,2018-09-21--2018-09-28,cy,4VUwkH455At9kENOfzTqmF
33,The Ringer,Eminem,2955,2018-09-21--2018-09-28,cy,2jt2WxXMCD4zjACthkJQVE
34,SAD!,XXXTENTACION,2948,2018-09-21--2018-09-28,cy,3ee8Jmje8o58CHK66QrVC2
35,REMEDY,Alesso,2815,2018-09-21--2018-09-28,cy,6jreFSOTUAViWjKyzOC4Kg
36,Nonstop,Drake,2808,2018-09-21--2018-09-28,cy,0TlLq3lA83rQOYtrqBqSct
37,Fall,Eminem,2767,2018-09-21--2018-09-28,cy,58QhkbaAkLFnn7JwAnAato
38,Body (feat. Brando),Loud Luxury,2718,2018-09-21--2018-09-28,cy,7K7MUBCnzgBAvMVW2RTWNs
39,Rise,Jonas Blue,2717,2018-09-21--2018-09-28,cy,3u1S1OmAUhx5DRlLrXqyp3
40,Youngblood,5 Seconds of Summer,2674,2018-09-21--2018-09-28,cy,2iUXsYOEPhVqEBwsqP70rE
41,Not Alike (feat. Royce Da 5'9),Eminem,2645,2018-09-21--2018-09-28,cy,28FGV3ORH14MYORd7s5dlU
42,One Kiss (with Dua Lipa),Calvin Harris,2611,2018-09-21--2018-09-28,cy,7ef4DlsgrMEH11cDZd32M6
43,Ocean (feat. Khalid),Martin Garrix,2611,2018-09-21--2018-09-28,cy,3nc420PXjTdBV5TN0gCFkS
44,God's Plan,Drake,2598,2018-09-21--2018-09-28,cy,6DCZcSspjsKoFjzjrWoCdn
45,rockstar (feat. 21 Savage),Post Malone,2564,2018-09-21--2018-09-28,cy,0e7ipj03S05BNilyu5bRzt
46,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,2534,2018-09-21--2018-09-28,cy,3DGar7krWlmrXRFHBcQF6z
47,Nevermind,Dennis Lloyd,2447,2018-09-21--2018-09-28,cy,63SevszngYpZOwf63o61K4
48,Moonlight,XXXTENTACION,2439,2018-09-21--2018-09-28,cy,0JP9xo3adEtGSdUEISiszL
49,Giati,Melisses,2427,2018-09-21--2018-09-28,cy,0jB3HjnsEVcbBPSt7q5coh
50,Happy Now,Zedd,2199,2018-09-21--2018-09-28,cy,4keoy2fqgwGnbWlm3ZVZFa
51,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,2196,2018-09-21--2018-09-28,cy,15kQGEy89K8deJcZVFEn0N
52,Let You Love Me,Rita Ora,2168,2018-09-21--2018-09-28,cy,6xtcFXSo8H9BZN637BMVKS
53,Say My Name,David Guetta,2056,2018-09-21--2018-09-28,cy,0YammaEkYSeo9vQYZ1OwS6
54,2002,Anne-Marie,2035,2018-09-21--2018-09-28,cy,2BgEsaKNfHUdlh97KmvFyo
55,Want To,Dua Lipa,2028,2018-09-21--2018-09-28,cy,0CBFOvHlyqy30Q5tbyNHfQ
56,New Patek,Lil Uzi Vert,2013,2018-09-21--2018-09-28,cy,0Fpen1PTuEnCmOJtUU9Iud
57,Noticed,Lil Mosey,2006,2018-09-21--2018-09-28,cy,7d6XJZjnm7iWcKwYL9z5kC
58,Flames,David Guetta,1971,2018-09-21--2018-09-28,cy,66BjcDhhwWCcQIBxHMpKXh
59,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1957,2018-09-21--2018-09-28,cy,4hQ6UGyWQIGJmHSo0J88JW
60,Jocelyn Flores,XXXTENTACION,1953,2018-09-21--2018-09-28,cy,7m9OqQk4RVRkw9JJdeAw96
61,Love Someone,Lukas Graham,1942,2018-09-21--2018-09-28,cy,2JqnpexlO9dmvjUMCaLCLJ
62,Kamikaze,Eminem,1936,2018-09-21--2018-09-28,cy,2gsNpSn7VvvJuSrIDfRoYy
63,Venom - Music From The Motion Picture,Eminem,1915,2018-09-21--2018-09-28,cy,2SL6oP2YAEQbqsrkOzRGO4
64,Greatest,Eminem,1904,2018-09-21--2018-09-28,cy,2XTquzYQAdT1Hk78bOUwsv
65,RAP DEVIL,Machine Gun Kelly,1896,2018-09-21--2018-09-28,cy,43TP6JCWXgkc2D7Xjz5hBr
66,IDGAF,Dua Lipa,1874,2018-09-21--2018-09-28,cy,76cy1WJvNGJTj78UqeA5zr
67,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1870,2018-09-21--2018-09-28,cy,7ycWLEP1GsNjVvcjawXz3z
68,I'm a Mess,Bebe Rexha,1857,2018-09-21--2018-09-28,cy,04ZTP5KsCypmtCmQg5tH9R
69,lovely (with Khalid),Billie Eilish,1833,2018-09-21--2018-09-28,cy,0u2P5u6lvoDfwTYjAADbn4
70,Te Boté - Remix,Nio Garcia,1823,2018-09-21--2018-09-28,cy,3V8UKqhEK5zBkBb6d6ub8i
71,FRIENDS,Marshmello,1794,2018-09-21--2018-09-28,cy,08bNPGLD8AhKpnnERrAc6G
72,High On Life (feat. Bonn),Martin Garrix,1787,2018-09-21--2018-09-28,cy,4ut5G4rgB1ClpMTMfjoIuy
73,Havana (feat. Young Thug),Camila Cabello,1781,2018-09-21--2018-09-28,cy,1rfofaqEpACxVEHIZBJe6W
74,Nice For What,Drake,1774,2018-09-21--2018-09-28,cy,3CA9pLiwRIGtUBiMjbZmRw
75,Blah Blah Blah,Armin van Buuren,1771,2018-09-21--2018-09-28,cy,0tp6mwUt99QnfY95T30Lqj
76,Thunder,Imagine Dragons,1741,2018-09-21--2018-09-28,cy,1zB4vmk8tFRmM9UULNzbLB
77,Born To Be Yours,Kygo,1703,2018-09-21--2018-09-28,cy,0kHyKhJMukHEPfeh8s7rdM
78,High Hopes,Panic! At The Disco,1687,2018-09-21--2018-09-28,cy,1rqqCSm0Qe4I9rUvWncaom
79,The Middle,Zedd,1679,2018-09-21--2018-09-28,cy,09IStsImFySgyp0pIQdqAc
80,BEBE,6ix9ine,1665,2018-09-21--2018-09-28,cy,7ATATJztoWLcqDAcVVof0C
81,Believer,Imagine Dragons,1657,2018-09-21--2018-09-28,cy,0pqnGHJpmpxLKifKRmU6WP
82,SWISH,Tyga,1627,2018-09-21--2018-09-28,cy,55GiOwtxNajXVbpjjIzMnD
83,All I Am,Jess Glynne,1618,2018-09-21--2018-09-28,cy,6X6SdJzxyw7GzxwP2fr9WV
84,Don’t Matter To Me (with Michael Jackson),Drake,1614,2018-09-21--2018-09-28,cy,6G8kHiVZ1jW7vHMPVRNZU0
85,These Days,Rudimental,1609,2018-09-21--2018-09-28,cy,5CLGzJsGqhCEECcpnFQA8x
86,STARGAZING,Travis Scott,1609,2018-09-21--2018-09-28,cy,7wBJfHzpfI3032CSD7CE2m
87,Bella ciao - HUGEL Remix,El Profesor,1580,2018-09-21--2018-09-28,cy,1MFSD0AkPk8Yq7TDEhrHcb
88,Mo Bamba,Sheck Wes,1576,2018-09-21--2018-09-28,cy,3QybPutx0Tjk472bBKjNWn
89,changes,XXXTENTACION,1551,2018-09-21--2018-09-28,cy,7AFASza1mXqntmGtbxXprO
90,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,1524,2018-09-21--2018-09-28,cy,2zy9TMoZlYGuCNY4TLqG24
91,New Rules,Dua Lipa,1524,2018-09-21--2018-09-28,cy,2ekn2ttSfGqwhhate0LSR0
92,Unforgettable,French Montana,1523,2018-09-21--2018-09-28,cy,3B54sVLJ402zGa6Xm4YGNe
93,Look Alive (feat. Drake),BlocBoy JB,1488,2018-09-21--2018-09-28,cy,4qKcDkK6siZ7Jp1Jb4m0aL
94,Barking,Ramz,1478,2018-09-21--2018-09-28,cy,2U5cq89GCnsR1yixKkC8d5
95,Vaina Loca,Ozuna,1475,2018-09-21--2018-09-28,cy,48zFZh27QU5qsrBjn4C2FA
96,Stepping Stone,Eminem,1473,2018-09-21--2018-09-28,cy,60Z57Wdrn0pEVpHI7d7GAX
97,Call Out My Name,The Weeknd,1436,2018-09-21--2018-09-28,cy,1gm616Plq4ScqNi7TVkZ5N
98,Creep On Me,GASHI,1435,2018-09-21--2018-09-28,cy,1MUL6DO2gVimj2YrVedubd
99,Ola Moiazoun Kalokairi,Melisses,1431,2018-09-21--2018-09-28,cy,2HBfbTWVjOO0JpVvdwzcSG
100,Shape of You,Ed Sheeran,1415,2018-09-21--2018-09-28,cy,7qiZfU4dY1lWllzX7mPBI3
101,Silence,Marshmello,1409,2018-09-21--2018-09-28,cy,7vGuf3Y35N4wmASOKLUVVU
102,Trip,Ella Mai,1398,2018-09-21--2018-09-28,cy,7noud145AHZGg74vpWOsCa
103,Love Lies (with Normani),Khalid,1393,2018-09-21--2018-09-28,cy,45Egmo7icyopuzJN0oMEdk
104,Fuego,Eleni Foureira,1386,2018-09-21--2018-09-28,cy,4TwWOcvjY1qt3QJvtveAGm
105,Agapo Simeni,Giorgos Mazonakis,1383,2018-09-21--2018-09-28,cy,5kMtCT2rpD26KCiHFu5VqY
106,To Kryfto,Melisses,1377,2018-09-21--2018-09-28,cy,4XCDaCYXPc0zJZ5ESym31k
107,Fuck Love (feat. Trippie Redd),XXXTENTACION,1340,2018-09-21--2018-09-28,cy,7AQim7LbvFVZJE3O8TYgf2
108,River (feat. Ed Sheeran),Eminem,1331,2018-09-21--2018-09-28,cy,1cS0TgbR263ey9jn0MwD2s
109,8 Letters,Why Don't We,1326,2018-09-21--2018-09-28,cy,4zRZAmBQP8vhNPf9i9opXt
110,In My Blood,Shawn Mendes,1322,2018-09-21--2018-09-28,cy,2QZ7WLBE8h2y1Y5Fb8RYbH
