Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,45519,2018-09-21--2018-09-28,ee,0Dn40gxVCMo5TkgS8Ik18Q
2,öölaps!,Nublu,35027,2018-09-21--2018-09-28,ee,70qZhu8T6VHpeugYFZCnVk
3,I Love It (& Lil Pump),Kanye West,32439,2018-09-21--2018-09-28,ee,4S8d14HvHb70ImctNgVzQQ
4,Promises (with Sam Smith),Calvin Harris,29081,2018-09-21--2018-09-28,ee,5N5k9nd479b1xpDZ4usjrg
5,Mina Ka,Nublu,26795,2018-09-21--2018-09-28,ee,4WTIwGBQobHLNo320RhOWW
6,In My Mind,Dynoro,26172,2018-09-21--2018-09-28,ee,0E9ZjEAyAwOXZ7wJC0PD33
7,Happier,Marshmello,19283,2018-09-21--2018-09-28,ee,2dpaYNEQHiRxtZbfNsse99
8,2 Quick Start,Nublu,18990,2018-09-21--2018-09-28,ee,60mPI11SKSZFlLKzt3KXv5
9,Lucky You (feat. Joyner Lucas),Eminem,18701,2018-09-21--2018-09-28,ee,60SdxE8apGAxMiRrpbmLY0
10,Eastside (with Halsey & Khalid),benny blanco,18685,2018-09-21--2018-09-28,ee,0d2iYfpKoM0QCKvcLCkBao
11,Be Alright,Dean Lewis,16515,2018-09-21--2018-09-28,ee,3EPXxR3ImUwfayaurPi3cm
12,Better,Khalid,15218,2018-09-21--2018-09-28,ee,4T3fNx3CgwDRRYgmFCbD4J
13,Lucid Dreams,Juice WRLD,14928,2018-09-21--2018-09-28,ee,0s3nnoMeVWz3989MkNQiRf
14,REMEDY,Alesso,13952,2018-09-21--2018-09-28,ee,6jreFSOTUAViWjKyzOC4Kg
15,Thunderclouds,Sia,13174,2018-09-21--2018-09-28,ee,5a8RPWgKSmcGBGcffmIrUi
16,Better Now,Post Malone,13141,2018-09-21--2018-09-28,ee,7dt6x5M1jzdTEt8oCbisTK
17,Natural,Imagine Dragons,12871,2018-09-21--2018-09-28,ee,4zIO3ilp5HvTeK3HJHxhMP
18,In My Feelings,Drake,12841,2018-09-21--2018-09-28,ee,2G7V7zsVDxg1yRsu7Ew9RJ
19,SAD!,XXXTENTACION,12433,2018-09-21--2018-09-28,ee,3ee8Jmje8o58CHK66QrVC2
20,Nevermind,Dennis Lloyd,12084,2018-09-21--2018-09-28,ee,63SevszngYpZOwf63o61K4
21,I Got Love,MiyaGi & Endshpil,11890,2018-09-21--2018-09-28,ee,5rwsJbBNa8SfPW4oFA1GjP
22,Rulli Rulli Rulli - Nublu Remix,Öed,11857,2018-09-21--2018-09-28,ee,5qdzvhnYpGt6rogTlOcJe3
23,Wake Up in the Sky,Gucci Mane,11569,2018-09-21--2018-09-28,ee,0QIjsbm2fh1cJ45XO9eGqq
24,Body (feat. Brando),Loud Luxury,11510,2018-09-21--2018-09-28,ee,7K7MUBCnzgBAvMVW2RTWNs
25,breathin,Ariana Grande,11383,2018-09-21--2018-09-28,ee,4OafepJy2teCjYJbvFE60J
26,Electricity (with Dua Lipa),Silk City,11343,2018-09-21--2018-09-28,ee,5N4erncE7kuUccm7zEmwzk
27,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,10977,2018-09-21--2018-09-28,ee,5Xn4IyTtW6FUGIUyWjbUHG
28,Killshot,Eminem,10814,2018-09-21--2018-09-28,ee,1jo3TwNGCXfNdB5uba3ZVv
29,Beautiful (feat. Camila Cabello),Bazzi,10530,2018-09-21--2018-09-28,ee,4VUwkH455At9kENOfzTqmF
30,Youngblood,5 Seconds of Summer,10298,2018-09-21--2018-09-28,ee,2iUXsYOEPhVqEBwsqP70rE
31,Happy Now,Zedd,10113,2018-09-21--2018-09-28,ee,4keoy2fqgwGnbWlm3ZVZFa
32,Jocelyn Flores,XXXTENTACION,9976,2018-09-21--2018-09-28,ee,7m9OqQk4RVRkw9JJdeAw96
33,SICKO MODE,Travis Scott,9969,2018-09-21--2018-09-28,ee,2xLMifQCjDGFmkHkpNLD9h
34,Shotgun,George Ezra,9765,2018-09-21--2018-09-28,ee,4ofwffwvvnbSkrMSCKQDaC
35,Darkside,Alan Walker,9614,2018-09-21--2018-09-28,ee,1snWlbcbgQpJfknoI30DWG
36,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,9521,2018-09-21--2018-09-28,ee,3DGar7krWlmrXRFHBcQF6z
37,Let You Love Me,Rita Ora,9326,2018-09-21--2018-09-28,ee,6xtcFXSo8H9BZN637BMVKS
38,Jackie Chan,Tiësto,9304,2018-09-21--2018-09-28,ee,4kWO6O1BUXcZmaxitpVUwp
39,Moonlight,XXXTENTACION,9296,2018-09-21--2018-09-28,ee,0JP9xo3adEtGSdUEISiszL
40,High On Life (feat. Bonn),Martin Garrix,9210,2018-09-21--2018-09-28,ee,4ut5G4rgB1ClpMTMfjoIuy
41,Girls Like You (feat. Cardi B),Maroon 5,9076,2018-09-21--2018-09-28,ee,7fa9MBXhVfQ8P8Df9OEbD8
42,rockstar (feat. 21 Savage),Post Malone,8930,2018-09-21--2018-09-28,ee,0e7ipj03S05BNilyu5bRzt
43,No Stylist,French Montana,8829,2018-09-21--2018-09-28,ee,04MLEeAMuV9IlHEsD8vF6A
44,Solo (feat. Demi Lovato),Clean Bandit,8578,2018-09-21--2018-09-28,ee,6kPJZM97LwdG9QIsT7khp6
45,Ocean (feat. Khalid),Martin Garrix,8482,2018-09-21--2018-09-28,ee,3nc420PXjTdBV5TN0gCFkS
46,Rise,Jonas Blue,8473,2018-09-21--2018-09-28,ee,3u1S1OmAUhx5DRlLrXqyp3
47,Trenažöör,5MIINUST,8201,2018-09-21--2018-09-28,ee,6CUrRWNO3KlHuvuw8yESSU
48,The Ringer,Eminem,8158,2018-09-21--2018-09-28,ee,2jt2WxXMCD4zjACthkJQVE
49,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,7983,2018-09-21--2018-09-28,ee,15kQGEy89K8deJcZVFEn0N
50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7808,2018-09-21--2018-09-28,ee,2E124GmJRnBJuXbTb4cPUB
51,No Brainer,DJ Khaled,7699,2018-09-21--2018-09-28,ee,5WvAo7DNuPRmk4APhdPzi8
52,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,7541,2018-09-21--2018-09-28,ee,7ycWLEP1GsNjVvcjawXz3z
53,Fall,Eminem,7410,2018-09-21--2018-09-28,ee,58QhkbaAkLFnn7JwAnAato
54,Born To Be Yours,Kygo,7316,2018-09-21--2018-09-28,ee,0kHyKhJMukHEPfeh8s7rdM
55,One Kiss (with Dua Lipa),Calvin Harris,7238,2018-09-21--2018-09-28,ee,7ef4DlsgrMEH11cDZd32M6
