Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,685144,2018-09-21--2018-09-28,fi,0Dn40gxVCMo5TkgS8Ik18Q
2,Mulkut - Vain Elämää Kausi 9,Pyhimys,494922,2018-09-21--2018-09-28,fi,2kby1hpTWuRzTfM20T9mrq
3,I Love It (& Lil Pump),Kanye West,396137,2018-09-21--2018-09-28,fi,4S8d14HvHb70ImctNgVzQQ
4,Perutaan Häät - Vain Elämää Kausi 9,Teflon Brothers,377754,2018-09-21--2018-09-28,fi,6lz4EdYV6oWYdAADxOleEz
5,In My Mind,Dynoro,375946,2018-09-21--2018-09-28,fi,0E9ZjEAyAwOXZ7wJC0PD33
6,Planeetat,Ida Paul & Kalle Lindroth,316261,2018-09-21--2018-09-28,fi,5T0V37aEWjTmR1EKDVrCT1
7,Lucky You (feat. Joyner Lucas),Eminem,302633,2018-09-21--2018-09-28,fi,60SdxE8apGAxMiRrpbmLY0
8,Kyynelten virta,Reino Nordin,297430,2018-09-21--2018-09-28,fi,363JrcPMzb2x6lHCTjf9WM
9,Funeral Song (Vain elämää kausi 9),Ellinoora,285742,2018-09-21--2018-09-28,fi,7KCQCgw903m8P7PEbHrOZi
10,Promises (with Sam Smith),Calvin Harris,277201,2018-09-21--2018-09-28,fi,5N5k9nd479b1xpDZ4usjrg
11,Asfalttiviidakko - Vain Elämää Kausi 9,Evelina,267655,2018-09-21--2018-09-28,fi,7FCxlHGvfI7FvuTJWDBwJB
12,XTC,Lukas Leon,264034,2018-09-21--2018-09-28,fi,17OUBczN4xbjuCDcx0xmXL
13,Darkside,Alan Walker,260591,2018-09-21--2018-09-28,fi,1snWlbcbgQpJfknoI30DWG
14,Say My Name,David Guetta,247164,2018-09-21--2018-09-28,fi,0YammaEkYSeo9vQYZ1OwS6
15,Lucid Dreams,Juice WRLD,238017,2018-09-21--2018-09-28,fi,0s3nnoMeVWz3989MkNQiRf
16,Made in Heaven,Jenni Vartiainen,227164,2018-09-21--2018-09-28,fi,5V7QO5EdUB91ksf7FgBcCc
17,Forza Italia,Spekti,222041,2018-09-21--2018-09-28,fi,7JEv9Hj3qJbFqcNqwsVMUh
18,Mun sydän,Kaija Koo,216467,2018-09-21--2018-09-28,fi,1wPQdWUqzqCRKjdP5zOXQy
19,Happier,Marshmello,212971,2018-09-21--2018-09-28,fi,2dpaYNEQHiRxtZbfNsse99
20,Leijonakuningas - Vain Elämää Kausi 9,Evelina,208789,2018-09-21--2018-09-28,fi,7l3yGGqkmCPdb7oOnVBCf2
21,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,208744,2018-09-21--2018-09-28,fi,3DGar7krWlmrXRFHBcQF6z
22,Mitä Mä Malagas?,Gasellit,203649,2018-09-21--2018-09-28,fi,5xv2Mp3X6DeMaO0do5Xh99
23,REMEDY,Alesso,200456,2018-09-21--2018-09-28,fi,6jreFSOTUAViWjKyzOC4Kg
24,Valot sammuu,Cheek,198849,2018-09-21--2018-09-28,fi,39J7BoHrpoR9V3vUBIj1wK
