Position,Track Name,Artist,Streams,date,region,id
1,Promises (with Sam Smith),Calvin Harris,3239859,2018-09-21--2018-09-28,gb,5N5k9nd479b1xpDZ4usjrg
2,I Love It (& Lil Pump),Kanye West,3214379,2018-09-21--2018-09-28,gb,4S8d14HvHb70ImctNgVzQQ
3,Eastside (with Halsey & Khalid),benny blanco,3169086,2018-09-21--2018-09-28,gb,0d2iYfpKoM0QCKvcLCkBao
4,Happier,Marshmello,2602036,2018-09-21--2018-09-28,gb,2dpaYNEQHiRxtZbfNsse99
5,Electricity (with Dua Lipa),Silk City,2209167,2018-09-21--2018-09-28,gb,5N4erncE7kuUccm7zEmwzk
6,Falling Down - Bonus Track,Lil Peep,2062214,2018-09-21--2018-09-28,gb,0Dn40gxVCMo5TkgS8Ik18Q
7,In My Feelings,Drake,1936988,2018-09-21--2018-09-28,gb,2G7V7zsVDxg1yRsu7Ew9RJ
8,Body (feat. Brando),Loud Luxury,1934228,2018-09-21--2018-09-28,gb,7K7MUBCnzgBAvMVW2RTWNs
9,Taste (feat. Offset),Tyga,1780443,2018-09-21--2018-09-28,gb,5IaHrVsrferBYDm0bDyABy
10,Lucid Dreams,Juice WRLD,1735318,2018-09-21--2018-09-28,gb,0s3nnoMeVWz3989MkNQiRf
11,Shotgun,George Ezra,1711522,2018-09-21--2018-09-28,gb,4ofwffwvvnbSkrMSCKQDaC
12,In My Mind,Dynoro,1694798,2018-09-21--2018-09-28,gb,0E9ZjEAyAwOXZ7wJC0PD33
13,Lucky You (feat. Joyner Lucas),Eminem,1688879,2018-09-21--2018-09-28,gb,60SdxE8apGAxMiRrpbmLY0
14,God is a woman,Ariana Grande,1618001,2018-09-21--2018-09-28,gb,5OCJzvD7sykQEKHH7qAC3C
15,No Brainer,DJ Khaled,1587433,2018-09-21--2018-09-28,gb,5WvAo7DNuPRmk4APhdPzi8
16,breathin,Ariana Grande,1503732,2018-09-21--2018-09-28,gb,4OafepJy2teCjYJbvFE60J
17,Be Alright,Dean Lewis,1437282,2018-09-21--2018-09-28,gb,3EPXxR3ImUwfayaurPi3cm
18,All I Am,Jess Glynne,1423133,2018-09-21--2018-09-28,gb,6X6SdJzxyw7GzxwP2fr9WV
19,SICKO MODE,Travis Scott,1355432,2018-09-21--2018-09-28,gb,2xLMifQCjDGFmkHkpNLD9h
20,Killshot,Eminem,1322789,2018-09-21--2018-09-28,gb,1jo3TwNGCXfNdB5uba3ZVv
21,Rise,Jonas Blue,1266512,2018-09-21--2018-09-28,gb,3u1S1OmAUhx5DRlLrXqyp3
22,High Hopes,Panic! At The Disco,1250257,2018-09-21--2018-09-28,gb,1rqqCSm0Qe4I9rUvWncaom
23,Best Life,Hardy Caprio,1134882,2018-09-21--2018-09-28,gb,3wAyZwtyyLMsJNG7Mb17ky
