Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,33921412,2018-09-21--2018-09-28,global,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,32511658,2018-09-21--2018-09-28,global,0Dn40gxVCMo5TkgS8Ik18Q
3,Happier,Marshmello,24222554,2018-09-21--2018-09-28,global,2dpaYNEQHiRxtZbfNsse99
4,In My Feelings,Drake,22304777,2018-09-21--2018-09-28,global,2G7V7zsVDxg1yRsu7Ew9RJ
5,Eastside (with Halsey & Khalid),benny blanco,22293206,2018-09-21--2018-09-28,global,0d2iYfpKoM0QCKvcLCkBao
6,Promises (with Sam Smith),Calvin Harris,21838886,2018-09-21--2018-09-28,global,5N5k9nd479b1xpDZ4usjrg
7,In My Mind,Dynoro,21515150,2018-09-21--2018-09-28,global,0E9ZjEAyAwOXZ7wJC0PD33
8,Lucky You (feat. Joyner Lucas),Eminem,21396072,2018-09-21--2018-09-28,global,60SdxE8apGAxMiRrpbmLY0
9,Lucid Dreams,Juice WRLD,18879687,2018-09-21--2018-09-28,global,0s3nnoMeVWz3989MkNQiRf
10,SICKO MODE,Travis Scott,18709601,2018-09-21--2018-09-28,global,2xLMifQCjDGFmkHkpNLD9h
11,Girls Like You (feat. Cardi B),Maroon 5,17296395,2018-09-21--2018-09-28,global,7fa9MBXhVfQ8P8Df9OEbD8
12,Better,Khalid,17251714,2018-09-21--2018-09-28,global,4T3fNx3CgwDRRYgmFCbD4J
13,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,17127554,2018-09-21--2018-09-28,global,2E124GmJRnBJuXbTb4cPUB
14,Be Alright,Dean Lewis,16717631,2018-09-21--2018-09-28,global,3EPXxR3ImUwfayaurPi3cm
15,Electricity (with Dua Lipa),Silk City,15870224,2018-09-21--2018-09-28,global,5N4erncE7kuUccm7zEmwzk
16,SAD!,XXXTENTACION,15723393,2018-09-21--2018-09-28,global,3ee8Jmje8o58CHK66QrVC2
17,BEBE,6ix9ine,15026546,2018-09-21--2018-09-28,global,7ATATJztoWLcqDAcVVof0C
