Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,57242,2018-09-21--2018-09-28,gr,4S8d14HvHb70ImctNgVzQQ
2,Lucky You (feat. Joyner Lucas),Eminem,47369,2018-09-21--2018-09-28,gr,60SdxE8apGAxMiRrpbmLY0
3,Falling Down - Bonus Track,Lil Peep,45740,2018-09-21--2018-09-28,gr,0Dn40gxVCMo5TkgS8Ik18Q
4,In My Feelings,Drake,37182,2018-09-21--2018-09-28,gr,2G7V7zsVDxg1yRsu7Ew9RJ
5,Promises (with Sam Smith),Calvin Harris,36040,2018-09-21--2018-09-28,gr,5N5k9nd479b1xpDZ4usjrg
6,SICKO MODE,Travis Scott,32219,2018-09-21--2018-09-28,gr,2xLMifQCjDGFmkHkpNLD9h
7,Killshot,Eminem,31939,2018-09-21--2018-09-28,gr,1jo3TwNGCXfNdB5uba3ZVv
8,Happier,Marshmello,30072,2018-09-21--2018-09-28,gr,2dpaYNEQHiRxtZbfNsse99
9,In My Mind,Dynoro,28722,2018-09-21--2018-09-28,gr,0E9ZjEAyAwOXZ7wJC0PD33
10,Better,Khalid,28459,2018-09-21--2018-09-28,gr,4T3fNx3CgwDRRYgmFCbD4J
11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,27753,2018-09-21--2018-09-28,gr,2E124GmJRnBJuXbTb4cPUB
12,Eastside (with Halsey & Khalid),benny blanco,27011,2018-09-21--2018-09-28,gr,0d2iYfpKoM0QCKvcLCkBao
13,breathin,Ariana Grande,26414,2018-09-21--2018-09-28,gr,4OafepJy2teCjYJbvFE60J
14,Natural,Imagine Dragons,25632,2018-09-21--2018-09-28,gr,4zIO3ilp5HvTeK3HJHxhMP
15,Be Alright,Dean Lewis,25513,2018-09-21--2018-09-28,gr,3EPXxR3ImUwfayaurPi3cm
16,Nonstop,Drake,24373,2018-09-21--2018-09-28,gr,0TlLq3lA83rQOYtrqBqSct
17,God is a woman,Ariana Grande,23718,2018-09-21--2018-09-28,gr,5OCJzvD7sykQEKHH7qAC3C
18,No Stylist,French Montana,23625,2018-09-21--2018-09-28,gr,04MLEeAMuV9IlHEsD8vF6A
