Position,Track Name,Artist,Streams,date,region,id
1,Head Above Water,Avril Lavigne,86895,2018-09-21--2018-09-28,hk,1N7YeVU0ZwAFbOhwM61ef6
2,Happier,Marshmello,77194,2018-09-21--2018-09-28,hk,2dpaYNEQHiRxtZbfNsse99
3,Better,Khalid,72828,2018-09-21--2018-09-28,hk,4T3fNx3CgwDRRYgmFCbD4J
4,Be Alright,Dean Lewis,66738,2018-09-21--2018-09-28,hk,3EPXxR3ImUwfayaurPi3cm
5,Lucky You (feat. Joyner Lucas),Eminem,65721,2018-09-21--2018-09-28,hk,60SdxE8apGAxMiRrpbmLY0
6,Eastside (with Halsey & Khalid),benny blanco,63447,2018-09-21--2018-09-28,hk,0d2iYfpKoM0QCKvcLCkBao
7,Beautiful (feat. Camila Cabello),Bazzi,58151,2018-09-21--2018-09-28,hk,4VUwkH455At9kENOfzTqmF
8,I Love It (& Lil Pump),Kanye West,57949,2018-09-21--2018-09-28,hk,4S8d14HvHb70ImctNgVzQQ
9,Falling Down - Bonus Track,Lil Peep,53283,2018-09-21--2018-09-28,hk,0Dn40gxVCMo5TkgS8Ik18Q
10,Promises (with Sam Smith),Calvin Harris,52445,2018-09-21--2018-09-28,hk,5N5k9nd479b1xpDZ4usjrg
11,Electricity (with Dua Lipa),Silk City,51020,2018-09-21--2018-09-28,hk,5N4erncE7kuUccm7zEmwzk
12,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,50802,2018-09-21--2018-09-28,hk,15kQGEy89K8deJcZVFEn0N
13,breathin,Ariana Grande,50632,2018-09-21--2018-09-28,hk,4OafepJy2teCjYJbvFE60J
14,Girls Like You (feat. Cardi B),Maroon 5,50508,2018-09-21--2018-09-28,hk,7fa9MBXhVfQ8P8Df9OEbD8
15,Darkside,Alan Walker,47848,2018-09-21--2018-09-28,hk,1snWlbcbgQpJfknoI30DWG
16,漸漸,Eason Chan,46736,2018-09-21--2018-09-28,hk,4zD2h6vDuzVm1QWyQJlb0P
17,Happy Now,Zedd,45612,2018-09-21--2018-09-28,hk,4keoy2fqgwGnbWlm3ZVZFa
18,心之科學,Joey Yung,45389,2018-09-21--2018-09-28,hk,1gVMd7oYGo6Whlgg7pAa7M
19,說散就散,JC 陳泳彤,45114,2018-09-21--2018-09-28,hk,3CE1HoJJ0FVKo7JHsWIuvC
20,Wake Up in the Sky,Gucci Mane,44983,2018-09-21--2018-09-28,hk,0QIjsbm2fh1cJ45XO9eGqq
21,In My Feelings,Drake,44344,2018-09-21--2018-09-28,hk,2G7V7zsVDxg1yRsu7Ew9RJ
22,8 Letters,Why Don't We,43327,2018-09-21--2018-09-28,hk,4zRZAmBQP8vhNPf9i9opXt
23,別𠱁我,JC 陳泳彤,43282,2018-09-21--2018-09-28,hk,6VeoA1vxx9dueepuakIbMr
24,Natural,Imagine Dragons,42460,2018-09-21--2018-09-28,hk,4zIO3ilp5HvTeK3HJHxhMP
25,認真如初,Jason Chan,41875,2018-09-21--2018-09-28,hk,51sLlaSnNj51ZQe799MmBy
26,那些你很冒險的夢,JJ Lin,41394,2018-09-21--2018-09-28,hk,5kZDxLcbqglZ2yYXg4Mkjc
27,Thunderclouds,Sia,40207,2018-09-21--2018-09-28,hk,5a8RPWgKSmcGBGcffmIrUi
28,No Brainer,DJ Khaled,39642,2018-09-21--2018-09-28,hk,5WvAo7DNuPRmk4APhdPzi8
29,千年如一日,Sammi Cheng,38796,2018-09-21--2018-09-28,hk,7mkgfcip1n2inHYT0zCj03
30,Love Someone,Lukas Graham,37999,2018-09-21--2018-09-28,hk,2JqnpexlO9dmvjUMCaLCLJ
31,可惜沒如果,JJ Lin,37380,2018-09-21--2018-09-28,hk,6WoQzK5Exbfcmow1AoNRkl
32,Havana (feat. Young Thug),Camila Cabello,36543,2018-09-21--2018-09-28,hk,1rfofaqEpACxVEHIZBJe6W
33,Creo en Mi (feat. Jackson Wang),Sammi Cheng,36234,2018-09-21--2018-09-28,hk,1hrF3WXuEqjP5N6wTHSDH3
34,SICKO MODE,Travis Scott,35111,2018-09-21--2018-09-28,hk,2xLMifQCjDGFmkHkpNLD9h
35,Shape of You,Ed Sheeran,34700,2018-09-21--2018-09-28,hk,7qiZfU4dY1lWllzX7mPBI3
36,可一可再,Eason Chan,34509,2018-09-21--2018-09-28,hk,2BdUhyGFGzId7Ahxm6vpCI
37,no tears left to cry,Ariana Grande,34474,2018-09-21--2018-09-28,hk,2qT1uLXPVPzGgFOx4jtEuo
38,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,33937,2018-09-21--2018-09-28,hk,5Xn4IyTtW6FUGIUyWjbUHG
39,God is a woman,Ariana Grande,33825,2018-09-21--2018-09-28,hk,5OCJzvD7sykQEKHH7qAC3C
40,長相廝守,ToNick,33699,2018-09-21--2018-09-28,hk,44TjgDPUGUqU3ylA8tBkVf
41,告白氣球,Jay Chou,33357,2018-09-21--2018-09-28,hk,1ivCIgrYZyE0BvItL4Z8lk
42,修煉愛情,JJ Lin,33016,2018-09-21--2018-09-28,hk,190kU2WKyIzx9XaBjfWRPk
43,後來的我們,Mayday,32883,2018-09-21--2018-09-28,hk,13AruKdh8wJhWx6i5dV8X1
44,Something Just Like This,The Chainsmokers,32734,2018-09-21--2018-09-28,hk,6RUKPb4LETWmmr3iAEQktW
45,In My Mind,Dynoro,32508,2018-09-21--2018-09-28,hk,0E9ZjEAyAwOXZ7wJC0PD33
46,不為誰而作的歌,JJ Lin,32422,2018-09-21--2018-09-28,hk,0VqSdtXseb9khdZrnYVyM1
47,等你下課,Jay Chou,32373,2018-09-21--2018-09-28,hk,76WthWB0v0KXUHZoAclMVV
48,勇悍‧17,Juno Mak,31361,2018-09-21--2018-09-28,hk,5Ysf9UTIairb0bZFZcvtIa
49,她說,JJ Lin,31232,2018-09-21--2018-09-28,hk,632VyMrvhsHIsO4zq9khts
50,DDU-DU DDU-DU - KR Ver.,BLACKPINK,31030,2018-09-21--2018-09-28,hk,2CWnuF7ht55Ajyeg4WPvWu
51,REMEDY,Alesso,30728,2018-09-21--2018-09-28,hk,6jreFSOTUAViWjKyzOC4Kg
52,假使世界原來不像你預期,Charmaine Fong,30205,2018-09-21--2018-09-28,hk,53HxUdYRCRMdzYPG0qhGUP
53,寧願當初不相見,Dear Jane,30191,2018-09-21--2018-09-28,hk,6ZJB06vzE9EtFVfVCv4Z4R
54,Perfect,Ed Sheeran,30132,2018-09-21--2018-09-28,hk,0tgVpDi06FyKpA1z0VMD4v
