Position,Track Name,Artist,Streams,date,region,id
1,Quiere Beber,Anuel AA,51166,2018-09-21--2018-09-28,hn,3rPAD722s5FFNnwjC91t7Z
2,BEBE,6ix9ine,46317,2018-09-21--2018-09-28,hn,7ATATJztoWLcqDAcVVof0C
3,Vaina Loca,Ozuna,43935,2018-09-21--2018-09-28,hn,48zFZh27QU5qsrBjn4C2FA
4,Toda - Remix,Alex Rose,41796,2018-09-21--2018-09-28,hn,7nD2JPaxIKUdxd2UWgnaGL
5,No Es Justo,J Balvin,38815,2018-09-21--2018-09-28,hn,5qFeMRz4TvetPmzjre9Dq7
6,Asesina,Brytiago,36143,2018-09-21--2018-09-28,hn,6rbhaJsE4uLzpPf8WYSHDK
7,Te Boté - Remix,Nio Garcia,33171,2018-09-21--2018-09-28,hn,3V8UKqhEK5zBkBb6d6ub8i
8,Hipócrita,Anuel AA,30945,2018-09-21--2018-09-28,hn,6XBjCetHKdO5L9cwMDVffw
9,Estamos Bien,Bad Bunny,30685,2018-09-21--2018-09-28,hn,7glCSQqV5o6NU88Cn4zPZn
10,La player (Bandolera),Zion & Lennox,29691,2018-09-21--2018-09-28,hn,0VKkyBKCXyR99navhVRqcP
11,Mala Mía,Maluma,29337,2018-09-21--2018-09-28,hn,62o8KoI44JfN7aYxgTnPvh
12,Culpables,KAROL G,29106,2018-09-21--2018-09-28,hn,6q8Lb50EtqNeeJXXe8mMAH
13,Cuando Te Besé,Becky G,25785,2018-09-21--2018-09-28,hn,2XXMDz7SPZ4mSFN1PXfHUy
14,Sin Pijama,Becky G,24510,2018-09-21--2018-09-28,hn,2ijef6ni2amuunRoKTlgww
15,Por Perro,Sebastian Yatra,23928,2018-09-21--2018-09-28,hn,2alIsNw1mqEShbWyO1HXZZ
16,I Like It,Cardi B,23031,2018-09-21--2018-09-28,hn,58q2HKrzhC3ozto2nDdN4z
17,Madura (feat. Bad Bunny),Cosculluela,22341,2018-09-21--2018-09-28,hn,0r9d60ZYPAlFHq8qnUtkXN
18,In My Feelings,Drake,21552,2018-09-21--2018-09-28,hn,2G7V7zsVDxg1yRsu7Ew9RJ
19,Brindemos,Anuel AA,21318,2018-09-21--2018-09-28,hn,7LeQ55Z5jPBB0ggYJtAiYO
20,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,20311,2018-09-21--2018-09-28,hn,3TnhQSRwT3AVMdXw5JPq0x
21,Ya No Tiene Novio,Sebastian Yatra,20273,2018-09-21--2018-09-28,hn,7uQmJ1jgNzBpATSoWKSPFu
22,Dale Vieja Dale,Toño Rosario,19902,2018-09-21--2018-09-28,hn,734vYzX6YKgSDHzXuLQJmg
23,Hookah & Sheridan s,Tommy Boysen,19781,2018-09-21--2018-09-28,hn,3QfD4bxxkopZL7XZ8RaezH
24,Amigos Con Derechos,Reik,19759,2018-09-21--2018-09-28,hn,2zDj4WjbNDmrRL6Z4YjjCA
25,¿Cual es tu plan?,Bad Bunny,19309,2018-09-21--2018-09-28,hn,4HRDBtek0ayfLQ6uc7rjO9
26,No Me Acuerdo,Thalía,18688,2018-09-21--2018-09-28,hn,00EPIEnX1JFjff8sC6bccd
27,Culpables,Manuel Turizo,18514,2018-09-21--2018-09-28,hn,3RD0PGolM0mETGHaprwgMn
28,Unica,Ozuna,17751,2018-09-21--2018-09-28,hn,33b2wX9d0kxqxhi7lcsC1A
29,Epa Wei,Danny Ocean,17425,2018-09-21--2018-09-28,hn,2QmsKag0YaqhAbpR9Nwmpn
30,Girls Like You (feat. Cardi B),Maroon 5,17214,2018-09-21--2018-09-28,hn,7fa9MBXhVfQ8P8Df9OEbD8
31,I Love It (& Lil Pump),Kanye West,16977,2018-09-21--2018-09-28,hn,4S8d14HvHb70ImctNgVzQQ
32,Clandestino,Shakira,16817,2018-09-21--2018-09-28,hn,7DrluKkTviBwCc8AV3VGmf
33,Te Amo,Piso 21,16788,2018-09-21--2018-09-28,hn,2RVrdr062uLFxXwIxwdXPH
34,One Kiss (with Dua Lipa),Calvin Harris,16635,2018-09-21--2018-09-28,hn,7ef4DlsgrMEH11cDZd32M6
35,Mocca,Lalo Ebratt,16391,2018-09-21--2018-09-28,hn,0NKoPGc72yUKTIneVhFfg1
36,Me Niego (feat. Ozuna & Wisin),Reik,16206,2018-09-21--2018-09-28,hn,6jA8JUuPCGYjFcgw0AoM5T
37,Loca Remix,Khea,16049,2018-09-21--2018-09-28,hn,2CRbiMK0W14l71SpDKqKZM
38,Dura - Remix,Daddy Yankee,15421,2018-09-21--2018-09-28,hn,6U2NuJILEOEpW2tVCuqKHb
39,Ni Gucci Ni Prada,Kenny Man,15123,2018-09-21--2018-09-28,hn,32lexhcz93AinKK0qLTZaZ
40,To My Love - Tainy Remix,Bomba Estéreo,14971,2018-09-21--2018-09-28,hn,5LciLoxa1gK70yIUeoHgRx
41,Triste,Bryant Myers,14915,2018-09-21--2018-09-28,hn,5MNS5FF4LrTX0jIaI0gory
42,X - Remix,Nicky Jam,14429,2018-09-21--2018-09-28,hn,6JjPBQfI2Y8nIjnm65X6Pw
43,Subete,Lary Over,14203,2018-09-21--2018-09-28,hn,6CWMm2mJOrKyDH4W1X5d06
44,Zum Zum,Daddy Yankee,14085,2018-09-21--2018-09-28,hn,7lEhOiFtcLXY4P7cuTKuQ8
45,Déjala que vuelva (feat. Manuel Turizo),Piso 21,14077,2018-09-21--2018-09-28,hn,1j6xOGusnyXq3l6IryKF3G
46,Coolant,Farruko,14014,2018-09-21--2018-09-28,hn,2fHOqQ9K6eY0wsbVZiYZPw
47,Electricity (with Dua Lipa),Silk City,13211,2018-09-21--2018-09-28,hn,5N4erncE7kuUccm7zEmwzk
48,Falling Down - Bonus Track,Lil Peep,12968,2018-09-21--2018-09-28,hn,0Dn40gxVCMo5TkgS8Ik18Q
49,X,Nicky Jam,12868,2018-09-21--2018-09-28,hn,39N9RPD9MRb5WmoLzNzPeA
50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,12829,2018-09-21--2018-09-28,hn,2E124GmJRnBJuXbTb4cPUB
51,Mi Cama - Remix,KAROL G,12305,2018-09-21--2018-09-28,hn,38QmUDpkoYlNbMKvpvAsrE
52,Promises (with Sam Smith),Calvin Harris,11961,2018-09-21--2018-09-28,hn,5N5k9nd479b1xpDZ4usjrg
53,Original,Arcangel,11804,2018-09-21--2018-09-28,hn,1LBlcCtOrKITXpEp1hnNpj
54,Solita,Ozuna,11371,2018-09-21--2018-09-28,hn,7rwX0O3RlxqqIjQM8evm5E
55,IDGAF,Dua Lipa,11343,2018-09-21--2018-09-28,hn,76cy1WJvNGJTj78UqeA5zr
56,Me Rehúso,Danny Ocean,11243,2018-09-21--2018-09-28,hn,6De0lHrwBfPfrhorm9q1Xl
57,Ponle,Rvssian,11089,2018-09-21--2018-09-28,hn,28O1p0bQXH2F6Qn8jBZZR4
58,Ibiza,Ozuna,10868,2018-09-21--2018-09-28,hn,1h9P5WJwyvK8OB7O2YiXgp
59,Dembow,Danny Ocean,10800,2018-09-21--2018-09-28,hn,2EzRdhuoPyNJDlep7lnNf2
60,God's Plan,Drake,10547,2018-09-21--2018-09-28,hn,6DCZcSspjsKoFjzjrWoCdn
61,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,10513,2018-09-21--2018-09-28,hn,4QtiVmuA88tPQiCOHZuQ5b
62,Me Dijeron,Ozuna,10475,2018-09-21--2018-09-28,hn,17UUYZ290omPaJY4wKeyHh
63,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,10062,2018-09-21--2018-09-28,hn,1l77YWrGUp3qX3NS1rz7lq
64,New Rules,Dua Lipa,9949,2018-09-21--2018-09-28,hn,2ekn2ttSfGqwhhate0LSR0
65,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,9726,2018-09-21--2018-09-28,hn,5bITfqKGaPakO1l99hOMsI
66,Bella - Remix,Wolfine,9688,2018-09-21--2018-09-28,hn,0SaYeGhSXN0dDWstyNTQ56
67,Happier,Marshmello,9641,2018-09-21--2018-09-28,hn,2dpaYNEQHiRxtZbfNsse99
68,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,9577,2018-09-21--2018-09-28,hn,5q2JbCNi4FcnglgPfxcV65
69,Chica Paranormal,Paulo Londra,9285,2018-09-21--2018-09-28,hn,2r77vqSZkOktTSgmAOoHsV
70,Celoso,Lele Pons,9278,2018-09-21--2018-09-28,hn,33zcmmElV1YbRZe57biUjg
71,Calypso,Luis Fonsi,9278,2018-09-21--2018-09-28,hn,4178A5NkEjcsGc64jpBO6d
72,No Hay Nadie Más,Sebastian Yatra,9179,2018-09-21--2018-09-28,hn,3IPJg1sdqLj12kFIndaonN
73,Perfect,Ed Sheeran,9168,2018-09-21--2018-09-28,hn,0tgVpDi06FyKpA1z0VMD4v
74,Síguelo Bailando,Ozuna,9123,2018-09-21--2018-09-28,hn,5Y9fnynLlIvqtM710MHzfz
75,La Modelo,Ozuna,8884,2018-09-21--2018-09-28,hn,2SbzdGpOKlH3HIAGTWTbwU
76,Shape of You,Ed Sheeran,8838,2018-09-21--2018-09-28,hn,7qiZfU4dY1lWllzX7mPBI3
77,In My Mind,Dynoro,8837,2018-09-21--2018-09-28,hn,0E9ZjEAyAwOXZ7wJC0PD33
78,Natural,Imagine Dragons,8766,2018-09-21--2018-09-28,hn,4zIO3ilp5HvTeK3HJHxhMP
