Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,104211,2018-09-21--2018-09-28,hu,0E9ZjEAyAwOXZ7wJC0PD33
2,Falling Down - Bonus Track,Lil Peep,96857,2018-09-21--2018-09-28,hu,0Dn40gxVCMo5TkgS8Ik18Q
3,I Love It (& Lil Pump),Kanye West,83313,2018-09-21--2018-09-28,hu,4S8d14HvHb70ImctNgVzQQ
4,Promises (with Sam Smith),Calvin Harris,66060,2018-09-21--2018-09-28,hu,5N5k9nd479b1xpDZ4usjrg
5,Natural,Imagine Dragons,65184,2018-09-21--2018-09-28,hu,4zIO3ilp5HvTeK3HJHxhMP
6,Lucky You (feat. Joyner Lucas),Eminem,61732,2018-09-21--2018-09-28,hu,60SdxE8apGAxMiRrpbmLY0
7,Happier,Marshmello,61420,2018-09-21--2018-09-28,hu,2dpaYNEQHiRxtZbfNsse99
8,Solo (feat. Demi Lovato),Clean Bandit,56343,2018-09-21--2018-09-28,hu,6kPJZM97LwdG9QIsT7khp6
9,Füttyös,Majka,54182,2018-09-21--2018-09-28,hu,6bsERSsjVL4Cpt0e2t77Vx
10,Nem Tudja Senki,Follow The Flow,51303,2018-09-21--2018-09-28,hu,0XlgY6Jrh51dY2Bfepj9hK
11,Eastside (with Halsey & Khalid),benny blanco,49357,2018-09-21--2018-09-28,hu,0d2iYfpKoM0QCKvcLCkBao
12,Be Alright,Dean Lewis,43711,2018-09-21--2018-09-28,hu,3EPXxR3ImUwfayaurPi3cm
13,Killshot,Eminem,42079,2018-09-21--2018-09-28,hu,1jo3TwNGCXfNdB5uba3ZVv
14,Electricity (with Dua Lipa),Silk City,40844,2018-09-21--2018-09-28,hu,5N4erncE7kuUccm7zEmwzk
15,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,40834,2018-09-21--2018-09-28,hu,5Xn4IyTtW6FUGIUyWjbUHG
16,Blah Blah Blah,Armin van Buuren,40337,2018-09-21--2018-09-28,hu,0tp6mwUt99QnfY95T30Lqj
17,Better,Khalid,39859,2018-09-21--2018-09-28,hu,4T3fNx3CgwDRRYgmFCbD4J
18,Nevermind,Dennis Lloyd,39206,2018-09-21--2018-09-28,hu,63SevszngYpZOwf63o61K4
19,Thunderclouds,Sia,38885,2018-09-21--2018-09-28,hu,5a8RPWgKSmcGBGcffmIrUi
20,Girls Like You (feat. Cardi B),Maroon 5,38015,2018-09-21--2018-09-28,hu,7fa9MBXhVfQ8P8Df9OEbD8
21,Hol van az a lány,DR BRS,37003,2018-09-21--2018-09-28,hu,5qmqZ2Fh9dHhDT82afD08n
22,In My Feelings,Drake,36034,2018-09-21--2018-09-28,hu,2G7V7zsVDxg1yRsu7Ew9RJ
23,Maradok Távol,Follow The Flow,35873,2018-09-21--2018-09-28,hu,6rp8bq0lhkIosumUPlTFfB
24,Rise,Jonas Blue,35528,2018-09-21--2018-09-28,hu,3u1S1OmAUhx5DRlLrXqyp3
25,Say My Name,David Guetta,34880,2018-09-21--2018-09-28,hu,0YammaEkYSeo9vQYZ1OwS6
26,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,33750,2018-09-21--2018-09-28,hu,15kQGEy89K8deJcZVFEn0N
27,REMEDY,Alesso,33395,2018-09-21--2018-09-28,hu,6jreFSOTUAViWjKyzOC4Kg
28,Youngblood,5 Seconds of Summer,32858,2018-09-21--2018-09-28,hu,2iUXsYOEPhVqEBwsqP70rE
29,Jackie Chan,Tiësto,32777,2018-09-21--2018-09-28,hu,4kWO6O1BUXcZmaxitpVUwp
30,Lucid Dreams,Juice WRLD,32581,2018-09-21--2018-09-28,hu,0s3nnoMeVWz3989MkNQiRf
31,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,31988,2018-09-21--2018-09-28,hu,3DGar7krWlmrXRFHBcQF6z
32,One Kiss (with Dua Lipa),Calvin Harris,31766,2018-09-21--2018-09-28,hu,7ef4DlsgrMEH11cDZd32M6
33,Wake Up in the Sky,Gucci Mane,31651,2018-09-21--2018-09-28,hu,0QIjsbm2fh1cJ45XO9eGqq
34,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,31519,2018-09-21--2018-09-28,hu,0cDwUAF7yQrOLRcFfJpSc2
35,Born To Be Yours,Kygo,31437,2018-09-21--2018-09-28,hu,0kHyKhJMukHEPfeh8s7rdM
36,breathin,Ariana Grande,30790,2018-09-21--2018-09-28,hu,4OafepJy2teCjYJbvFE60J
37,Let You Love Me,Rita Ora,30410,2018-09-21--2018-09-28,hu,6xtcFXSo8H9BZN637BMVKS
38,No Stylist,French Montana,29930,2018-09-21--2018-09-28,hu,04MLEeAMuV9IlHEsD8vF6A
39,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,29636,2018-09-21--2018-09-28,hu,2E124GmJRnBJuXbTb4cPUB
40,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,29313,2018-09-21--2018-09-28,hu,2zy9TMoZlYGuCNY4TLqG24
41,High On Life (feat. Bonn),Martin Garrix,28384,2018-09-21--2018-09-28,hu,4ut5G4rgB1ClpMTMfjoIuy
42,SICKO MODE,Travis Scott,27876,2018-09-21--2018-09-28,hu,2xLMifQCjDGFmkHkpNLD9h
43,SAD!,XXXTENTACION,27714,2018-09-21--2018-09-28,hu,3ee8Jmje8o58CHK66QrVC2
44,Believer,Imagine Dragons,27649,2018-09-21--2018-09-28,hu,0pqnGHJpmpxLKifKRmU6WP
45,Fall,Eminem,27258,2018-09-21--2018-09-28,hu,58QhkbaAkLFnn7JwAnAato
46,I'm a Mess,Bebe Rexha,27119,2018-09-21--2018-09-28,hu,04ZTP5KsCypmtCmQg5tH9R
47,I Like It,Cardi B,26367,2018-09-21--2018-09-28,hu,58q2HKrzhC3ozto2nDdN4z
48,Body (feat. Brando),Loud Luxury,26270,2018-09-21--2018-09-28,hu,7K7MUBCnzgBAvMVW2RTWNs
49,The Ringer,Eminem,25876,2018-09-21--2018-09-28,hu,2jt2WxXMCD4zjACthkJQVE
50,no tears left to cry,Ariana Grande,25566,2018-09-21--2018-09-28,hu,2qT1uLXPVPzGgFOx4jtEuo
51,No Brainer,DJ Khaled,25087,2018-09-21--2018-09-28,hu,5WvAo7DNuPRmk4APhdPzi8
52,rockstar (feat. 21 Savage),Post Malone,24718,2018-09-21--2018-09-28,hu,0e7ipj03S05BNilyu5bRzt
53,FRIENDS,Marshmello,24231,2018-09-21--2018-09-28,hu,08bNPGLD8AhKpnnERrAc6G
54,Happy Now,Zedd,23666,2018-09-21--2018-09-28,hu,4keoy2fqgwGnbWlm3ZVZFa
55,Darkside,Alan Walker,23382,2018-09-21--2018-09-28,hu,1snWlbcbgQpJfknoI30DWG
56,Beautiful (feat. Camila Cabello),Bazzi,23242,2018-09-21--2018-09-28,hu,4VUwkH455At9kENOfzTqmF
57,Taste (feat. Offset),Tyga,22950,2018-09-21--2018-09-28,hu,5IaHrVsrferBYDm0bDyABy
58,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,22824,2018-09-21--2018-09-28,hu,4hQ6UGyWQIGJmHSo0J88JW
59,Better Now,Post Malone,22597,2018-09-21--2018-09-28,hu,7dt6x5M1jzdTEt8oCbisTK
60,God is a woman,Ariana Grande,22588,2018-09-21--2018-09-28,hu,5OCJzvD7sykQEKHH7qAC3C
61,These Days,Rudimental,22311,2018-09-21--2018-09-28,hu,5CLGzJsGqhCEECcpnFQA8x
62,Thunder,Imagine Dragons,22065,2018-09-21--2018-09-28,hu,1zB4vmk8tFRmM9UULNzbLB
63,Shotgun,George Ezra,21442,2018-09-21--2018-09-28,hu,4ofwffwvvnbSkrMSCKQDaC
64,Shape of You,Ed Sheeran,21376,2018-09-21--2018-09-28,hu,7qiZfU4dY1lWllzX7mPBI3
65,Flames,David Guetta,21113,2018-09-21--2018-09-28,hu,66BjcDhhwWCcQIBxHMpKXh
66,Kamikaze,Eminem,20833,2018-09-21--2018-09-28,hu,2gsNpSn7VvvJuSrIDfRoYy
67,Want To,Dua Lipa,20780,2018-09-21--2018-09-28,hu,0CBFOvHlyqy30Q5tbyNHfQ
68,High Hopes,Panic! At The Disco,19886,2018-09-21--2018-09-28,hu,1rqqCSm0Qe4I9rUvWncaom
69,Love Someone,Lukas Graham,19843,2018-09-21--2018-09-28,hu,2JqnpexlO9dmvjUMCaLCLJ
70,IDGAF,Dua Lipa,19697,2018-09-21--2018-09-28,hu,76cy1WJvNGJTj78UqeA5zr
71,Havana (feat. Young Thug),Camila Cabello,19492,2018-09-21--2018-09-28,hu,1rfofaqEpACxVEHIZBJe6W
72,Remind Me to Forget,Kygo,19062,2018-09-21--2018-09-28,hu,6xTU6B6nFwKKTSZ9ySXS80
73,New Patek,Lil Uzi Vert,19005,2018-09-21--2018-09-28,hu,0Fpen1PTuEnCmOJtUU9Iud
74,Moonlight,XXXTENTACION,18515,2018-09-21--2018-09-28,hu,0JP9xo3adEtGSdUEISiszL
75,Venom - Music From The Motion Picture,Eminem,18411,2018-09-21--2018-09-28,hu,2SL6oP2YAEQbqsrkOzRGO4
76,Burn Out (feat. Dewain Whitmore),Martin Garrix,17877,2018-09-21--2018-09-28,hu,7IWTIkiWGWNQyYfOLdMrGD
77,New Rules,Dua Lipa,17877,2018-09-21--2018-09-28,hu,2ekn2ttSfGqwhhate0LSR0
78,2002,Anne-Marie,17855,2018-09-21--2018-09-28,hu,2BgEsaKNfHUdlh97KmvFyo
79,More Than You Know,Axwell /\ Ingrosso,17279,2018-09-21--2018-09-28,hu,6h5PAsRni4IRlxWr6uDPTP
80,Ocean (feat. Khalid),Martin Garrix,17119,2018-09-21--2018-09-28,hu,3nc420PXjTdBV5TN0gCFkS
81,Not Alike (feat. Royce Da 5'9),Eminem,16957,2018-09-21--2018-09-28,hu,28FGV3ORH14MYORd7s5dlU
82,Greatest,Eminem,16732,2018-09-21--2018-09-28,hu,2XTquzYQAdT1Hk78bOUwsv
83,The Middle,Zedd,16592,2018-09-21--2018-09-28,hu,09IStsImFySgyp0pIQdqAc
84,Jocelyn Flores,XXXTENTACION,15984,2018-09-21--2018-09-28,hu,7m9OqQk4RVRkw9JJdeAw96
85,Feel It Still,Portugal. The Man,15895,2018-09-21--2018-09-28,hu,6QgjcU0zLnzq5OrUoSZ3OK
86,Without You (feat. Sandro Cavazza),Avicii,15861,2018-09-21--2018-09-28,hu,6Pgkp4qUoTmJIPn7ReaGxL
87,Noticed,Lil Mosey,15822,2018-09-21--2018-09-28,hu,7d6XJZjnm7iWcKwYL9z5kC
88,Perfect,Ed Sheeran,15766,2018-09-21--2018-09-28,hu,0tgVpDi06FyKpA1z0VMD4v
89,Mad Love,Sean Paul,15581,2018-09-21--2018-09-28,hu,4dSoDnmR9opAQ8KxUc9SbC
90,Like I Do,David Guetta,15373,2018-09-21--2018-09-28,hu,4aBYzs8RxZMuqyOanNlf8I
91,BEBE,6ix9ine,15129,2018-09-21--2018-09-28,hu,7ATATJztoWLcqDAcVVof0C
92,Whatever It Takes,Imagine Dragons,15056,2018-09-21--2018-09-28,hu,6Qn5zhYkTa37e91HC1D7lb
93,Unforgettable - Spotify Version,Robin Schulz,15015,2018-09-21--2018-09-28,hu,3rvEwBi1mFFHqCnkrGmnWp
94,God's Plan,Drake,14818,2018-09-21--2018-09-28,hu,6DCZcSspjsKoFjzjrWoCdn
95,RAP DEVIL,Machine Gun Kelly,14748,2018-09-21--2018-09-28,hu,43TP6JCWXgkc2D7Xjz5hBr
96,Sweet but Psycho,Ava Max,14590,2018-09-21--2018-09-28,hu,25sgk305KZfyuqVBQIahim
97,Him & I (with Halsey),G-Eazy,14427,2018-09-21--2018-09-28,hu,5k38wzpLb15YgncyWdTZE4
98,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,14194,2018-09-21--2018-09-28,hu,7ycWLEP1GsNjVvcjawXz3z
99,Head Above Water,Avril Lavigne,14143,2018-09-21--2018-09-28,hu,1N7YeVU0ZwAFbOhwM61ef6
100,Mindenki táncol /90'/,Majka,14072,2018-09-21--2018-09-28,hu,75JtuuAnLKjLu8FyEMIzRe
101,Élvezd,Punnany Massif,13982,2018-09-21--2018-09-28,hu,15Zz41Ec3C6Rh6nDZa8331
102,Nonstop,Drake,13777,2018-09-21--2018-09-28,hu,0TlLq3lA83rQOYtrqBqSct
103,Side Effects (feat. Emily Warren),The Chainsmokers,13670,2018-09-21--2018-09-28,hu,5hrXLJJrnKraxRQntH0Vv9
104,Melody (feat. James Blunt),Lost Frequencies,13601,2018-09-21--2018-09-28,hu,5r49JKf2vWBF0CQjZewJ0O
105,Lonely Together (feat. Rita Ora),Avicii,13334,2018-09-21--2018-09-28,hu,2OALaHcDdKkjYEpAr0Qzab
106,Wolves,Selena Gomez,13245,2018-09-21--2018-09-28,hu,0tBbt8CrmxbjRP0pueQkyU
107,All I Am,Jess Glynne,13203,2018-09-21--2018-09-28,hu,6X6SdJzxyw7GzxwP2fr9WV
108,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,13110,2018-09-21--2018-09-28,hu,7w9bgPAmPTtrkt2v16QWvQ
109,lovely (with Khalid),Billie Eilish,13033,2018-09-21--2018-09-28,hu,0u2P5u6lvoDfwTYjAADbn4
110,changes,XXXTENTACION,13032,2018-09-21--2018-09-28,hu,7AFASza1mXqntmGtbxXprO
111,Guiding Light,Mumford & Sons,13027,2018-09-21--2018-09-28,hu,7wDqHhtRkP1TXSlZK0sEQH
112,I Like Me Better,Lauv,12960,2018-09-21--2018-09-28,hu,2P91MQbaiQOfbiz9VqhqKQ
113,In My Blood,Shawn Mendes,12943,2018-09-21--2018-09-28,hu,2QZ7WLBE8h2y1Y5Fb8RYbH
114,In the End,Linkin Park,12829,2018-09-21--2018-09-28,hu,60a0Rd6pjrkxjPbaKzXjfq
115,Happier,Ed Sheeran,12733,2018-09-21--2018-09-28,hu,2RttW7RAu5nOAfq6YFvApB
116,What Lovers Do (feat. SZA),Maroon 5,12725,2018-09-21--2018-09-28,hu,0GxQ1A5L9xnMOytbP6eKBG
117,Familiar,Liam Payne,12636,2018-09-21--2018-09-28,hu,0Y4hwUppbGc8aIBmiTz30A
118,Genius,Sia,12531,2018-09-21--2018-09-28,hu,73F87Sqh6jQWucOOvz1WFx
119,Breathe,Jax Jones,12454,2018-09-21--2018-09-28,hu,0KsB4TwgATg88aXCMBoO3Y
120,Stargazing,Kygo,12421,2018-09-21--2018-09-28,hu,0Zbbxnx4SGGHoIow4PpISP
121,Taj,BLR,12412,2018-09-21--2018-09-28,hu,400QEuv1HXJcm7gGSya4fn
122,Blöff,AK26,12245,2018-09-21--2018-09-28,hu,15h0TVG4qO6eutqjHQXb08
123,Right Now,Nick Jonas,12177,2018-09-21--2018-09-28,hu,43wzy7JxMEfvCh8ZFeZKYk
124,Africa,TOTO,11966,2018-09-21--2018-09-28,hu,2374M0fQpWi3dLnB54qaLX
125,'Till I Collapse,Eminem,11946,2018-09-21--2018-09-28,hu,4xkOaSrkexMciUUogZKVTS
126,Let Me Down Slowly,Alec Benjamin,11895,2018-09-21--2018-09-28,hu,2uaiyLKnYvazyfR0Ky3Kbk
127,Stepping Stone,Eminem,11895,2018-09-21--2018-09-28,hu,60Z57Wdrn0pEVpHI7d7GAX
128,Just Got Paid,Sigala,11825,2018-09-21--2018-09-28,hu,0v3BMLcwUmAwyqJaf5997o
129,Sick Boy,The Chainsmokers,11788,2018-09-21--2018-09-28,hu,2SxsI73qXm0rJ89Kp5JnpT
130,Silence,Marshmello,11780,2018-09-21--2018-09-28,hu,7vGuf3Y35N4wmASOKLUVVU
131,Anywhere,Rita Ora,11765,2018-09-21--2018-09-28,hu,7EI6Iki24tBHAMxtb4xQN2
132,Csak Egyszer Mondom El,Misshmusic,11674,2018-09-21--2018-09-28,hu,4sK7tmW9zWK4W7XnPt2B7z
133,Save That Shit,Lil Peep,11640,2018-09-21--2018-09-28,hu,0S0vWvyZ6Rc79TXkWxT9QA
134,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,11597,2018-09-21--2018-09-28,hu,5Gu0PDLN4YJeW75PpBSg9p
135,There's Nothing Holdin' Me Back,Shawn Mendes,11571,2018-09-21--2018-09-28,hu,7JJmb5XwzOO8jgpou264Ml
136,Nehézlábérzés,Krúbi,11518,2018-09-21--2018-09-28,hu,2wOfDoTh9AQxQBNMm0QGuo
137,Your Love,David Guetta,11433,2018-09-21--2018-09-28,hu,0tgbSxoFjZ20MjfoKwWevV
138,September,"Earth, Wind & Fire",11427,2018-09-21--2018-09-28,hu,1mqlc0vEP9mU1kZgTi6LIQ
139,KorsKorsKors,Senkise,11362,2018-09-21--2018-09-28,hu,7ei7kWLs2k2V1xoeswJC2i
140,Vaina Loca,Ozuna,11313,2018-09-21--2018-09-28,hu,48zFZh27QU5qsrBjn4C2FA
141,8 Letters,Why Don't We,11216,2018-09-21--2018-09-28,hu,4zRZAmBQP8vhNPf9i9opXt
142,Normal,Eminem,11195,2018-09-21--2018-09-28,hu,0evt4UZbdhnHtcAnxkm6A1
143,Galway Girl,Ed Sheeran,10987,2018-09-21--2018-09-28,hu,0afhq8XCExXpqazXczTSve
144,Hajnali Kör,Irie Maffia,10951,2018-09-21--2018-09-28,hu,4vYWvBnqNoJGDMk3f14rlv
145,STARGAZING,Travis Scott,10927,2018-09-21--2018-09-28,hu,7wBJfHzpfI3032CSD7CE2m
146,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,10902,2018-09-21--2018-09-28,hu,4e4fqjx0Izh4svvTef1z7e
147,Numb,Linkin Park,10897,2018-09-21--2018-09-28,hu,2nLtzopw4rPReszdYBJU6h
148,Without Me,Eminem,10894,2018-09-21--2018-09-28,hu,7lQ8MOhq6IN2w8EYcFNSUk
149,Closer,The Chainsmokers,10850,2018-09-21--2018-09-28,hu,7BKLCZ1jbUBVqRi2FVlTVw
150,It Ain't Me (with Selena Gomez),Kygo,10769,2018-09-21--2018-09-28,hu,3eR23VReFzcdmS7TYCrhCe
151,Mo Bamba,Sheck Wes,10766,2018-09-21--2018-09-28,hu,3QybPutx0Tjk472bBKjNWn
152,Something Just Like This,The Chainsmokers,10754,2018-09-21--2018-09-28,hu,6RUKPb4LETWmmr3iAEQktW
153,Gangsta's Paradise,Coolio,10727,2018-09-21--2018-09-28,hu,7lQWRAjyhTpCWFC0jmclT4
154,HUMBLE.,Kendrick Lamar,10695,2018-09-21--2018-09-28,hu,7KXjTSCq5nL1LoYtL7XAwS
155,Look At Me!,XXXTENTACION,10677,2018-09-21--2018-09-28,hu,6eYxmK9fdL4hwLnXG2zY3s
156,Meggyfa,Horváth Tamás,10671,2018-09-21--2018-09-28,hu,7knuVKl5CtGWnSAAWWWUL6
157,Hagyod Menni,Follow The Flow,10641,2018-09-21--2018-09-28,hu,1FGdZ4qCSVcnFYfbQFTkPD
158,Seven Nation Army,The White Stripes,10637,2018-09-21--2018-09-28,hu,1jNOi6m3Hn8nLEeHCp5Msr
159,I'll Be There,Jess Glynne,10620,2018-09-21--2018-09-28,hu,083Qf6hn6sFL6xiOHlZUyn
160,Drew Barrymore,Bryce Vine,10620,2018-09-21--2018-09-28,hu,0OgGn1ofaj55l2PcihQQGV
161,River (feat. Ed Sheeran),Eminem,10529,2018-09-21--2018-09-28,hu,1cS0TgbR263ey9jn0MwD2s
162,Stressed Out,Twenty One Pilots,10525,2018-09-21--2018-09-28,hu,3CRDbSIZ4r5MsZ0YwxuEkn
163,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,10505,2018-09-21--2018-09-28,hu,1TfqLAPs4K3s2rJMoCokcS
164,Self Care,Mac Miller,10481,2018-09-21--2018-09-28,hu,5bJ1DrEM4hNCafcDd1oxHx
165,Treat You Better,Shawn Mendes,10477,2018-09-21--2018-09-28,hu,3QGsuHI8jO1Rx4JWLUh9jd
166,Mindenre Ráveszel,Halott Pénz,10470,2018-09-21--2018-09-28,hu,6C17QZK7k1oO6kkDkjx1lT
167,Tie Me Down (with Elley Duhé),Gryffin,10332,2018-09-21--2018-09-28,hu,4QVS8YCpK71R4FsxSMCjhP
168,Magic In The Hamptons (feat. Lil Yachty),Social House,10307,2018-09-21--2018-09-28,hu,2Yer0p7uB2lVBUAtANuuQp
169,Dusk Till Dawn - Radio Edit,ZAYN,10272,2018-09-21--2018-09-28,hu,1j4kHkkpqZRBwE0A4CN4Yv
170,Scared to Be Lonely,Martin Garrix,10264,2018-09-21--2018-09-28,hu,3ebXMykcMXOcLeJ9xZ17XH
171,Good Guy (feat. Jessie Reyez),Eminem,10263,2018-09-21--2018-09-28,hu,4g32MdRoqwGKQd3NXIRhpU
172,Only You (with Little Mix),Cheat Codes,10232,2018-09-21--2018-09-28,hu,54l9GJGQ1UCFKe2tzt1Vxt
173,Amilyen Hülye Vagy Én Úgy Szeretlek,Kowalsky Meg A Vega,10204,2018-09-21--2018-09-28,hu,3oY6ANnDviyZIjYSIUX02G
174,Unforgettable,French Montana,10088,2018-09-21--2018-09-28,hu,3B54sVLJ402zGa6Xm4YGNe
175,Nem Fogadok Szót,Follow The Flow,10070,2018-09-21--2018-09-28,hu,7lltBIlRGvs56wxrQgxakT
176,Audio,Sia,10060,2018-09-21--2018-09-28,hu,7boPPE857KEqCIHNwFkDop
177,"U, u, u",Senkise,9996,2018-09-21--2018-09-28,hu,1A1UTrTxZGjybb29iLCVAF
178,Dreamer,Axwell /\ Ingrosso,9980,2018-09-21--2018-09-28,hu,0RTzJVkunbGwuRjXDFHnjf
179,Lullaby,Sigala,9957,2018-09-21--2018-09-28,hu,5xzCzOAOfRi4DOttSzvznR
180,Love No More,Loud Luxury,9950,2018-09-21--2018-09-28,hu,15fZrZhdK0g1BS9sDeW6sD
181,I'm Yours,Jason Mraz,9944,2018-09-21--2018-09-28,hu,3S0OXQeoh0w6AY8WQVckRW
182,Dancing In The Moonlight (feat. NEIMY),Jubël,9944,2018-09-21--2018-09-28,hu,4Vs8RLrUdDXeaZbNeIOrtn
183,Psycho (feat. Ty Dolla $ign),Post Malone,9885,2018-09-21--2018-09-28,hu,3swc6WTsr7rl9DqQKQA55C
184,Dip (feat. Nicki Minaj),Tyga,9825,2018-09-21--2018-09-28,hu,2qfR91VvO7hRp4IajDT08h
185,Demons,Imagine Dragons,9747,2018-09-21--2018-09-28,hu,3LlAyCYU26dvFZBDUIMb7a
186,"Survive (feat. Emeli Sandé, Gucci Mane)",Don Diablo,9744,2018-09-21--2018-09-28,hu,0ZK4SbP0mgjTlvLiSBbhsd
187,All Falls Down (feat. Juliander),Alan Walker,9733,2018-09-21--2018-09-28,hu,5yFSF6qQA1rcLsQRnBsZgb
188,Wake Me Up,Avicii,9681,2018-09-21--2018-09-28,hu,4h8VwCb1MTGoLKueQ1WgbD
189,PestiEst,Krúbi,9669,2018-09-21--2018-09-28,hu,4aSDknafFjICMMpN05Ocot
190,Love Lies (with Normani),Khalid,9664,2018-09-21--2018-09-28,hu,45Egmo7icyopuzJN0oMEdk
191,If You're Over Me,Years & Years,9574,2018-09-21--2018-09-28,hu,1oc3jna2ablnfIKLYbKujl
192,Symphony (feat. Zara Larsson),Clean Bandit,9568,2018-09-21--2018-09-28,hu,1x5sYLZiu9r5E43kMlt9f8
193,OK - Spotify Version,Robin Schulz,9521,2018-09-21--2018-09-28,hu,3bWAqKDWg6u1davspr5IkS
194,SLOW DANCING IN THE DARK,Joji,9482,2018-09-21--2018-09-28,hu,0UyljEbX9dqI1K0sqdv6B6
195,Radioactive,Imagine Dragons,9467,2018-09-21--2018-09-28,hu,4G8gkOterJn0Ywt6uhqbhp
196,Take on Me,a-ha,9450,2018-09-21--2018-09-28,hu,2WfaOiMkCvy7F5fcp2zZ8L
197,Ignite (feat. SEUNGRI),K-391,9421,2018-09-21--2018-09-28,hu,0UMLejbZXf7YVgnfxURvVr
198,Fuck Love (feat. Trippie Redd),XXXTENTACION,9383,2018-09-21--2018-09-28,hu,7AQim7LbvFVZJE3O8TYgf2
199,Take Me to Church,Hozier,9369,2018-09-21--2018-09-28,hu,3KYOGt8IO6j8wptkG9THag
200,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,9351,2018-09-21--2018-09-28,hu,1bhUWB0zJMIKr9yVPrkEuI
1,In My Mind,Dynoro,100354,2018-09-28--2018-10-05,hu,0E9ZjEAyAwOXZ7wJC0PD33
2,Falling Down - Bonus Track,Lil Peep,74798,2018-09-28--2018-10-05,hu,0Dn40gxVCMo5TkgS8Ik18Q
3,I Love It (& Lil Pump),Kanye West,72254,2018-09-28--2018-10-05,hu,4S8d14HvHb70ImctNgVzQQ
4,Happier,Marshmello,66290,2018-09-28--2018-10-05,hu,2dpaYNEQHiRxtZbfNsse99
5,Promises (with Sam Smith),Calvin Harris,65622,2018-09-28--2018-10-05,hu,5N5k9nd479b1xpDZ4usjrg
6,Natural,Imagine Dragons,64292,2018-09-28--2018-10-05,hu,4zIO3ilp5HvTeK3HJHxhMP
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,63283,2018-09-28--2018-10-05,hu,4w8niZpiMy6qz1mntFA5uM
8,Solo (feat. Demi Lovato),Clean Bandit,53736,2018-09-28--2018-10-05,hu,6kPJZM97LwdG9QIsT7khp6
9,Lucky You (feat. Joyner Lucas),Eminem,51513,2018-09-28--2018-10-05,hu,60SdxE8apGAxMiRrpbmLY0
10,Füttyös,Majka,49874,2018-09-28--2018-10-05,hu,6bsERSsjVL4Cpt0e2t77Vx
11,Nem Tudja Senki,Follow The Flow,49341,2018-09-28--2018-10-05,hu,0XlgY6Jrh51dY2Bfepj9hK
12,Eastside (with Halsey & Khalid),benny blanco,48569,2018-09-28--2018-10-05,hu,0d2iYfpKoM0QCKvcLCkBao
13,Electricity (with Dua Lipa),Silk City,45948,2018-09-28--2018-10-05,hu,5N4erncE7kuUccm7zEmwzk
