Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,66192,2018-09-21--2018-09-28,is,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,64251,2018-09-21--2018-09-28,is,0Dn40gxVCMo5TkgS8Ik18Q
3,In My Mind,Dynoro,56282,2018-09-21--2018-09-28,is,0E9ZjEAyAwOXZ7wJC0PD33
4,Upp Til Hópa,Herra Hnetusmjör,54639,2018-09-21--2018-09-28,is,3bM0moaEM1h0qpuFhD08FY
5,Promises (with Sam Smith),Calvin Harris,45360,2018-09-21--2018-09-28,is,5N5k9nd479b1xpDZ4usjrg
6,Clubbed Up,ClubDub;Ra:tio,37087,2018-09-21--2018-09-28,is,44W4kdPFIt6tRy4cw1mUA6
7,Chuggedda (feat. Bergur Leó),Aron Can,31886,2018-09-21--2018-09-28,is,59SApXnguIQX9gSQVH2Mhl
8,OMG,Floni,29117,2018-09-21--2018-09-28,is,54aOgpcb6kLIIrpdy5Ea0d
9,Í Átt Að Tunglinu,JóiPé,27985,2018-09-21--2018-09-28,is,4wBY9TNUoxtKiRh4JjAS7x
10,Afhverju,Birnir,27178,2018-09-21--2018-09-28,is,0H7viQFF4UbrZYLwH373nL
11,Lucid Dreams,Juice WRLD,26751,2018-09-21--2018-09-28,is,0s3nnoMeVWz3989MkNQiRf
12,Lucky You (feat. Joyner Lucas),Eminem,25854,2018-09-21--2018-09-28,is,60SdxE8apGAxMiRrpbmLY0
13,Lætur mig,GDRN,23787,2018-09-21--2018-09-28,is,0bnCxmktCsoiwb1Witnnrd
14,SICKO MODE,Travis Scott,21434,2018-09-21--2018-09-28,is,2xLMifQCjDGFmkHkpNLD9h
15,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,20546,2018-09-21--2018-09-28,is,2E124GmJRnBJuXbTb4cPUB
16,In My Feelings,Drake,20523,2018-09-21--2018-09-28,is,2G7V7zsVDxg1yRsu7Ew9RJ
17,STARGAZING,Travis Scott,19489,2018-09-21--2018-09-28,is,7wBJfHzpfI3032CSD7CE2m
18,Aftan (feat. Herra Hnetusmjör),Huginn,18587,2018-09-21--2018-09-28,is,6AWw9zP5MtKiSnxUZ9KIpC
19,Taste (feat. Offset),Tyga,18426,2018-09-21--2018-09-28,is,5IaHrVsrferBYDm0bDyABy
20,Perfect,Ed Sheeran,18103,2018-09-21--2018-09-28,is,0tgVpDi06FyKpA1z0VMD4v
21,New Patek,Lil Uzi Vert,17977,2018-09-21--2018-09-28,is,0Fpen1PTuEnCmOJtUU9Iud
22,SAD!,XXXTENTACION,17830,2018-09-21--2018-09-28,is,3ee8Jmje8o58CHK66QrVC2
23,Dauður (feat. JFDR & Arnar),Birnir,17553,2018-09-21--2018-09-28,is,1a0d2rqvR0ae6tLVa5PIjR
24,Eastside (with Halsey & Khalid),benny blanco,17191,2018-09-21--2018-09-28,is,0d2iYfpKoM0QCKvcLCkBao
25,Hetjan (feat. Herra Hnetusmjör),Huginn,16813,2018-09-21--2018-09-28,is,7GM3D2CyLuQ3QwsO7ZIee6
26,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,16557,2018-09-21--2018-09-28,is,7ycWLEP1GsNjVvcjawXz3z
27,C3po,ClubDub;Ra:tio,16555,2018-09-21--2018-09-28,is,3W2KhWpNoJ1DZOdGGsMYeq
28,Þráhyggja,JóiPé,16414,2018-09-21--2018-09-28,is,1jgN7Uraxy2UgwAsGm5yo0
29,Happier,Marshmello,16231,2018-09-21--2018-09-28,is,2dpaYNEQHiRxtZbfNsse99
30,Be Alright,Dean Lewis,16077,2018-09-21--2018-09-28,is,3EPXxR3ImUwfayaurPi3cm
31,breathin,Ariana Grande,16068,2018-09-21--2018-09-28,is,4OafepJy2teCjYJbvFE60J
32,Better,Khalid,15991,2018-09-21--2018-09-28,is,4T3fNx3CgwDRRYgmFCbD4J
33,Better Now,Post Malone,15585,2018-09-21--2018-09-28,is,7dt6x5M1jzdTEt8oCbisTK
34,Hætti Ekki,Huginn,15535,2018-09-21--2018-09-28,is,1nkbdWUnxpxc7dFuxqzfjD
35,Fýlaða,Svanur,15480,2018-09-21--2018-09-28,is,4sqD9XT0PJeBE7J38EaKAB
36,No Stylist,French Montana,15179,2018-09-21--2018-09-28,is,04MLEeAMuV9IlHEsD8vF6A
37,Shape of You,Ed Sheeran,15067,2018-09-21--2018-09-28,is,7qiZfU4dY1lWllzX7mPBI3
38,Feimin(n),BRÍET,15031,2018-09-21--2018-09-28,is,3vzAXUZHQCiuHTOUeG5pKC
39,God is a woman,Ariana Grande,14884,2018-09-21--2018-09-28,is,5OCJzvD7sykQEKHH7qAC3C
40,Fuðri upp (GOGO),Logi Pedro,14448,2018-09-21--2018-09-28,is,2dQEF7PGJJXX1ur14SgLdN
41,Út í geim,Birnir,14284,2018-09-21--2018-09-28,is,5Cf5TGPdkKeicSchZ4O7C9
42,Party,Floni,14137,2018-09-21--2018-09-28,is,7n1zPrqGyMqNIpzFb9y1wC
43,Mo Bamba,Sheck Wes,14123,2018-09-21--2018-09-28,is,3QybPutx0Tjk472bBKjNWn
44,No Brainer,DJ Khaled,14108,2018-09-21--2018-09-28,is,5WvAo7DNuPRmk4APhdPzi8
45,Moonlight,XXXTENTACION,14050,2018-09-21--2018-09-28,is,0JP9xo3adEtGSdUEISiszL
46,I Like It,Cardi B,14019,2018-09-21--2018-09-28,is,58q2HKrzhC3ozto2nDdN4z
