Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,40738,2018-09-21--2018-09-28,lt,0Dn40gxVCMo5TkgS8Ik18Q
2,I Love It (& Lil Pump),Kanye West,35442,2018-09-21--2018-09-28,lt,4S8d14HvHb70ImctNgVzQQ
3,Promises (with Sam Smith),Calvin Harris,33161,2018-09-21--2018-09-28,lt,5N5k9nd479b1xpDZ4usjrg
4,In My Mind,Dynoro,30023,2018-09-21--2018-09-28,lt,0E9ZjEAyAwOXZ7wJC0PD33
5,Lucky You (feat. Joyner Lucas),Eminem,22807,2018-09-21--2018-09-28,lt,60SdxE8apGAxMiRrpbmLY0
6,Happier,Marshmello,21961,2018-09-21--2018-09-28,lt,2dpaYNEQHiRxtZbfNsse99
7,Be Alright,Dean Lewis,18892,2018-09-21--2018-09-28,lt,3EPXxR3ImUwfayaurPi3cm
8,Eastside (with Halsey & Khalid),benny blanco,18870,2018-09-21--2018-09-28,lt,0d2iYfpKoM0QCKvcLCkBao
9,Better,Khalid,18764,2018-09-21--2018-09-28,lt,4T3fNx3CgwDRRYgmFCbD4J
10,Natural,Imagine Dragons,17749,2018-09-21--2018-09-28,lt,4zIO3ilp5HvTeK3HJHxhMP
11,Electricity (with Dua Lipa),Silk City,17544,2018-09-21--2018-09-28,lt,5N4erncE7kuUccm7zEmwzk
12,Thunderclouds,Sia,17247,2018-09-21--2018-09-28,lt,5a8RPWgKSmcGBGcffmIrUi
13,breathin,Ariana Grande,15746,2018-09-21--2018-09-28,lt,4OafepJy2teCjYJbvFE60J
14,Killshot,Eminem,15643,2018-09-21--2018-09-28,lt,1jo3TwNGCXfNdB5uba3ZVv
15,Wake Up in the Sky,Gucci Mane,14824,2018-09-21--2018-09-28,lt,0QIjsbm2fh1cJ45XO9eGqq
16,REMEDY,Alesso,14084,2018-09-21--2018-09-28,lt,6jreFSOTUAViWjKyzOC4Kg
17,SICKO MODE,Travis Scott,13197,2018-09-21--2018-09-28,lt,2xLMifQCjDGFmkHkpNLD9h
18,Nevermind,Dennis Lloyd,13159,2018-09-21--2018-09-28,lt,63SevszngYpZOwf63o61K4
19,Shotgun,George Ezra,13047,2018-09-21--2018-09-28,lt,4ofwffwvvnbSkrMSCKQDaC
20,Let You Love Me,Rita Ora,12981,2018-09-21--2018-09-28,lt,6xtcFXSo8H9BZN637BMVKS
21,In My Feelings,Drake,12604,2018-09-21--2018-09-28,lt,2G7V7zsVDxg1yRsu7Ew9RJ
22,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,11965,2018-09-21--2018-09-28,lt,5Xn4IyTtW6FUGIUyWjbUHG
23,No Stylist,French Montana,11835,2018-09-21--2018-09-28,lt,04MLEeAMuV9IlHEsD8vF6A
24,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,11611,2018-09-21--2018-09-28,lt,3DGar7krWlmrXRFHBcQF6z
25,Beautiful (feat. Camila Cabello),Bazzi,11570,2018-09-21--2018-09-28,lt,4VUwkH455At9kENOfzTqmF
26,Body (feat. Brando),Loud Luxury,11374,2018-09-21--2018-09-28,lt,7K7MUBCnzgBAvMVW2RTWNs
27,Solo (feat. Demi Lovato),Clean Bandit,11314,2018-09-21--2018-09-28,lt,6kPJZM97LwdG9QIsT7khp6
28,Lucid Dreams,Juice WRLD,11281,2018-09-21--2018-09-28,lt,0s3nnoMeVWz3989MkNQiRf
29,Want To,Dua Lipa,10757,2018-09-21--2018-09-28,lt,0CBFOvHlyqy30Q5tbyNHfQ
30,SAD!,XXXTENTACION,10579,2018-09-21--2018-09-28,lt,3ee8Jmje8o58CHK66QrVC2
31,One Kiss (with Dua Lipa),Calvin Harris,10508,2018-09-21--2018-09-28,lt,7ef4DlsgrMEH11cDZd32M6
32,Youngblood,5 Seconds of Summer,10287,2018-09-21--2018-09-28,lt,2iUXsYOEPhVqEBwsqP70rE
33,SLOW DANCING IN THE DARK,Joji,10192,2018-09-21--2018-09-28,lt,0UyljEbX9dqI1K0sqdv6B6
34,Happy Now,Zedd,10029,2018-09-21--2018-09-28,lt,4keoy2fqgwGnbWlm3ZVZFa
35,The Ringer,Eminem,9890,2018-09-21--2018-09-28,lt,2jt2WxXMCD4zjACthkJQVE
36,Better Now,Post Malone,9795,2018-09-21--2018-09-28,lt,7dt6x5M1jzdTEt8oCbisTK
37,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,9687,2018-09-21--2018-09-28,lt,2E124GmJRnBJuXbTb4cPUB
38,Fall,Eminem,9543,2018-09-21--2018-09-28,lt,58QhkbaAkLFnn7JwAnAato
39,Girls Like You (feat. Cardi B),Maroon 5,9539,2018-09-21--2018-09-28,lt,7fa9MBXhVfQ8P8Df9OEbD8
40,No Brainer,DJ Khaled,9288,2018-09-21--2018-09-28,lt,5WvAo7DNuPRmk4APhdPzi8
41,Moonlight,XXXTENTACION,9208,2018-09-21--2018-09-28,lt,0JP9xo3adEtGSdUEISiszL
42,Nonstop,Drake,9096,2018-09-21--2018-09-28,lt,0TlLq3lA83rQOYtrqBqSct
43,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,8907,2018-09-21--2018-09-28,lt,15kQGEy89K8deJcZVFEn0N
44,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,8842,2018-09-21--2018-09-28,lt,7ycWLEP1GsNjVvcjawXz3z
45,God is a woman,Ariana Grande,8789,2018-09-21--2018-09-28,lt,5OCJzvD7sykQEKHH7qAC3C
46,Jackie Chan,Tiësto,8788,2018-09-21--2018-09-28,lt,4kWO6O1BUXcZmaxitpVUwp
47,Taste (feat. Offset),Tyga,8725,2018-09-21--2018-09-28,lt,5IaHrVsrferBYDm0bDyABy
48,Love Someone,Lukas Graham,8339,2018-09-21--2018-09-28,lt,2JqnpexlO9dmvjUMCaLCLJ
49,rockstar (feat. 21 Savage),Post Malone,8288,2018-09-21--2018-09-28,lt,0e7ipj03S05BNilyu5bRzt
50,Mo Bamba,Sheck Wes,7980,2018-09-21--2018-09-28,lt,3QybPutx0Tjk472bBKjNWn
51,Rise,Jonas Blue,7974,2018-09-21--2018-09-28,lt,3u1S1OmAUhx5DRlLrXqyp3
52,Noticed,Lil Mosey,7856,2018-09-21--2018-09-28,lt,7d6XJZjnm7iWcKwYL9z5kC
53,Don’t Matter To Me (with Michael Jackson),Drake,7678,2018-09-21--2018-09-28,lt,6G8kHiVZ1jW7vHMPVRNZU0
54,New Patek,Lil Uzi Vert,7671,2018-09-21--2018-09-28,lt,0Fpen1PTuEnCmOJtUU9Iud
55,Feels Like Summer,Childish Gambino,7554,2018-09-21--2018-09-28,lt,7p4vHnYXkxlzvfePJVpcTr
56,Jocelyn Flores,XXXTENTACION,7508,2018-09-21--2018-09-28,lt,7m9OqQk4RVRkw9JJdeAw96
57,Darkside,Alan Walker,7504,2018-09-21--2018-09-28,lt,1snWlbcbgQpJfknoI30DWG
58,no tears left to cry,Ariana Grande,7479,2018-09-21--2018-09-28,lt,2qT1uLXPVPzGgFOx4jtEuo
59,Say My Name,David Guetta,7382,2018-09-21--2018-09-28,lt,0YammaEkYSeo9vQYZ1OwS6
60,High On Life (feat. Bonn),Martin Garrix,7357,2018-09-21--2018-09-28,lt,4ut5G4rgB1ClpMTMfjoIuy
61,Not Alike (feat. Royce Da 5'9),Eminem,7182,2018-09-21--2018-09-28,lt,28FGV3ORH14MYORd7s5dlU
62,High Hopes,Panic! At The Disco,7144,2018-09-21--2018-09-28,lt,1rqqCSm0Qe4I9rUvWncaom
63,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,7057,2018-09-21--2018-09-28,lt,0cDwUAF7yQrOLRcFfJpSc2
64,Ieškau - Remix,8 Kambarys,6803,2018-09-21--2018-09-28,lt,4IqUG5Xs7IVlmGtpbN1vya
65,I Like It,Cardi B,6719,2018-09-21--2018-09-28,lt,58q2HKrzhC3ozto2nDdN4z
66,Born To Be Yours,Kygo,6693,2018-09-21--2018-09-28,lt,0kHyKhJMukHEPfeh8s7rdM
67,Drew Barrymore,Bryce Vine,6650,2018-09-21--2018-09-28,lt,0OgGn1ofaj55l2PcihQQGV
68,Side Effects (feat. Emily Warren),The Chainsmokers,6431,2018-09-21--2018-09-28,lt,5hrXLJJrnKraxRQntH0Vv9
69,Self Care,Mac Miller,6308,2018-09-21--2018-09-28,lt,5bJ1DrEM4hNCafcDd1oxHx
70,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,6274,2018-09-21--2018-09-28,lt,2zy9TMoZlYGuCNY4TLqG24
71,Kamikaze,Eminem,6274,2018-09-21--2018-09-28,lt,2gsNpSn7VvvJuSrIDfRoYy
72,Greatest,Eminem,6178,2018-09-21--2018-09-28,lt,2XTquzYQAdT1Hk78bOUwsv
73,Keep It To Myself,Jovani,6119,2018-09-21--2018-09-28,lt,3FHQrn89yVW4E5bbsS4zVf
74,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,5997,2018-09-21--2018-09-28,lt,4hQ6UGyWQIGJmHSo0J88JW
75,All I Am,Jess Glynne,5922,2018-09-21--2018-09-28,lt,6X6SdJzxyw7GzxwP2fr9WV
76,Dancing In The Moonlight (feat. NEIMY),Jubël,5903,2018-09-21--2018-09-28,lt,4Vs8RLrUdDXeaZbNeIOrtn
77,8 Letters,Why Don't We,5825,2018-09-21--2018-09-28,lt,4zRZAmBQP8vhNPf9i9opXt
78,God's Plan,Drake,5808,2018-09-21--2018-09-28,lt,6DCZcSspjsKoFjzjrWoCdn
