Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,54008,2018-09-21--2018-09-28,lv,0Dn40gxVCMo5TkgS8Ik18Q
2,I Love It (& Lil Pump),Kanye West,41036,2018-09-21--2018-09-28,lv,4S8d14HvHb70ImctNgVzQQ
3,In My Mind,Dynoro,30964,2018-09-21--2018-09-28,lv,0E9ZjEAyAwOXZ7wJC0PD33
4,Promises (with Sam Smith),Calvin Harris,26048,2018-09-21--2018-09-28,lv,5N5k9nd479b1xpDZ4usjrg
5,Lucky You (feat. Joyner Lucas),Eminem,23919,2018-09-21--2018-09-28,lv,60SdxE8apGAxMiRrpbmLY0
6,Zemes stunda,ansis,21853,2018-09-21--2018-09-28,lv,7MSS9mAqAHHkUCa7HL0RbA
7,Happier,Marshmello,21199,2018-09-21--2018-09-28,lv,2dpaYNEQHiRxtZbfNsse99
8,Wake Up in the Sky,Gucci Mane,18819,2018-09-21--2018-09-28,lv,0QIjsbm2fh1cJ45XO9eGqq
9,Natural,Imagine Dragons,18681,2018-09-21--2018-09-28,lv,4zIO3ilp5HvTeK3HJHxhMP
10,Eastside (with Halsey & Khalid),benny blanco,18217,2018-09-21--2018-09-28,lv,0d2iYfpKoM0QCKvcLCkBao
11,Better,Khalid,16708,2018-09-21--2018-09-28,lv,4T3fNx3CgwDRRYgmFCbD4J
12,Be Alright,Dean Lewis,16101,2018-09-21--2018-09-28,lv,3EPXxR3ImUwfayaurPi3cm
13,Lucid Dreams,Juice WRLD,15529,2018-09-21--2018-09-28,lv,0s3nnoMeVWz3989MkNQiRf
14,SICKO MODE,Travis Scott,15404,2018-09-21--2018-09-28,lv,2xLMifQCjDGFmkHkpNLD9h
15,SAD!,XXXTENTACION,14652,2018-09-21--2018-09-28,lv,3ee8Jmje8o58CHK66QrVC2
16,Thunderclouds,Sia,14458,2018-09-21--2018-09-28,lv,5a8RPWgKSmcGBGcffmIrUi
17,Killshot,Eminem,14145,2018-09-21--2018-09-28,lv,1jo3TwNGCXfNdB5uba3ZVv
18,Nevermind,Dennis Lloyd,14066,2018-09-21--2018-09-28,lv,63SevszngYpZOwf63o61K4
19,Better Now,Post Malone,13653,2018-09-21--2018-09-28,lv,7dt6x5M1jzdTEt8oCbisTK
20,Electricity (with Dua Lipa),Silk City,13206,2018-09-21--2018-09-28,lv,5N4erncE7kuUccm7zEmwzk
