Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,2641777,2018-09-21--2018-09-28,mx,48zFZh27QU5qsrBjn4C2FA
2,No Es Justo,J Balvin,2502547,2018-09-21--2018-09-28,mx,5qFeMRz4TvetPmzjre9Dq7
3,Amigos Con Derechos,Reik,2325771,2018-09-21--2018-09-28,mx,2zDj4WjbNDmrRL6Z4YjjCA
4,BEBE,6ix9ine,2297523,2018-09-21--2018-09-28,mx,7ATATJztoWLcqDAcVVof0C
5,Te Boté - Remix,Nio Garcia,1923875,2018-09-21--2018-09-28,mx,3V8UKqhEK5zBkBb6d6ub8i
6,Mala Mía,Maluma,1773723,2018-09-21--2018-09-28,mx,62o8KoI44JfN7aYxgTnPvh
7,Cuando Te Besé,Becky G,1746743,2018-09-21--2018-09-28,mx,2XXMDz7SPZ4mSFN1PXfHUy
8,No Me Acuerdo,Thalía,1681520,2018-09-21--2018-09-28,mx,00EPIEnX1JFjff8sC6bccd
9,Sin Pijama,Becky G,1659210,2018-09-21--2018-09-28,mx,2ijef6ni2amuunRoKTlgww
10,Clandestino,Shakira,1573954,2018-09-21--2018-09-28,mx,7DrluKkTviBwCc8AV3VGmf
11,Culpables,Manuel Turizo,1493572,2018-09-21--2018-09-28,mx,3RD0PGolM0mETGHaprwgMn
12,Ya No Tiene Novio,Sebastian Yatra,1484899,2018-09-21--2018-09-28,mx,7uQmJ1jgNzBpATSoWKSPFu
13,Nunca Es Suficiente,Los Angeles Azules,1473053,2018-09-21--2018-09-28,mx,63USmok1OioBzKuWGW9wAg
14,In My Feelings,Drake,1419138,2018-09-21--2018-09-28,mx,2G7V7zsVDxg1yRsu7Ew9RJ
15,In My Mind,Dynoro,1373024,2018-09-21--2018-09-28,mx,0E9ZjEAyAwOXZ7wJC0PD33
16,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,1265206,2018-09-21--2018-09-28,mx,3TnhQSRwT3AVMdXw5JPq0x
17,Promises (with Sam Smith),Calvin Harris,1244701,2018-09-21--2018-09-28,mx,5N5k9nd479b1xpDZ4usjrg
18,Asesina,Brytiago,1233446,2018-09-21--2018-09-28,mx,6rbhaJsE4uLzpPf8WYSHDK
19,Quiere Beber,Anuel AA,1141231,2018-09-21--2018-09-28,mx,3rPAD722s5FFNnwjC91t7Z
20,La player (Bandolera),Zion & Lennox,1126330,2018-09-21--2018-09-28,mx,0VKkyBKCXyR99navhVRqcP
21,Electricity (with Dua Lipa),Silk City,1117250,2018-09-21--2018-09-28,mx,5N4erncE7kuUccm7zEmwzk
22,Cuando Nadie Ve,Morat,1114875,2018-09-21--2018-09-28,mx,1Cxd4ZJJ9VOQQpNcpdcZEQ
23,I Like It,Cardi B,1093532,2018-09-21--2018-09-28,mx,58q2HKrzhC3ozto2nDdN4z
24,Por Perro,Sebastian Yatra,1071709,2018-09-21--2018-09-28,mx,2alIsNw1mqEShbWyO1HXZZ
25,Me Niego (feat. Ozuna & Wisin),Reik,1052230,2018-09-21--2018-09-28,mx,6jA8JUuPCGYjFcgw0AoM5T
26,Ahora Te Puedes Marchar,Luis Miguel,1017762,2018-09-21--2018-09-28,mx,1uKjQoh8JZj9ryuYRhpd7E
27,Girls Like You (feat. Cardi B),Maroon 5,1016099,2018-09-21--2018-09-28,mx,7fa9MBXhVfQ8P8Df9OEbD8
28,Epa Wei,Danny Ocean,1009550,2018-09-21--2018-09-28,mx,2QmsKag0YaqhAbpR9Nwmpn
29,One Kiss (with Dua Lipa),Calvin Harris,955652,2018-09-21--2018-09-28,mx,7ef4DlsgrMEH11cDZd32M6
30,I Love It (& Lil Pump),Kanye West,953266,2018-09-21--2018-09-28,mx,4S8d14HvHb70ImctNgVzQQ
31,Chica Paranormal,Paulo Londra,952496,2018-09-21--2018-09-28,mx,2r77vqSZkOktTSgmAOoHsV
32,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,933069,2018-09-21--2018-09-28,mx,4QtiVmuA88tPQiCOHZuQ5b
33,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,931875,2018-09-21--2018-09-28,mx,5OUGSwa2eadrcAsMdUItmO
34,No Hay Nadie Más,Sebastian Yatra,928626,2018-09-21--2018-09-28,mx,3IPJg1sdqLj12kFIndaonN
35,Natural,Imagine Dragons,918901,2018-09-21--2018-09-28,mx,4zIO3ilp5HvTeK3HJHxhMP
36,La Mujer Perfecta,KURT,908975,2018-09-21--2018-09-28,mx,0mAGeks6ns4FZWBPkjD9HR
37,X,Nicky Jam,908103,2018-09-21--2018-09-28,mx,39N9RPD9MRb5WmoLzNzPeA
