Position,Track Name,Artist,Streams,date,region,id
1,Beautiful (feat. Camila Cabello),Bazzi,241573,2018-09-21--2018-09-28,my,4VUwkH455At9kENOfzTqmF
2,Be Alright,Dean Lewis,224716,2018-09-21--2018-09-28,my,3EPXxR3ImUwfayaurPi3cm
3,Happier,Marshmello,222054,2018-09-21--2018-09-28,my,2dpaYNEQHiRxtZbfNsse99
4,Eastside (with Halsey & Khalid),benny blanco,202042,2018-09-21--2018-09-28,my,0d2iYfpKoM0QCKvcLCkBao
5,Better,Khalid,188585,2018-09-21--2018-09-28,my,4T3fNx3CgwDRRYgmFCbD4J
6,DDU-DU DDU-DU - KR Ver.,BLACKPINK,168328,2018-09-21--2018-09-28,my,2CWnuF7ht55Ajyeg4WPvWu
7,Darkside,Alan Walker,162871,2018-09-21--2018-09-28,my,1snWlbcbgQpJfknoI30DWG
8,8 Letters,Why Don't We,161491,2018-09-21--2018-09-28,my,4zRZAmBQP8vhNPf9i9opXt
9,Happy Now,Zedd,159284,2018-09-21--2018-09-28,my,4keoy2fqgwGnbWlm3ZVZFa
10,You Are The Reason,Calum Scott,158782,2018-09-21--2018-09-28,my,69vToJ9BMbbLlFZo7k7A7B
11,Thunderclouds,Sia,152217,2018-09-21--2018-09-28,my,5a8RPWgKSmcGBGcffmIrUi
12,Kisah Antara Kita,One Avenue Band,148382,2018-09-21--2018-09-28,my,4i69rFBMTOOucN2QE5bSbq
13,I'm a Mess,Bebe Rexha,148169,2018-09-21--2018-09-28,my,04ZTP5KsCypmtCmQg5tH9R
14,Girls Like You (feat. Cardi B),Maroon 5,145001,2018-09-21--2018-09-28,my,7fa9MBXhVfQ8P8Df9OEbD8
15,Lucky You (feat. Joyner Lucas),Eminem,144703,2018-09-21--2018-09-28,my,60SdxE8apGAxMiRrpbmLY0
16,Love Someone,Lukas Graham,134751,2018-09-21--2018-09-28,my,2JqnpexlO9dmvjUMCaLCLJ
17,2002,Anne-Marie,134588,2018-09-21--2018-09-28,my,2BgEsaKNfHUdlh97KmvFyo
18,breathin,Ariana Grande,130847,2018-09-21--2018-09-28,my,4OafepJy2teCjYJbvFE60J
19,Solo (feat. Demi Lovato),Clean Bandit,123468,2018-09-21--2018-09-28,my,6kPJZM97LwdG9QIsT7khp6
20,Promises (with Sam Smith),Calvin Harris,117442,2018-09-21--2018-09-28,my,5N5k9nd479b1xpDZ4usjrg
21,Electricity (with Dua Lipa),Silk City,115142,2018-09-21--2018-09-28,my,5N4erncE7kuUccm7zEmwzk
22,God is a woman,Ariana Grande,114638,2018-09-21--2018-09-28,my,5OCJzvD7sykQEKHH7qAC3C
23,Killshot,Eminem,110890,2018-09-21--2018-09-28,my,1jo3TwNGCXfNdB5uba3ZVv
24,In My Feelings,Drake,110782,2018-09-21--2018-09-28,my,2G7V7zsVDxg1yRsu7Ew9RJ
25,Bukti,Virgoun,110733,2018-09-21--2018-09-28,my,0O2GtSCle8Eujbc1Voh2VY
26,SLOW DANCING IN THE DARK,Joji,110521,2018-09-21--2018-09-28,my,0UyljEbX9dqI1K0sqdv6B6
27,Real Friends,Camila Cabello,110295,2018-09-21--2018-09-28,my,5vnpANH92iEajvGwE2oQ6r
28,No Brainer,DJ Khaled,109400,2018-09-21--2018-09-28,my,5WvAo7DNuPRmk4APhdPzi8
29,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,105212,2018-09-21--2018-09-28,my,2zy9TMoZlYGuCNY4TLqG24
30,Youngblood,5 Seconds of Summer,105085,2018-09-21--2018-09-28,my,2iUXsYOEPhVqEBwsqP70rE
31,I Love It (& Lil Pump),Kanye West,104094,2018-09-21--2018-09-28,my,4S8d14HvHb70ImctNgVzQQ
32,Superhero,Lauv,104053,2018-09-21--2018-09-28,my,1Fo4OvzP9PThFKMeMIAEYu
33,Sampai Bila,Misha Omar,102211,2018-09-21--2018-09-28,my,3cvpEmLI6MbnDqZstyqWxK
34,KILLING ME,iKON,102061,2018-09-21--2018-09-28,my,27kB4qLUCV8nZd2eOgj1Tk
35,Hikayat Benladin,Ben Ladin,100572,2018-09-21--2018-09-28,my,7eGaynemjJX4nr2C5OD49d
36,lovely (with Khalid),Billie Eilish,96958,2018-09-21--2018-09-28,my,0u2P5u6lvoDfwTYjAADbn4
37,Falling Down - Bonus Track,Lil Peep,96189,2018-09-21--2018-09-28,my,0Dn40gxVCMo5TkgS8Ik18Q
38,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,93912,2018-09-21--2018-09-28,my,4hQ6UGyWQIGJmHSo0J88JW
39,High Hopes,Panic! At The Disco,93357,2018-09-21--2018-09-28,my,1rqqCSm0Qe4I9rUvWncaom
40,IDOL,BTS,92785,2018-09-21--2018-09-28,my,03iCbZaM4OkRR4We6wIzvx
41,Natural,Imagine Dragons,89689,2018-09-21--2018-09-28,my,4zIO3ilp5HvTeK3HJHxhMP
42,no tears left to cry,Ariana Grande,89216,2018-09-21--2018-09-28,my,2qT1uLXPVPzGgFOx4jtEuo
43,Sampai Ke Hari Tua,Aizat Amdan,88677,2018-09-21--2018-09-28,my,5tHorpjAhmQBpLSz4TZVkn
44,Rise,Jonas Blue,88540,2018-09-21--2018-09-28,my,3u1S1OmAUhx5DRlLrXqyp3
45,Thru These Tears,LANY,88405,2018-09-21--2018-09-28,my,4gB61mP4tNChn4LgfquMhi
46,Let Me Down Slowly,Alec Benjamin,86729,2018-09-21--2018-09-28,my,2uaiyLKnYvazyfR0Ky3Kbk
47,Ocean (feat. Khalid),Martin Garrix,86149,2018-09-21--2018-09-28,my,3nc420PXjTdBV5TN0gCFkS
48,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,84917,2018-09-21--2018-09-28,my,15kQGEy89K8deJcZVFEn0N
49,Better Now,Post Malone,84884,2018-09-21--2018-09-28,my,7dt6x5M1jzdTEt8oCbisTK
50,Di Matamu,Sufian Suhaimi,83651,2018-09-21--2018-09-28,my,3vESKvFu212T8QajZM2BCK
51,Siren,SUNMI,80424,2018-09-21--2018-09-28,my,2EK48RuuE8HHMDzD2rEDqL
52,Wake Up in the Sky,Gucci Mane,79762,2018-09-21--2018-09-28,my,0QIjsbm2fh1cJ45XO9eGqq
53,Perfect,Ed Sheeran,78381,2018-09-21--2018-09-28,my,0tgVpDi06FyKpA1z0VMD4v
