Position,Track Name,Artist,Streams,date,region,id
1,Quiere Beber,Anuel AA,20535,2018-09-21--2018-09-28,ni,3rPAD722s5FFNnwjC91t7Z
2,Vaina Loca,Ozuna,18205,2018-09-21--2018-09-28,ni,48zFZh27QU5qsrBjn4C2FA
3,BEBE,6ix9ine,17560,2018-09-21--2018-09-28,ni,7ATATJztoWLcqDAcVVof0C
4,No Es Justo,J Balvin,15051,2018-09-21--2018-09-28,ni,5qFeMRz4TvetPmzjre9Dq7
5,Te Boté - Remix,Nio Garcia,14019,2018-09-21--2018-09-28,ni,3V8UKqhEK5zBkBb6d6ub8i
6,Toda - Remix,Alex Rose,13531,2018-09-21--2018-09-28,ni,7nD2JPaxIKUdxd2UWgnaGL
7,I Like It,Cardi B,11661,2018-09-21--2018-09-28,ni,58q2HKrzhC3ozto2nDdN4z
8,Estamos Bien,Bad Bunny,11352,2018-09-21--2018-09-28,ni,7glCSQqV5o6NU88Cn4zPZn
9,Hipócrita,Anuel AA,10802,2018-09-21--2018-09-28,ni,6XBjCetHKdO5L9cwMDVffw
10,Brindemos,Anuel AA,10276,2018-09-21--2018-09-28,ni,7LeQ55Z5jPBB0ggYJtAiYO
11,Culpables,KAROL G,10118,2018-09-21--2018-09-28,ni,6q8Lb50EtqNeeJXXe8mMAH
12,La player (Bandolera),Zion & Lennox,10027,2018-09-21--2018-09-28,ni,0VKkyBKCXyR99navhVRqcP
13,Sin Pijama,Becky G,9014,2018-09-21--2018-09-28,ni,2ijef6ni2amuunRoKTlgww
14,In My Feelings,Drake,8571,2018-09-21--2018-09-28,ni,2G7V7zsVDxg1yRsu7Ew9RJ
15,Asesina,Brytiago,8545,2018-09-21--2018-09-28,ni,6rbhaJsE4uLzpPf8WYSHDK
16,Mala Mía,Maluma,8458,2018-09-21--2018-09-28,ni,62o8KoI44JfN7aYxgTnPvh
17,Culpables,Manuel Turizo,8183,2018-09-21--2018-09-28,ni,3RD0PGolM0mETGHaprwgMn
18,Cuando Te Besé,Becky G,8169,2018-09-21--2018-09-28,ni,2XXMDz7SPZ4mSFN1PXfHUy
19,Madura (feat. Bad Bunny),Cosculluela,8130,2018-09-21--2018-09-28,ni,0r9d60ZYPAlFHq8qnUtkXN
20,Por Perro,Sebastian Yatra,7791,2018-09-21--2018-09-28,ni,2alIsNw1mqEShbWyO1HXZZ
21,Girls Like You (feat. Cardi B),Maroon 5,7634,2018-09-21--2018-09-28,ni,7fa9MBXhVfQ8P8Df9OEbD8
22,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,7422,2018-09-21--2018-09-28,ni,3TnhQSRwT3AVMdXw5JPq0x
23,Me Niego (feat. Ozuna & Wisin),Reik,7365,2018-09-21--2018-09-28,ni,6jA8JUuPCGYjFcgw0AoM5T
24,No Me Acuerdo,Thalía,7336,2018-09-21--2018-09-28,ni,00EPIEnX1JFjff8sC6bccd
25,Déjala que vuelva (feat. Manuel Turizo),Piso 21,6475,2018-09-21--2018-09-28,ni,1j6xOGusnyXq3l6IryKF3G
26,One Kiss (with Dua Lipa),Calvin Harris,6438,2018-09-21--2018-09-28,ni,7ef4DlsgrMEH11cDZd32M6
