Position,Track Name,Artist,Streams,date,region,id
1,Kung 'Di Rin Lang Ikaw,December Avenue,1644621,2018-09-21--2018-09-28,ph,2BgD4nRyx9EZ5o8YEnjRSV
2,Sa Ngalan Ng Pag-Ibig,December Avenue,1162557,2018-09-21--2018-09-28,ph,00mBzIWv5gHOYxwuEJXjOG
3,Kathang Isip,Ben&Ben,1121662,2018-09-21--2018-09-28,ph,3WUEs51GpcvlgU7lehLgLh
4,Thru These Tears,LANY,990435,2018-09-21--2018-09-28,ph,4gB61mP4tNChn4LgfquMhi
5,Mundo,IV Of Spades,953695,2018-09-21--2018-09-28,ph,4u8RkgV6P4TLi89SmlUtv8
6,Beautiful (feat. Camila Cabello),Bazzi,916262,2018-09-21--2018-09-28,ph,4VUwkH455At9kENOfzTqmF
7,'Di Na Muli,Janine Teñoso,901775,2018-09-21--2018-09-28,ph,3VQb0rq27GPX92X53Ni1Lc
8,Girls Like You (feat. Cardi B),Maroon 5,896651,2018-09-21--2018-09-28,ph,7fa9MBXhVfQ8P8Df9OEbD8
9,Sana,I Belong to the Zoo,863015,2018-09-21--2018-09-28,ph,1X4l4i472kW5ofFP8Xo0x0
10,2002,Anne-Marie,859014,2018-09-21--2018-09-28,ph,2BgEsaKNfHUdlh97KmvFyo
11,Eastside (with Halsey & Khalid),benny blanco,849983,2018-09-21--2018-09-28,ph,0d2iYfpKoM0QCKvcLCkBao
12,Happier,Marshmello,813473,2018-09-21--2018-09-28,ph,2dpaYNEQHiRxtZbfNsse99
13,No Brainer,DJ Khaled,773041,2018-09-21--2018-09-28,ph,5WvAo7DNuPRmk4APhdPzi8
14,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""",Moira Dela Torre,755509,2018-09-21--2018-09-28,ph,7aW2GrNlteWTwQZxX6LNjT
15,In My Feelings,Drake,704575,2018-09-21--2018-09-28,ph,2G7V7zsVDxg1yRsu7Ew9RJ
16,I Don't Wanna Love You Anymore,LANY,689475,2018-09-21--2018-09-28,ph,1NEV2pt7AJSHWadhfCZ48t
17,IDGAF,Dua Lipa,686667,2018-09-21--2018-09-28,ph,76cy1WJvNGJTj78UqeA5zr
18,Be Alright,Dean Lewis,680081,2018-09-21--2018-09-28,ph,3EPXxR3ImUwfayaurPi3cm
19,Love Someone,Lukas Graham,678263,2018-09-21--2018-09-28,ph,2JqnpexlO9dmvjUMCaLCLJ
20,Better,Khalid,664021,2018-09-21--2018-09-28,ph,4T3fNx3CgwDRRYgmFCbD4J
21,8 Letters,Why Don't We,632964,2018-09-21--2018-09-28,ph,4zRZAmBQP8vhNPf9i9opXt
22,Akala,Marion,626723,2018-09-21--2018-09-28,ph,2Gh039ZAfydrM5IjiGlvEj
23,Maybe The Night,Ben&Ben,598710,2018-09-21--2018-09-28,ph,1yDiru08Q6omDOGkZMPnei
24,Tagpuan,Moira Dela Torre,587375,2018-09-21--2018-09-28,ph,0ztDBQdQmdVZvorSmIjMih
25,Electricity (with Dua Lipa),Silk City,576949,2018-09-21--2018-09-28,ph,5N4erncE7kuUccm7zEmwzk
26,Thick And Thin,LANY,532965,2018-09-21--2018-09-28,ph,7qIICzwgm3eu1Ic3ufPGJf
27,God is a woman,Ariana Grande,524814,2018-09-21--2018-09-28,ph,5OCJzvD7sykQEKHH7qAC3C
28,Freaky Friday (feat. Chris Brown),Lil Dicky,510575,2018-09-21--2018-09-28,ph,10Igtw8bSDyyFs7KIsKngZ
29,You Are The Reason,Calum Scott,510569,2018-09-21--2018-09-28,ph,69vToJ9BMbbLlFZo7k7A7B
30,breathin,Ariana Grande,509717,2018-09-21--2018-09-28,ph,4OafepJy2teCjYJbvFE60J
31,Ex,Callalily,505501,2018-09-21--2018-09-28,ph,0GHwNr0lqf8jpc9wesmnHo
32,Happy Now,Zedd,504028,2018-09-21--2018-09-28,ph,4keoy2fqgwGnbWlm3ZVZFa
33,BAAM,MOMOLAND,482072,2018-09-21--2018-09-28,ph,4Is1b37KJY9XVCgzp81FBW
34,The Middle,Zedd,465714,2018-09-21--2018-09-28,ph,09IStsImFySgyp0pIQdqAc
35,Midnight Sky,Unique Salonga,463181,2018-09-21--2018-09-28,ph,5eFzCfsj3d0yWumdEldZwL
36,Bakit Ba Ikaw,Michael Pangilinan,459664,2018-09-21--2018-09-28,ph,0Vmk6Ebk4QBq7r0VAz2a6s
37,13,LANY,441090,2018-09-21--2018-09-28,ph,0WOvSEVpUGkNufX0w0M06F
38,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,435017,2018-09-21--2018-09-28,ph,2zy9TMoZlYGuCNY4TLqG24
39,Tadhana,Up Dharma Down,431535,2018-09-21--2018-09-28,ph,6NFKf8vBApSvtzkapYmnVR
40,Rise,Jonas Blue,418016,2018-09-21--2018-09-28,ph,3u1S1OmAUhx5DRlLrXqyp3
41,Say You Won't Let Go,James Arthur,415049,2018-09-21--2018-09-28,ph,5uCax9HTNlzGybIStD3vDh
42,Oks Lang,John Roa,410912,2018-09-21--2018-09-28,ph,2wTxJWt2gA9a1Z94dTnPiI
43,Bulong,December Avenue,409725,2018-09-21--2018-09-28,ph,5nMKJJ5Rl6X1yn58aVeICO
44,I'm a Mess,Bebe Rexha,384213,2018-09-21--2018-09-28,ph,04ZTP5KsCypmtCmQg5tH9R
45,I Like Me Better,Lauv,382283,2018-09-21--2018-09-28,ph,2P91MQbaiQOfbiz9VqhqKQ
46,Too Good At Goodbyes,Sam Smith,374973,2018-09-21--2018-09-28,ph,1mXVgsBdtIVeCLJnSnmtdV
47,Superhero,Lauv,364261,2018-09-21--2018-09-28,ph,1Fo4OvzP9PThFKMeMIAEYu
48,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,361056,2018-09-21--2018-09-28,ph,5UhpceEr5XmbVwyoIUIRnh
49,DDU-DU DDU-DU - KR Ver.,BLACKPINK,360472,2018-09-21--2018-09-28,ph,2CWnuF7ht55Ajyeg4WPvWu
50,Kung Wala Ka,Hale,359798,2018-09-21--2018-09-28,ph,4JSDhJVmo2UqdF7nxbyenn
51,Mine,Bazzi,355707,2018-09-21--2018-09-28,ph,7uzmGiiJyRfuViKKK3lVmR
52,Kung Akin Ang Mundo,Erik Santos,349928,2018-09-21--2018-09-28,ph,0W2kzUI1K0tT0RpggJZ4Js
53,These Days,Rudimental,338944,2018-09-21--2018-09-28,ph,5CLGzJsGqhCEECcpnFQA8x
54,"Susi (From the Film ""GOYO - Ang Batang Heneral"")",Ben&Ben,335097,2018-09-21--2018-09-28,ph,3I572cT9kECh41bZz2xPhy
55,Pasensya Ka Na,Silent Sanctuary,335088,2018-09-21--2018-09-28,ph,0YyM8aEdbjGfLWPn6fdcn7
56,I Love It (& Lil Pump),Kanye West,320411,2018-09-21--2018-09-28,ph,4S8d14HvHb70ImctNgVzQQ
57,Weak,Khel Pangilinan,313079,2018-09-21--2018-09-28,ph,06cUybZMETs4i3yQO1f7p3
58,Narcissist,No Rome,307086,2018-09-21--2018-09-28,ph,4Zft1h1zRfkBqlAo4qEPqp
59,Strawberries & Cigarettes,Troye Sivan,306179,2018-09-21--2018-09-28,ph,2z7UKVsBdbA7HFPunDKDP4
60,Hiling,Mark Carpio,303435,2018-09-21--2018-09-28,ph,6xQs6y6CpDqK9VKCktApEL
61,Leaves,Ben&Ben,302993,2018-09-21--2018-09-28,ph,6wdCelHrPh7UfliNjwRTUv
62,Wake Up in the Sky,Gucci Mane,300640,2018-09-21--2018-09-28,ph,0QIjsbm2fh1cJ45XO9eGqq
63,no tears left to cry,Ariana Grande,297388,2018-09-21--2018-09-28,ph,2qT1uLXPVPzGgFOx4jtEuo
64,Perfect,Ed Sheeran,297023,2018-09-21--2018-09-28,ph,0tgVpDi06FyKpA1z0VMD4v
65,Let Me,ZAYN,296623,2018-09-21--2018-09-28,ph,7Fg342AJtNsIDdwCfX0paC
66,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,295738,2018-09-21--2018-09-28,ph,7xty20N3DMTVOVtDIS2Jov
67,Nadarang,Shanti Dope,293794,2018-09-21--2018-09-28,ph,6LJ1p1h5EcMK4VPeCLDSoF
68,Thunderclouds,Sia,292314,2018-09-21--2018-09-28,ph,5a8RPWgKSmcGBGcffmIrUi
69,Migraine,Moonstar88,291955,2018-09-21--2018-09-28,ph,7sW3f7PqDV7BQ7qqeVBJIA
70,Super Far,LANY,291409,2018-09-21--2018-09-28,ph,15ahYSiHAIMxAnujlXVtta
71,Tell Me Where It Hurts,MYMP,286577,2018-09-21--2018-09-28,ph,6C2nrsOlb3jOUGcJAmPrTA
72,Magbalik,Callalily,279753,2018-09-21--2018-09-28,ph,5zMR44ZH4KVZj4FlhTj3SE
73,Lucky You (feat. Joyner Lucas),Eminem,279542,2018-09-21--2018-09-28,ph,60SdxE8apGAxMiRrpbmLY0
74,Happier,Ed Sheeran,274894,2018-09-21--2018-09-28,ph,2RttW7RAu5nOAfq6YFvApB
75,Isa Pang Araw,Sarah Geronimo,274092,2018-09-21--2018-09-28,ph,06ANmvjPpUeh8QQAAAcThx
76,Best Part (feat. Daniel Caesar),H.E.R.,272925,2018-09-21--2018-09-28,ph,4OBZT9EnhYIV17t4pGw7ig
77,Rewrite The Stars,Zac Efron,272493,2018-09-21--2018-09-28,ph,630sXRhIcfwr2e4RdNtjKN
78,Take A Bow - Main,Rihanna,271453,2018-09-21--2018-09-28,ph,39afswHs17v53znQm1gDTY
79,So Sick,Ne-Yo,270383,2018-09-21--2018-09-28,ph,6brl7bwOHmGFkNw3MBqssT
80,Promises (with Sam Smith),Calvin Harris,268976,2018-09-21--2018-09-28,ph,5N5k9nd479b1xpDZ4usjrg
81,Playinwitme (feat. Kehlani),KYLE,266864,2018-09-21--2018-09-28,ph,4F1yvJfQ7gJkrcgFJQDjOr
82,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,266791,2018-09-21--2018-09-28,ph,15kQGEy89K8deJcZVFEn0N
83,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,261947,2018-09-21--2018-09-28,ph,5Xn4IyTtW6FUGIUyWjbUHG
84,Photograph,Ed Sheeran,258253,2018-09-21--2018-09-28,ph,6fxVffaTuwjgEk5h9QyRjy
