Position,Track Name,Artist,Streams,date,region,id
1,Quiere Beber,Anuel AA,189777,2018-09-21--2018-09-28,py,3rPAD722s5FFNnwjC91t7Z
2,BEBE,6ix9ine,176716,2018-09-21--2018-09-28,py,7ATATJztoWLcqDAcVVof0C
3,Vaina Loca,Ozuna,158660,2018-09-21--2018-09-28,py,48zFZh27QU5qsrBjn4C2FA
4,Hipócrita,Anuel AA,156261,2018-09-21--2018-09-28,py,6XBjCetHKdO5L9cwMDVffw
5,Toda - Remix,Alex Rose,137152,2018-09-21--2018-09-28,py,7nD2JPaxIKUdxd2UWgnaGL
6,No Es Justo,J Balvin,132881,2018-09-21--2018-09-28,py,5qFeMRz4TvetPmzjre9Dq7
7,Asesina,Brytiago,121340,2018-09-21--2018-09-28,py,6rbhaJsE4uLzpPf8WYSHDK
8,Cuando Te Besé,Becky G,111774,2018-09-21--2018-09-28,py,2XXMDz7SPZ4mSFN1PXfHUy
9,Puntos Suspensivos,Piso 21,111490,2018-09-21--2018-09-28,py,04cd1MHVq1D8v1nuTZoCdv
10,Mala Mía,Maluma,102185,2018-09-21--2018-09-28,py,62o8KoI44JfN7aYxgTnPvh
11,Culpables,KAROL G,100914,2018-09-21--2018-09-28,py,6q8Lb50EtqNeeJXXe8mMAH
12,La player (Bandolera),Zion & Lennox,97032,2018-09-21--2018-09-28,py,0VKkyBKCXyR99navhVRqcP
13,Te Boté - Remix,Nio Garcia,91045,2018-09-21--2018-09-28,py,3V8UKqhEK5zBkBb6d6ub8i
14,Sin Pijama,Becky G,87926,2018-09-21--2018-09-28,py,2ijef6ni2amuunRoKTlgww
15,Por Perro,Sebastian Yatra,81964,2018-09-21--2018-09-28,py,2alIsNw1mqEShbWyO1HXZZ
16,Brindemos,Anuel AA,79914,2018-09-21--2018-09-28,py,7LeQ55Z5jPBB0ggYJtAiYO
17,Culpables,Manuel Turizo,73677,2018-09-21--2018-09-28,py,3RD0PGolM0mETGHaprwgMn
18,Madura (feat. Bad Bunny),Cosculluela,70814,2018-09-21--2018-09-28,py,0r9d60ZYPAlFHq8qnUtkXN
19,Chica Paranormal,Paulo Londra,70169,2018-09-21--2018-09-28,py,2r77vqSZkOktTSgmAOoHsV
20,Ya No Tiene Novio,Sebastian Yatra,68972,2018-09-21--2018-09-28,py,7uQmJ1jgNzBpATSoWKSPFu
21,Clandestino,Shakira,66989,2018-09-21--2018-09-28,py,7DrluKkTviBwCc8AV3VGmf
22,No Me Acuerdo,Thalía,64494,2018-09-21--2018-09-28,py,00EPIEnX1JFjff8sC6bccd
23,Unica,Ozuna,64330,2018-09-21--2018-09-28,py,33b2wX9d0kxqxhi7lcsC1A
24,Estamos Bien,Bad Bunny,63623,2018-09-21--2018-09-28,py,7glCSQqV5o6NU88Cn4zPZn
25,Mi Cama - Remix,KAROL G,60693,2018-09-21--2018-09-28,py,38QmUDpkoYlNbMKvpvAsrE
26,Triste,Bryant Myers,58124,2018-09-21--2018-09-28,py,5MNS5FF4LrTX0jIaI0gory
27,Amigos Con Derechos,Reik,57760,2018-09-21--2018-09-28,py,2zDj4WjbNDmrRL6Z4YjjCA
28,Te Amo,Piso 21,51985,2018-09-21--2018-09-28,py,2RVrdr062uLFxXwIxwdXPH
29,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,50292,2018-09-21--2018-09-28,py,5bITfqKGaPakO1l99hOMsI
30,Me Dijeron,Ozuna,47929,2018-09-21--2018-09-28,py,17UUYZ290omPaJY4wKeyHh
31,Me Niego (feat. Ozuna & Wisin),Reik,45904,2018-09-21--2018-09-28,py,6jA8JUuPCGYjFcgw0AoM5T
32,X - Remix,Nicky Jam,45353,2018-09-21--2018-09-28,py,6JjPBQfI2Y8nIjnm65X6Pw
33,Supuestamente,Ozuna,44963,2018-09-21--2018-09-28,py,1ZBU5DSoYQwaZVgep6pfn2
34,No Te Creas Tan Importante - En Vivo,Damas Gratis,44687,2018-09-21--2018-09-28,py,3trowLiYwwOoiwapLISNyk
35,I Like It,Cardi B,44492,2018-09-21--2018-09-28,py,58q2HKrzhC3ozto2nDdN4z
36,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,41692,2018-09-21--2018-09-28,py,3TnhQSRwT3AVMdXw5JPq0x
37,¿Cual es tu plan?,Bad Bunny,41293,2018-09-21--2018-09-28,py,4HRDBtek0ayfLQ6uc7rjO9
38,O Bebê,MC Kevinho,39883,2018-09-21--2018-09-28,py,51HrDv54pSe1IqynORNXBd
39,To My Love - Tainy Remix,Bomba Estéreo,37944,2018-09-21--2018-09-28,py,5LciLoxa1gK70yIUeoHgRx
40,Darte Remix,Alex Rose,37006,2018-09-21--2018-09-28,py,6xqbec9MHRmW7qtEINAlRx
41,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,36874,2018-09-21--2018-09-28,py,5q2JbCNi4FcnglgPfxcV65
42,El Clavo (feat. Maluma) - Remix,Prince Royce,36334,2018-09-21--2018-09-28,py,6bI00brFpeprqCDqKouEJS
43,Dura - Remix,Daddy Yankee,36024,2018-09-21--2018-09-28,py,6U2NuJILEOEpW2tVCuqKHb
44,Loca Remix,Khea,35498,2018-09-21--2018-09-28,py,2CRbiMK0W14l71SpDKqKZM
45,Darte,Alex Rose,33937,2018-09-21--2018-09-28,py,1l32xprL1vhaCYPZe3Jkxn
46,In My Feelings,Drake,33844,2018-09-21--2018-09-28,py,2G7V7zsVDxg1yRsu7Ew9RJ
47,Me Vas a Extrañar - En Vivo,Damas Gratis,31932,2018-09-21--2018-09-28,py,3CACzG9I3AoKUKA3ODE5zW
48,Déjala que vuelva (feat. Manuel Turizo),Piso 21,31303,2018-09-21--2018-09-28,py,1j6xOGusnyXq3l6IryKF3G
49,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,30772,2018-09-21--2018-09-28,py,4QtiVmuA88tPQiCOHZuQ5b
50,Unica - Remix,Ozuna,28373,2018-09-21--2018-09-28,py,5Sv1rKKMX1yl9kfJ2HTluk
51,No Hay Nadie Más,Sebastian Yatra,27840,2018-09-21--2018-09-28,py,3IPJg1sdqLj12kFIndaonN
52,Ponle,Rvssian,26163,2018-09-21--2018-09-28,py,28O1p0bQXH2F6Qn8jBZZR4
53,Desnudate Remix,Lenuel,25986,2018-09-21--2018-09-28,py,5EIrffg8uHjdrPoXest7ZJ
54,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,24896,2018-09-21--2018-09-28,py,58smOywZbVu8AjWutppiQA
55,Pensando en Ti,Anuel AA,24037,2018-09-21--2018-09-28,py,3aY5VP7fEtVHfEc1o8eRNK
56,Amor de Verdade,MC Kekel,23903,2018-09-21--2018-09-28,py,76KDy62J99FKu6ZsxMJy3j
57,La Vida Sin Ti,Piso 21,23324,2018-09-21--2018-09-28,py,1RvL7eHoeUolnQbWm2Hnba
58,Ibiza,Ozuna,23084,2018-09-21--2018-09-28,py,1h9P5WJwyvK8OB7O2YiXgp
