Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,52081,2018-09-21--2018-09-28,ro,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,50571,2018-09-21--2018-09-28,ro,0Dn40gxVCMo5TkgS8Ik18Q
3,Lucky You (feat. Joyner Lucas),Eminem,40248,2018-09-21--2018-09-28,ro,60SdxE8apGAxMiRrpbmLY0
4,Killshot,Eminem,27678,2018-09-21--2018-09-28,ro,1jo3TwNGCXfNdB5uba3ZVv
5,In My Mind,Dynoro,26930,2018-09-21--2018-09-28,ro,0E9ZjEAyAwOXZ7wJC0PD33
6,Promises (with Sam Smith),Calvin Harris,26611,2018-09-21--2018-09-28,ro,5N5k9nd479b1xpDZ4usjrg
7,SICKO MODE,Travis Scott,25375,2018-09-21--2018-09-28,ro,2xLMifQCjDGFmkHkpNLD9h
8,Eastside (with Halsey & Khalid),benny blanco,23993,2018-09-21--2018-09-28,ro,0d2iYfpKoM0QCKvcLCkBao
9,Happier,Marshmello,22840,2018-09-21--2018-09-28,ro,2dpaYNEQHiRxtZbfNsse99
10,In My Feelings,Drake,22757,2018-09-21--2018-09-28,ro,2G7V7zsVDxg1yRsu7Ew9RJ
11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,21996,2018-09-21--2018-09-28,ro,2E124GmJRnBJuXbTb4cPUB
12,SAD!,XXXTENTACION,21974,2018-09-21--2018-09-28,ro,3ee8Jmje8o58CHK66QrVC2
13,Be Alright,Dean Lewis,21893,2018-09-21--2018-09-28,ro,3EPXxR3ImUwfayaurPi3cm
14,The Ringer,Eminem,21744,2018-09-21--2018-09-28,ro,2jt2WxXMCD4zjACthkJQVE
15,No Stylist,French Montana,21464,2018-09-21--2018-09-28,ro,04MLEeAMuV9IlHEsD8vF6A
16,Wake Up in the Sky,Gucci Mane,21375,2018-09-21--2018-09-28,ro,0QIjsbm2fh1cJ45XO9eGqq
17,New Patek,Lil Uzi Vert,21126,2018-09-21--2018-09-28,ro,0Fpen1PTuEnCmOJtUU9Iud
18,Natural,Imagine Dragons,21079,2018-09-21--2018-09-28,ro,4zIO3ilp5HvTeK3HJHxhMP
19,Better,Khalid,20870,2018-09-21--2018-09-28,ro,4T3fNx3CgwDRRYgmFCbD4J
20,Fall,Eminem,19635,2018-09-21--2018-09-28,ro,58QhkbaAkLFnn7JwAnAato
21,Taste (feat. Offset),Tyga,19577,2018-09-21--2018-09-28,ro,5IaHrVsrferBYDm0bDyABy
22,Not Alike (feat. Royce Da 5'9),Eminem,18702,2018-09-21--2018-09-28,ro,28FGV3ORH14MYORd7s5dlU
23,Moonlight,XXXTENTACION,18393,2018-09-21--2018-09-28,ro,0JP9xo3adEtGSdUEISiszL
24,Nonstop,Drake,18336,2018-09-21--2018-09-28,ro,0TlLq3lA83rQOYtrqBqSct
25,Thunderclouds,Sia,18291,2018-09-21--2018-09-28,ro,5a8RPWgKSmcGBGcffmIrUi
26,Better Now,Post Malone,17607,2018-09-21--2018-09-28,ro,7dt6x5M1jzdTEt8oCbisTK
27,Electricity (with Dua Lipa),Silk City,16862,2018-09-21--2018-09-28,ro,5N4erncE7kuUccm7zEmwzk
28,Greatest,Eminem,16646,2018-09-21--2018-09-28,ro,2XTquzYQAdT1Hk78bOUwsv
29,Kamikaze,Eminem,16288,2018-09-21--2018-09-28,ro,2gsNpSn7VvvJuSrIDfRoYy
30,Lucid Dreams,Juice WRLD,15824,2018-09-21--2018-09-28,ro,0s3nnoMeVWz3989MkNQiRf
31,breathin,Ariana Grande,15804,2018-09-21--2018-09-28,ro,4OafepJy2teCjYJbvFE60J
32,Venom - Music From The Motion Picture,Eminem,15615,2018-09-21--2018-09-28,ro,2SL6oP2YAEQbqsrkOzRGO4
33,rockstar (feat. 21 Savage),Post Malone,15446,2018-09-21--2018-09-28,ro,0e7ipj03S05BNilyu5bRzt
34,Beautiful (feat. Camila Cabello),Bazzi,15371,2018-09-21--2018-09-28,ro,4VUwkH455At9kENOfzTqmF
35,Solo (feat. Demi Lovato),Clean Bandit,15345,2018-09-21--2018-09-28,ro,6kPJZM97LwdG9QIsT7khp6
36,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,14845,2018-09-21--2018-09-28,ro,5Xn4IyTtW6FUGIUyWjbUHG
37,Girls Like You (feat. Cardi B),Maroon 5,14636,2018-09-21--2018-09-28,ro,7fa9MBXhVfQ8P8Df9OEbD8
38,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,14525,2018-09-21--2018-09-28,ro,7ycWLEP1GsNjVvcjawXz3z
39,Nevermind,Dennis Lloyd,14481,2018-09-21--2018-09-28,ro,63SevszngYpZOwf63o61K4
40,REMEDY,Alesso,14091,2018-09-21--2018-09-28,ro,6jreFSOTUAViWjKyzOC4Kg
41,STARGAZING,Travis Scott,14035,2018-09-21--2018-09-28,ro,7wBJfHzpfI3032CSD7CE2m
42,no tears left to cry,Ariana Grande,13705,2018-09-21--2018-09-28,ro,2qT1uLXPVPzGgFOx4jtEuo
43,"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)",Uncle Murda,13703,2018-09-21--2018-09-28,ro,4FC2oIKWbXNOq6NThyFxSQ
44,No Brainer,DJ Khaled,13553,2018-09-21--2018-09-28,ro,5WvAo7DNuPRmk4APhdPzi8
45,I Like It,Cardi B,13525,2018-09-21--2018-09-28,ro,58q2HKrzhC3ozto2nDdN4z
46,Jocelyn Flores,XXXTENTACION,13235,2018-09-21--2018-09-28,ro,7m9OqQk4RVRkw9JJdeAw96
47,God is a woman,Ariana Grande,13214,2018-09-21--2018-09-28,ro,5OCJzvD7sykQEKHH7qAC3C
48,Body (feat. Brando),Loud Luxury,12866,2018-09-21--2018-09-28,ro,7K7MUBCnzgBAvMVW2RTWNs
49,Not the Same,Lola Brooke,12532,2018-09-21--2018-09-28,ro,48mn7ANC1Bxijm4Ekr38UJ
50,Let You Love Me,Rita Ora,12439,2018-09-21--2018-09-28,ro,6xtcFXSo8H9BZN637BMVKS
51,Youngblood,5 Seconds of Summer,12319,2018-09-21--2018-09-28,ro,2iUXsYOEPhVqEBwsqP70rE
52,God's Plan,Drake,12088,2018-09-21--2018-09-28,ro,6DCZcSspjsKoFjzjrWoCdn
53,Mo Bamba,Sheck Wes,12078,2018-09-21--2018-09-28,ro,3QybPutx0Tjk472bBKjNWn
54,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,12048,2018-09-21--2018-09-28,ro,3DGar7krWlmrXRFHBcQF6z
55,I'm a Mess,Bebe Rexha,11954,2018-09-21--2018-09-28,ro,04ZTP5KsCypmtCmQg5tH9R
