Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,1345650,2018-09-21--2018-09-28,se,0Dn40gxVCMo5TkgS8Ik18Q
2,I Love It (& Lil Pump),Kanye West,1209363,2018-09-21--2018-09-28,se,4S8d14HvHb70ImctNgVzQQ
3,Be Alright,Dean Lewis,1087179,2018-09-21--2018-09-28,se,3EPXxR3ImUwfayaurPi3cm
4,In My Mind,Dynoro,1010639,2018-09-21--2018-09-28,se,0E9ZjEAyAwOXZ7wJC0PD33
5,Sweet but Psycho,Ava Max,1009849,2018-09-21--2018-09-28,se,25sgk305KZfyuqVBQIahim
6,Happier,Marshmello,974579,2018-09-21--2018-09-28,se,2dpaYNEQHiRxtZbfNsse99
7,Promises (with Sam Smith),Calvin Harris,863691,2018-09-21--2018-09-28,se,5N5k9nd479b1xpDZ4usjrg
8,Lucky You (feat. Joyner Lucas),Eminem,820348,2018-09-21--2018-09-28,se,60SdxE8apGAxMiRrpbmLY0
9,Auf wiedersehen,Hov1,747292,2018-09-21--2018-09-28,se,0VchObTqyNU0oWVBjLTSVh
10,Kär i din kärlek - Recorded at Spotify Studios Stockholm,Molly Sandén,737436,2018-09-21--2018-09-28,se,5an6BWQDhw4FnjZhdyOFuL
11,Eastside (with Halsey & Khalid),benny blanco,687927,2018-09-21--2018-09-28,se,0d2iYfpKoM0QCKvcLCkBao
12,Lucid Dreams,Juice WRLD,666812,2018-09-21--2018-09-28,se,0s3nnoMeVWz3989MkNQiRf
13,Gäller,Z.E,662956,2018-09-21--2018-09-28,se,1U9TNHyH61eVXxR5BXls2v
14,High With Somebody,Sandro Cavazza,635426,2018-09-21--2018-09-28,se,6IhosQhN1ayHO4XP72XFXy
15,Better,Khalid,631455,2018-09-21--2018-09-28,se,4T3fNx3CgwDRRYgmFCbD4J
16,Om du lämnar mig nu,Norlie & KKV,629603,2018-09-21--2018-09-28,se,0L1dQD7v94waLO2azsFvbw
17,Love Someone,Lukas Graham,585862,2018-09-21--2018-09-28,se,2JqnpexlO9dmvjUMCaLCLJ
18,REMEDY,Alesso,541858,2018-09-21--2018-09-28,se,6jreFSOTUAViWjKyzOC4Kg
