Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,54256,2018-09-21--2018-09-28,sk,0E9ZjEAyAwOXZ7wJC0PD33
2,Falling Down - Bonus Track,Lil Peep,52217,2018-09-21--2018-09-28,sk,0Dn40gxVCMo5TkgS8Ik18Q
3,I Love It (& Lil Pump),Kanye West,48479,2018-09-21--2018-09-28,sk,4S8d14HvHb70ImctNgVzQQ
4,Lucky You (feat. Joyner Lucas),Eminem,33916,2018-09-21--2018-09-28,sk,60SdxE8apGAxMiRrpbmLY0
5,Natural,Imagine Dragons,32689,2018-09-21--2018-09-28,sk,4zIO3ilp5HvTeK3HJHxhMP
6,Promises (with Sam Smith),Calvin Harris,32232,2018-09-21--2018-09-28,sk,5N5k9nd479b1xpDZ4usjrg
7,Happier,Marshmello,28580,2018-09-21--2018-09-28,sk,2dpaYNEQHiRxtZbfNsse99
8,Eastside (with Halsey & Khalid),benny blanco,24973,2018-09-21--2018-09-28,sk,0d2iYfpKoM0QCKvcLCkBao
9,Be Alright,Dean Lewis,22992,2018-09-21--2018-09-28,sk,3EPXxR3ImUwfayaurPi3cm
10,Better,Khalid,20505,2018-09-21--2018-09-28,sk,4T3fNx3CgwDRRYgmFCbD4J
11,Electricity (with Dua Lipa),Silk City,20220,2018-09-21--2018-09-28,sk,5N4erncE7kuUccm7zEmwzk
12,Blah Blah Blah,Armin van Buuren,19654,2018-09-21--2018-09-28,sk,0tp6mwUt99QnfY95T30Lqj
13,Solo (feat. Demi Lovato),Clean Bandit,18977,2018-09-21--2018-09-28,sk,6kPJZM97LwdG9QIsT7khp6
14,Killshot,Eminem,18785,2018-09-21--2018-09-28,sk,1jo3TwNGCXfNdB5uba3ZVv
15,Thunderclouds,Sia,18547,2018-09-21--2018-09-28,sk,5a8RPWgKSmcGBGcffmIrUi
16,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,17969,2018-09-21--2018-09-28,sk,5Xn4IyTtW6FUGIUyWjbUHG
17,Rise,Jonas Blue,17629,2018-09-21--2018-09-28,sk,3u1S1OmAUhx5DRlLrXqyp3
18,Nevermind,Dennis Lloyd,17607,2018-09-21--2018-09-28,sk,63SevszngYpZOwf63o61K4
19,The Ringer,Eminem,16936,2018-09-21--2018-09-28,sk,2jt2WxXMCD4zjACthkJQVE
20,In My Feelings,Drake,16897,2018-09-21--2018-09-28,sk,2G7V7zsVDxg1yRsu7Ew9RJ
21,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,16693,2018-09-21--2018-09-28,sk,2E124GmJRnBJuXbTb4cPUB
22,SICKO MODE,Travis Scott,16478,2018-09-21--2018-09-28,sk,2xLMifQCjDGFmkHkpNLD9h
23,Wake Up in the Sky,Gucci Mane,16413,2018-09-21--2018-09-28,sk,0QIjsbm2fh1cJ45XO9eGqq
24,REMEDY,Alesso,16247,2018-09-21--2018-09-28,sk,6jreFSOTUAViWjKyzOC4Kg
25,Girls Like You (feat. Cardi B),Maroon 5,16062,2018-09-21--2018-09-28,sk,7fa9MBXhVfQ8P8Df9OEbD8
26,Fall,Eminem,16044,2018-09-21--2018-09-28,sk,58QhkbaAkLFnn7JwAnAato
27,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,15719,2018-09-21--2018-09-28,sk,0cDwUAF7yQrOLRcFfJpSc2
28,breathin,Ariana Grande,15463,2018-09-21--2018-09-28,sk,4OafepJy2teCjYJbvFE60J
29,Let You Love Me,Rita Ora,14684,2018-09-21--2018-09-28,sk,6xtcFXSo8H9BZN637BMVKS
30,No Brainer,DJ Khaled,14637,2018-09-21--2018-09-28,sk,5WvAo7DNuPRmk4APhdPzi8
31,Jackie Chan,Tiësto,14614,2018-09-21--2018-09-28,sk,4kWO6O1BUXcZmaxitpVUwp
32,High On Life (feat. Bonn),Martin Garrix,14501,2018-09-21--2018-09-28,sk,4ut5G4rgB1ClpMTMfjoIuy
33,Born To Be Yours,Kygo,14179,2018-09-21--2018-09-28,sk,0kHyKhJMukHEPfeh8s7rdM
34,No Stylist,French Montana,14084,2018-09-21--2018-09-28,sk,04MLEeAMuV9IlHEsD8vF6A
35,Happy Now,Zedd,14066,2018-09-21--2018-09-28,sk,4keoy2fqgwGnbWlm3ZVZFa
36,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,13777,2018-09-21--2018-09-28,sk,3DGar7krWlmrXRFHBcQF6z
37,SAD!,XXXTENTACION,13701,2018-09-21--2018-09-28,sk,3ee8Jmje8o58CHK66QrVC2
38,One Kiss (with Dua Lipa),Calvin Harris,13692,2018-09-21--2018-09-28,sk,7ef4DlsgrMEH11cDZd32M6
39,Beautiful (feat. Camila Cabello),Bazzi,13448,2018-09-21--2018-09-28,sk,4VUwkH455At9kENOfzTqmF
40,I Like It,Cardi B,13232,2018-09-21--2018-09-28,sk,58q2HKrzhC3ozto2nDdN4z
41,Kamikaze,Eminem,13202,2018-09-21--2018-09-28,sk,2gsNpSn7VvvJuSrIDfRoYy
42,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,13190,2018-09-21--2018-09-28,sk,15kQGEy89K8deJcZVFEn0N
43,Body (feat. Brando),Loud Luxury,13170,2018-09-21--2018-09-28,sk,7K7MUBCnzgBAvMVW2RTWNs
44,Greatest,Eminem,12929,2018-09-21--2018-09-28,sk,2XTquzYQAdT1Hk78bOUwsv
45,Better Now,Post Malone,12162,2018-09-21--2018-09-28,sk,7dt6x5M1jzdTEt8oCbisTK
46,Lucid Dreams,Juice WRLD,12090,2018-09-21--2018-09-28,sk,0s3nnoMeVWz3989MkNQiRf
47,Want To,Dua Lipa,12032,2018-09-21--2018-09-28,sk,0CBFOvHlyqy30Q5tbyNHfQ
48,Not Alike (feat. Royce Da 5'9),Eminem,11712,2018-09-21--2018-09-28,sk,28FGV3ORH14MYORd7s5dlU
49,Youngblood,5 Seconds of Summer,11561,2018-09-21--2018-09-28,sk,2iUXsYOEPhVqEBwsqP70rE
50,Say My Name,David Guetta,11309,2018-09-21--2018-09-28,sk,0YammaEkYSeo9vQYZ1OwS6
51,Venom - Music From The Motion Picture,Eminem,11257,2018-09-21--2018-09-28,sk,2SL6oP2YAEQbqsrkOzRGO4
52,Pull Up,Samey,11161,2018-09-21--2018-09-28,sk,6K9YoqvqvNe4V3VijEnL0w
53,BEBE,6ix9ine,11094,2018-09-21--2018-09-28,sk,7ATATJztoWLcqDAcVVof0C
54,Believer,Imagine Dragons,11059,2018-09-21--2018-09-28,sk,0pqnGHJpmpxLKifKRmU6WP
55,Love Someone,Lukas Graham,10954,2018-09-21--2018-09-28,sk,2JqnpexlO9dmvjUMCaLCLJ
56,rockstar (feat. 21 Savage),Post Malone,10765,2018-09-21--2018-09-28,sk,0e7ipj03S05BNilyu5bRzt
57,Cizí zeď,ONEMANSHOW Foundation,10595,2018-09-21--2018-09-28,sk,7nLZ336nDC44S0CCXcCBJm
58,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,10591,2018-09-21--2018-09-28,sk,2zy9TMoZlYGuCNY4TLqG24
