Position,Track Name,Artist,Streams,date,region,id
1,เป็นไรไหม?,OG-ANIC,152832,2018-09-21--2018-09-28,th,09Mn2O6dtMLCKdeD0BtLdO
2,อาวรณ์,Polycat,150861,2018-09-21--2018-09-28,th,2USX969yFQ250hBULh6Ope
3,ติดตลก,Oat Pramote,119541,2018-09-21--2018-09-28,th,6YYcwUa7auypfzwUZoNEGY
4,มีผลต่อหัวใจ,Non Tanon,109956,2018-09-21--2018-09-28,th,6LxsOkPSGBOsPhDKFAgYVM
5,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,106420,2018-09-21--2018-09-28,th,0EYgFMIXhjcFgX6xe2NY9v
6,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,95589,2018-09-21--2018-09-28,th,3WQe3r4R1lnJs75ty9UYDF
7,Happier,Marshmello,93222,2018-09-21--2018-09-28,th,2dpaYNEQHiRxtZbfNsse99
8,ภาพจำ,Pop Pongkool,92504,2018-09-21--2018-09-28,th,4YRpjJaJpiI36HM36Dn5lS
9,Good Luck feat. Maiyarap,Lipta,91171,2018-09-21--2018-09-28,th,3tMbwbZpYXGHeg0l45m7Tv
10,ภูเขาบังเส้นผม feat. TWOPEE,Stamp,90155,2018-09-21--2018-09-28,th,5kHLmBd3GTMIFhWdD3berA
11,ความเงียบดังที่สุด,Getsunova,88016,2018-09-21--2018-09-28,th,49o9ToewyZywgB5KlaB3WN
12,DDU-DU DDU-DU - KR Ver.,BLACKPINK,86207,2018-09-21--2018-09-28,th,2CWnuF7ht55Ajyeg4WPvWu
13,Kimi wa Melody,BNK48,86050,2018-09-21--2018-09-28,th,5XNGsehWHvLadKqI9EIYKu
14,Better,Khalid,83190,2018-09-21--2018-09-28,th,4T3fNx3CgwDRRYgmFCbD4J
15,คนที่ไม่ใช่,O-Pavee,79514,2018-09-21--2018-09-28,th,76rs0Apd4Ct5LwJm8pB6r1
16,นอนได้แล้ว,F.HERO,75410,2018-09-21--2018-09-28,th,5JhLoyD2idGlKXwD9nmYuB
17,OUU NA NA (feat. FIIXD),Wonderframe,72834,2018-09-21--2018-09-28,th,5oqPT1KXfiCgFfGNc9f80H
