Position,Track Name,Artist,Streams,date,region,id
1,Head Above Water,Avril Lavigne,161132,2018-09-21--2018-09-28,tw,1N7YeVU0ZwAFbOhwM61ef6
2,Happier,Marshmello,133512,2018-09-21--2018-09-28,tw,2dpaYNEQHiRxtZbfNsse99
3,年少有為,Ronghao Li,117099,2018-09-21--2018-09-28,tw,4F189oz9W9JOV6ovuHsHYV
4,Be Alright,Dean Lewis,114694,2018-09-21--2018-09-28,tw,3EPXxR3ImUwfayaurPi3cm
5,Eastside (with Halsey & Khalid),benny blanco,113679,2018-09-21--2018-09-28,tw,0d2iYfpKoM0QCKvcLCkBao
6,Electricity (with Dua Lipa),Silk City,107807,2018-09-21--2018-09-28,tw,5N4erncE7kuUccm7zEmwzk
7,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,103582,2018-09-21--2018-09-28,tw,15kQGEy89K8deJcZVFEn0N
8,Better,Khalid,102772,2018-09-21--2018-09-28,tw,4T3fNx3CgwDRRYgmFCbD4J
9,浪流連,EggPlantEgg,99126,2018-09-21--2018-09-28,tw,2GJ9TC1R5yzZ2gYPKGPGyp
10,倒數,G.E.M.,90610,2018-09-21--2018-09-28,tw,2HmM5p02Q2qrYZvXJRLVx3
11,Promises (with Sam Smith),Calvin Harris,89504,2018-09-21--2018-09-28,tw,5N5k9nd479b1xpDZ4usjrg
12,浪子回頭,EggPlantEgg,87806,2018-09-21--2018-09-28,tw,7J6wLr8qRqLPMeOZlR54NM
13,Happy Now,Zedd,87658,2018-09-21--2018-09-28,tw,4keoy2fqgwGnbWlm3ZVZFa
14,Beautiful (feat. Camila Cabello),Bazzi,83844,2018-09-21--2018-09-28,tw,4VUwkH455At9kENOfzTqmF
15,體面(電影《前任3:再見前任》插曲),Kelly Yu,81938,2018-09-21--2018-09-28,tw,7cE5ehlKJ3L9Ejhzm3udcF
16,Girls Like You (feat. Cardi B),Maroon 5,80208,2018-09-21--2018-09-28,tw,7fa9MBXhVfQ8P8Df9OEbD8
17,Wake Up in the Sky,Gucci Mane,78404,2018-09-21--2018-09-28,tw,0QIjsbm2fh1cJ45XO9eGqq
18,Thunderclouds,Sia,76682,2018-09-21--2018-09-28,tw,5a8RPWgKSmcGBGcffmIrUi
19,慢慢喜歡你,Karen Mok,73176,2018-09-21--2018-09-28,tw,7EoyERNueJuFlQbyrRB0US
20,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,72192,2018-09-21--2018-09-28,tw,2zy9TMoZlYGuCNY4TLqG24
21,Natural,Imagine Dragons,72160,2018-09-21--2018-09-28,tw,4zIO3ilp5HvTeK3HJHxhMP
22,Darkside,Alan Walker,71764,2018-09-21--2018-09-28,tw,1snWlbcbgQpJfknoI30DWG
23,Lucky You (feat. Joyner Lucas),Eminem,71166,2018-09-21--2018-09-28,tw,60SdxE8apGAxMiRrpbmLY0
24,Love Someone,Lukas Graham,69870,2018-09-21--2018-09-28,tw,2JqnpexlO9dmvjUMCaLCLJ
25,追光者 - 電視劇夏至未至插曲,Yoyo Sham,67562,2018-09-21--2018-09-28,tw,66LKcDWIHdqWEaviZhcMTx
26,8 Letters,Why Don't We,67542,2018-09-21--2018-09-28,tw,4zRZAmBQP8vhNPf9i9opXt
27,B.O.,ØZI,66901,2018-09-21--2018-09-28,tw,2LoGv4HSbilp1SVoQ10Qw6
28,breathin,Ariana Grande,66299,2018-09-21--2018-09-28,tw,4OafepJy2teCjYJbvFE60J
29,In My Feelings,Drake,64307,2018-09-21--2018-09-28,tw,2G7V7zsVDxg1yRsu7Ew9RJ
30,High On Life (feat. Bonn),Martin Garrix,63084,2018-09-21--2018-09-28,tw,4ut5G4rgB1ClpMTMfjoIuy
31,Want To,Dua Lipa,62108,2018-09-21--2018-09-28,tw,0CBFOvHlyqy30Q5tbyNHfQ
32,2002,Anne-Marie,61739,2018-09-21--2018-09-28,tw,2BgEsaKNfHUdlh97KmvFyo
33,No Brainer,DJ Khaled,60381,2018-09-21--2018-09-28,tw,5WvAo7DNuPRmk4APhdPzi8
34,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,60180,2018-09-21--2018-09-28,tw,5Xn4IyTtW6FUGIUyWjbUHG
35,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu,59882,2018-09-21--2018-09-28,tw,4F7ZAsndEIJXyFzJUHNlRu
36,I Love It (& Lil Pump),Kanye West,59872,2018-09-21--2018-09-28,tw,4S8d14HvHb70ImctNgVzQQ
37,Say My Name,David Guetta,58638,2018-09-21--2018-09-28,tw,0YammaEkYSeo9vQYZ1OwS6
38,連名帶姓,A-Mei Chang,58501,2018-09-21--2018-09-28,tw,4a5FvWpFaCs3YOzEnnpgR0
39,In My Mind,Dynoro,57334,2018-09-21--2018-09-28,tw,0E9ZjEAyAwOXZ7wJC0PD33
40,Solo (feat. Demi Lovato),Clean Bandit,52674,2018-09-21--2018-09-28,tw,6kPJZM97LwdG9QIsT7khp6
41,Siren,SUNMI,52461,2018-09-21--2018-09-28,tw,2EK48RuuE8HHMDzD2rEDqL
42,Falling Down - Bonus Track,Lil Peep,52046,2018-09-21--2018-09-28,tw,0Dn40gxVCMo5TkgS8Ik18Q
43,我們 - 《後來的我們》電影主題曲,Eason Chan,51361,2018-09-21--2018-09-28,tw,0Uf0SvwUrf02ucIt1d0Wos
44,Rise,Jonas Blue,50916,2018-09-21--2018-09-28,tw,3u1S1OmAUhx5DRlLrXqyp3
45,我還年輕 我還年輕,老王樂隊,50867,2018-09-21--2018-09-28,tw,5o48kuQnPwhuRAzO2t0bCU
46,I'm a Mess,Bebe Rexha,49661,2018-09-21--2018-09-28,tw,04ZTP5KsCypmtCmQg5tH9R
47,Burn Out (feat. Dewain Whitmore),Martin Garrix,49409,2018-09-21--2018-09-28,tw,7IWTIkiWGWNQyYfOLdMrGD
48,飄向北方,Namewee,48692,2018-09-21--2018-09-28,tw,5mS0BGxAAebA3amJg6LkVk
49,Let You Love Me,Rita Ora,48120,2018-09-21--2018-09-28,tw,6xtcFXSo8H9BZN637BMVKS
50,Lil’ Touch,Girls' Generation-Oh!GG,47684,2018-09-21--2018-09-28,tw,4D5Ode2OfZMxIwQyvmhUe8
51,Superhero,Lauv,47406,2018-09-21--2018-09-28,tw,1Fo4OvzP9PThFKMeMIAEYu
52,Side Effects (feat. Emily Warren),The Chainsmokers,47376,2018-09-21--2018-09-28,tw,5hrXLJJrnKraxRQntH0Vv9
53,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,47159,2018-09-21--2018-09-28,tw,3DGar7krWlmrXRFHBcQF6z
