Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,12878038,2018-09-21--2018-09-28,us,0Dn40gxVCMo5TkgS8Ik18Q
2,I Love It (& Lil Pump),Kanye West,11449795,2018-09-21--2018-09-28,us,4S8d14HvHb70ImctNgVzQQ
3,SICKO MODE,Travis Scott,9965998,2018-09-21--2018-09-28,us,2xLMifQCjDGFmkHkpNLD9h
4,New Patek,Lil Uzi Vert,9216307,2018-09-21--2018-09-28,us,0Fpen1PTuEnCmOJtUU9Iud
5,Lucid Dreams,Juice WRLD,8890369,2018-09-21--2018-09-28,us,0s3nnoMeVWz3989MkNQiRf
6,Lucky You (feat. Joyner Lucas),Eminem,8067418,2018-09-21--2018-09-28,us,60SdxE8apGAxMiRrpbmLY0
7,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,8049051,2018-09-21--2018-09-28,us,2E124GmJRnBJuXbTb4cPUB
8,Mo Bamba,Sheck Wes,7796694,2018-09-21--2018-09-28,us,3QybPutx0Tjk472bBKjNWn
9,Happier,Marshmello,6996824,2018-09-21--2018-09-28,us,2dpaYNEQHiRxtZbfNsse99
10,SAD!,XXXTENTACION,6811335,2018-09-21--2018-09-28,us,3ee8Jmje8o58CHK66QrVC2
11,Nonstop,Drake,6676793,2018-09-21--2018-09-28,us,0TlLq3lA83rQOYtrqBqSct
12,Better,Khalid,6622443,2018-09-21--2018-09-28,us,4T3fNx3CgwDRRYgmFCbD4J
13,Wake Up in the Sky,Gucci Mane,6512414,2018-09-21--2018-09-28,us,0QIjsbm2fh1cJ45XO9eGqq
14,In My Feelings,Drake,6477849,2018-09-21--2018-09-28,us,2G7V7zsVDxg1yRsu7Ew9RJ
15,Moonlight,XXXTENTACION,6063895,2018-09-21--2018-09-28,us,0JP9xo3adEtGSdUEISiszL
16,Drip Too Hard,Lil Baby,5929504,2018-09-21--2018-09-28,us,1BxkZE73h9BN3qwuA15TA3
17,Eastside (with Halsey & Khalid),benny blanco,5641653,2018-09-21--2018-09-28,us,0d2iYfpKoM0QCKvcLCkBao
18,Better Now,Post Malone,5623732,2018-09-21--2018-09-28,us,7dt6x5M1jzdTEt8oCbisTK
19,Taste (feat. Offset),Tyga,5597464,2018-09-21--2018-09-28,us,5IaHrVsrferBYDm0bDyABy
20,Yes Indeed,Lil Baby,5515102,2018-09-21--2018-09-28,us,6vN77lE9LK6HP2DewaN6HZ
21,Noticed,Lil Mosey,5401635,2018-09-21--2018-09-28,us,7d6XJZjnm7iWcKwYL9z5kC
22,Killshot,Eminem,5298275,2018-09-21--2018-09-28,us,1jo3TwNGCXfNdB5uba3ZVv
23,No Stylist,French Montana,5050767,2018-09-21--2018-09-28,us,04MLEeAMuV9IlHEsD8vF6A
24,I Like It,Cardi B,4735494,2018-09-21--2018-09-28,us,58q2HKrzhC3ozto2nDdN4z
25,Jocelyn Flores,XXXTENTACION,4629726,2018-09-21--2018-09-28,us,7m9OqQk4RVRkw9JJdeAw96
26,STARGAZING,Travis Scott,4529768,2018-09-21--2018-09-28,us,7wBJfHzpfI3032CSD7CE2m
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4398804,2018-09-21--2018-09-28,us,0ZNrc4kNeQYD9koZ3KvCsy
28,Lean Wit Me,Juice WRLD,4260727,2018-09-21--2018-09-28,us,29tc0GbW0pTSBZSCZF3NWk
29,Fuck Love (feat. Trippie Redd),XXXTENTACION,4150049,2018-09-21--2018-09-28,us,7AQim7LbvFVZJE3O8TYgf2
30,Natural,Imagine Dragons,4116027,2018-09-21--2018-09-28,us,4zIO3ilp5HvTeK3HJHxhMP
31,All Girls Are The Same,Juice WRLD,4105313,2018-09-21--2018-09-28,us,0XySogm94T51XF5F2jumXm
32,breathin,Ariana Grande,4077726,2018-09-21--2018-09-28,us,4OafepJy2teCjYJbvFE60J
33,Leave Me Alone,Flipp Dinero,3929272,2018-09-21--2018-09-28,us,14mHfNsSHN0FbLftyjrV9g
34,YOSEMITE,Travis Scott,3887207,2018-09-21--2018-09-28,us,7lAK3oHbfEnvUQWosrMMpR
35,God's Plan,Drake,3820550,2018-09-21--2018-09-28,us,6DCZcSspjsKoFjzjrWoCdn
36,No Brainer,DJ Khaled,3812686,2018-09-21--2018-09-28,us,5WvAo7DNuPRmk4APhdPzi8
37,changes,XXXTENTACION,3804894,2018-09-21--2018-09-28,us,7AFASza1mXqntmGtbxXprO
38,SLOW DANCING IN THE DARK,Joji,3767533,2018-09-21--2018-09-28,us,0UyljEbX9dqI1K0sqdv6B6
39,Psycho (feat. Ty Dolla $ign),Post Malone,3761225,2018-09-21--2018-09-28,us,3swc6WTsr7rl9DqQKQA55C
40,Self Care,Mac Miller,3711158,2018-09-21--2018-09-28,us,5bJ1DrEM4hNCafcDd1oxHx
41,Electricity (with Dua Lipa),Silk City,3705400,2018-09-21--2018-09-28,us,5N4erncE7kuUccm7zEmwzk
42,God is a woman,Ariana Grande,3682001,2018-09-21--2018-09-28,us,5OCJzvD7sykQEKHH7qAC3C
43,Wasted (feat. Lil Uzi Vert),Juice WRLD,3677933,2018-09-21--2018-09-28,us,3obgSF06ki98lYNLNq5vCB
