Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,103016,2018-09-21--2018-09-28,uy,48zFZh27QU5qsrBjn4C2FA
2,Cuando Te Besé,Becky G,100709,2018-09-21--2018-09-28,uy,2XXMDz7SPZ4mSFN1PXfHUy
3,Ya No Tiene Novio,Sebastian Yatra,100265,2018-09-21--2018-09-28,uy,7uQmJ1jgNzBpATSoWKSPFu
4,No Es Justo,J Balvin,84034,2018-09-21--2018-09-28,uy,5qFeMRz4TvetPmzjre9Dq7
5,BEBE,6ix9ine,83299,2018-09-21--2018-09-28,uy,7ATATJztoWLcqDAcVVof0C
6,Sin Pijama,Becky G,78813,2018-09-21--2018-09-28,uy,2ijef6ni2amuunRoKTlgww
7,Mala Mía,Maluma,78314,2018-09-21--2018-09-28,uy,62o8KoI44JfN7aYxgTnPvh
8,Te Boté - Remix,Nio Garcia,73943,2018-09-21--2018-09-28,uy,3V8UKqhEK5zBkBb6d6ub8i
9,Toda - Remix,Alex Rose,72804,2018-09-21--2018-09-28,uy,7nD2JPaxIKUdxd2UWgnaGL
10,Quiere Beber,Anuel AA,69291,2018-09-21--2018-09-28,uy,3rPAD722s5FFNnwjC91t7Z
11,Clandestino,Shakira,61647,2018-09-21--2018-09-28,uy,7DrluKkTviBwCc8AV3VGmf
12,Amigos Con Derechos,Reik,60952,2018-09-21--2018-09-28,uy,2zDj4WjbNDmrRL6Z4YjjCA
13,Asesina,Brytiago,58694,2018-09-21--2018-09-28,uy,6rbhaJsE4uLzpPf8WYSHDK
14,No Me Acuerdo,Thalía,55540,2018-09-21--2018-09-28,uy,00EPIEnX1JFjff8sC6bccd
15,Chica Paranormal,Paulo Londra,48331,2018-09-21--2018-09-28,uy,2r77vqSZkOktTSgmAOoHsV
16,Me Dijeron,Ozuna,47899,2018-09-21--2018-09-28,uy,17UUYZ290omPaJY4wKeyHh
17,Mi Cama - Remix,KAROL G,47303,2018-09-21--2018-09-28,uy,38QmUDpkoYlNbMKvpvAsrE
18,La player (Bandolera),Zion & Lennox,47148,2018-09-21--2018-09-28,uy,0VKkyBKCXyR99navhVRqcP
19,Me Niego (feat. Ozuna & Wisin),Reik,46043,2018-09-21--2018-09-28,uy,6jA8JUuPCGYjFcgw0AoM5T
20,Árabe,Papichamp,45546,2018-09-21--2018-09-28,uy,58qmrrvUkA09szrox83VDp
21,Hipócrita,Anuel AA,45052,2018-09-21--2018-09-28,uy,6XBjCetHKdO5L9cwMDVffw
22,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,44937,2018-09-21--2018-09-28,uy,4QtiVmuA88tPQiCOHZuQ5b
23,Por Perro,Sebastian Yatra,42570,2018-09-21--2018-09-28,uy,2alIsNw1mqEShbWyO1HXZZ
24,Unica,Ozuna,41963,2018-09-21--2018-09-28,uy,33b2wX9d0kxqxhi7lcsC1A
25,Madura (feat. Bad Bunny),Cosculluela,41569,2018-09-21--2018-09-28,uy,0r9d60ZYPAlFHq8qnUtkXN
26,X - Remix,Nicky Jam,40803,2018-09-21--2018-09-28,uy,6JjPBQfI2Y8nIjnm65X6Pw
27,Sin Querer Queriendo (feat. Mau y Ricky),Lali,40798,2018-09-21--2018-09-28,uy,5rUNrHC5b0oYanaw370Ncz
28,Lo Siento,Luana,39537,2018-09-21--2018-09-28,uy,6tFxKy7abbLRQaAn1cmBuU
29,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,37677,2018-09-21--2018-09-28,uy,5bITfqKGaPakO1l99hOMsI
30,Culpables,KAROL G,37375,2018-09-21--2018-09-28,uy,6q8Lb50EtqNeeJXXe8mMAH
31,Quiero Volver,TINI,36529,2018-09-21--2018-09-28,uy,1jcAZRfufvi67KWnwRmizE
32,Ponle,Rvssian,35989,2018-09-21--2018-09-28,uy,28O1p0bQXH2F6Qn8jBZZR4
33,Celoso,Lele Pons,35804,2018-09-21--2018-09-28,uy,33zcmmElV1YbRZe57biUjg
34,Dura - Remix,Daddy Yankee,34004,2018-09-21--2018-09-28,uy,6U2NuJILEOEpW2tVCuqKHb
35,Cuando Nadie Ve,Morat,33533,2018-09-21--2018-09-28,uy,1Cxd4ZJJ9VOQQpNcpdcZEQ
36,No Me Llores,Duki,32915,2018-09-21--2018-09-28,uy,4DNzemGNnckcJSr8DVk8Uj
37,El Clavo (feat. Maluma) - Remix,Prince Royce,32580,2018-09-21--2018-09-28,uy,6bI00brFpeprqCDqKouEJS
38,Duro y Suave,Leslie Grace,30991,2018-09-21--2018-09-28,uy,31M5m42C3EGlbydf9XB5to
39,Te Amo,Piso 21,29895,2018-09-21--2018-09-28,uy,2RVrdr062uLFxXwIxwdXPH
40,Si Te Vas,Lit Killah,28870,2018-09-21--2018-09-28,uy,5VsHkOtg0Llpa6mTGZhp5e
41,Besos En Guerra,Morat,28674,2018-09-21--2018-09-28,uy,5KgdtjmglXPjJNKvMvSjgo
42,Culpables,Manuel Turizo,28404,2018-09-21--2018-09-28,uy,3RD0PGolM0mETGHaprwgMn
43,Estamos Bien,Bad Bunny,27500,2018-09-21--2018-09-28,uy,7glCSQqV5o6NU88Cn4zPZn
44,A Ella,Luana,27499,2018-09-21--2018-09-28,uy,0h9ZzM3pBiQyyw16MIbQDk
45,I Like It,Cardi B,27412,2018-09-21--2018-09-28,uy,58q2HKrzhC3ozto2nDdN4z
46,Zum Zum,Daddy Yankee,27300,2018-09-21--2018-09-28,uy,7lEhOiFtcLXY4P7cuTKuQ8
47,Consejo de Amor,TINI,26044,2018-09-21--2018-09-28,uy,1zHQ5gjJoNxT4RYFmGEWuo
48,Medicina,Anitta,25806,2018-09-21--2018-09-28,uy,4R5xvs5X0phd0EYWyGigju
49,Dimelo,Paulo Londra,25221,2018-09-21--2018-09-28,uy,3uwehoqKSQLa5lFFvIX6M3
50,Bella - Remix,Wolfine,24756,2018-09-21--2018-09-28,uy,0SaYeGhSXN0dDWstyNTQ56
51,Casualidad,Nacho,23946,2018-09-21--2018-09-28,uy,08rwXPBZ2DHOwnL7xaz044
52,Ambiente,J Balvin,23673,2018-09-21--2018-09-28,uy,6VrBWh90BiwWmwKtvwWFcq
53,Otra Botella,Neo Pistea,23070,2018-09-21--2018-09-28,uy,2WH26XlMjUamdUwG56ZqWf
54,Cómo Te Atreves,Morat,22836,2018-09-21--2018-09-28,uy,7M6CFruBrM5x7u0lTMtm6r
55,Oncemil,Luana,22696,2018-09-21--2018-09-28,uy,4nswNq7j5NcKyrYfS5SfvV
56,Hola,Zion & Lennox,22558,2018-09-21--2018-09-28,uy,2dYJKHEqAUTCk2U9zntaS1
57,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,21585,2018-09-21--2018-09-28,uy,3TnhQSRwT3AVMdXw5JPq0x
58,El Préstamo,Maluma,21432,2018-09-21--2018-09-28,uy,2XVilv6s9GETnw9PG4T9Mz
59,Calypso,Luis Fonsi,20999,2018-09-21--2018-09-28,uy,4178A5NkEjcsGc64jpBO6d
60,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,20997,2018-09-21--2018-09-28,uy,58smOywZbVu8AjWutppiQA
61,Girls Like You (feat. Cardi B),Maroon 5,20609,2018-09-21--2018-09-28,uy,7fa9MBXhVfQ8P8Df9OEbD8
62,Punto y Aparte,Dame 5,20036,2018-09-21--2018-09-28,uy,3i0EM1qoypfmIjsH8d5DE1
63,Criminal,Natti Natasha,19746,2018-09-21--2018-09-28,uy,6Za3190Sbw39BBC77WSS1C
64,In My Feelings,Drake,19586,2018-09-21--2018-09-28,uy,2G7V7zsVDxg1yRsu7Ew9RJ
65,Ella Fuma,Plan B,19583,2018-09-21--2018-09-28,uy,4IYxcqhcFFJ025qfWJeulF
66,Punto Y Aparte,Morat,19315,2018-09-21--2018-09-28,uy,6RiV6DnCbfc0b2KbNvumdP
67,Loca Remix,Khea,19217,2018-09-21--2018-09-28,uy,2CRbiMK0W14l71SpDKqKZM
68,X,Nicky Jam,19065,2018-09-21--2018-09-28,uy,39N9RPD9MRb5WmoLzNzPeA
69,Bye,Ecko,18659,2018-09-21--2018-09-28,uy,0TYtHWzASro5sMrV1UvpUC
70,Amor Con Hielo,Morat,18630,2018-09-21--2018-09-28,uy,105pLwtYErO64sPyXsPPAP
71,No Hay Nadie Más,Sebastian Yatra,18400,2018-09-21--2018-09-28,uy,3IPJg1sdqLj12kFIndaonN
72,Hijo De La Noche,Duki,18348,2018-09-21--2018-09-28,uy,2p1AlnJxp15v7ohNuLwjbl
73,Bufón,Lit Killah,18287,2018-09-21--2018-09-28,uy,6ovp1nCwIAOSMotiCF7pjk
74,I Love It (& Lil Pump),Kanye West,17990,2018-09-21--2018-09-28,uy,4S8d14HvHb70ImctNgVzQQ
75,Aprender A Quererte,Morat,17519,2018-09-21--2018-09-28,uy,3zNcn4BaVfKORyx3uDfruW
76,A Partir De Hoy,David Bisbal,16992,2018-09-21--2018-09-28,uy,7ojH6H4wE6XJNgzU4uvNc8
77,Como Le Digo,Khea,16984,2018-09-21--2018-09-28,uy,2fxJDRmUMatqyZ6ZOQi7RD
