Position,Track Name,Artist,Streams,date,region,id
1,Kokain,Bonez MC,269364,2018-09-21--2018-09-28,at,1H3oIeKUEHpBhXUiso0IMH
2,In My Mind,Dynoro,205016,2018-09-21--2018-09-28,at,0E9ZjEAyAwOXZ7wJC0PD33
3,UFF,Veysel,186409,2018-09-21--2018-09-28,at,6XjEOPgbgHKcaHcunEHSJJ
4,BONNIE & CLYDE,Loredana,178762,2018-09-21--2018-09-28,at,5UtiebKGhsSce9gX1qCqic
5,500 PS,Bonez MC,172779,2018-09-21--2018-09-28,at,641R77CBy4bOLGRcA9sgHy
6,INTERNATIONAL GANGSTAS,Farid Bang,161350,2018-09-21--2018-09-28,at,4IAVIBh9jbYN30DwpHFMD4
7,Dior 2001,RIN,150970,2018-09-21--2018-09-28,at,2eNSyVH3sNPiAj9WpRYK73
8,Happier,Marshmello,150524,2018-09-21--2018-09-28,at,2dpaYNEQHiRxtZbfNsse99
9,I Love It (& Lil Pump),Kanye West,145505,2018-09-21--2018-09-28,at,4S8d14HvHb70ImctNgVzQQ
10,Risiko,Bonez MC,141349,2018-09-21--2018-09-28,at,0mjbIwkdLPK5g2nGzhacjU
11,Falling Down - Bonus Track,Lil Peep,138879,2018-09-21--2018-09-28,at,0Dn40gxVCMo5TkgS8Ik18Q
12,Facetime,Dardan,136599,2018-09-21--2018-09-28,at,0oZyouBDStcJEUbTmSfys2
13,Melodien (feat. Juju),Capital Bra,128315,2018-09-21--2018-09-28,at,5d35jcJj7WjDQBOHCHPY6t
14,Shotgun,George Ezra,124806,2018-09-21--2018-09-28,at,4ofwffwvvnbSkrMSCKQDaC
15,Promises (with Sam Smith),Calvin Harris,112710,2018-09-21--2018-09-28,at,5N5k9nd479b1xpDZ4usjrg
16,Body (feat. Brando),Loud Luxury,105547,2018-09-21--2018-09-28,at,7K7MUBCnzgBAvMVW2RTWNs
17,Eastside (with Halsey & Khalid),benny blanco,101445,2018-09-21--2018-09-28,at,0d2iYfpKoM0QCKvcLCkBao
18,Rise,Jonas Blue,101044,2018-09-21--2018-09-28,at,3u1S1OmAUhx5DRlLrXqyp3
19,High Hopes,Panic! At The Disco,93646,2018-09-21--2018-09-28,at,1rqqCSm0Qe4I9rUvWncaom
20,Casanova,Summer Cem,92537,2018-09-21--2018-09-28,at,0jB0RNZIfaihaDKNmdrI40
