Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,1900411,2018-09-21--2018-09-28,au,4S8d14HvHb70ImctNgVzQQ
2,Eastside (with Halsey & Khalid),benny blanco,1745504,2018-09-21--2018-09-28,au,0d2iYfpKoM0QCKvcLCkBao
3,Be Alright,Dean Lewis,1555781,2018-09-21--2018-09-28,au,3EPXxR3ImUwfayaurPi3cm
4,Shotgun,George Ezra,1426323,2018-09-21--2018-09-28,au,4ofwffwvvnbSkrMSCKQDaC
5,Falling Down - Bonus Track,Lil Peep,1396606,2018-09-21--2018-09-28,au,0Dn40gxVCMo5TkgS8Ik18Q
6,Happier,Marshmello,1303316,2018-09-21--2018-09-28,au,2dpaYNEQHiRxtZbfNsse99
7,Better,Khalid,1286603,2018-09-21--2018-09-28,au,4T3fNx3CgwDRRYgmFCbD4J
8,Promises (with Sam Smith),Calvin Harris,1161485,2018-09-21--2018-09-28,au,5N5k9nd479b1xpDZ4usjrg
9,Lucky You (feat. Joyner Lucas),Eminem,1060949,2018-09-21--2018-09-28,au,60SdxE8apGAxMiRrpbmLY0
10,In My Mind,Dynoro,1035882,2018-09-21--2018-09-28,au,0E9ZjEAyAwOXZ7wJC0PD33
11,High Hopes,Panic! At The Disco,971438,2018-09-21--2018-09-28,au,1rqqCSm0Qe4I9rUvWncaom
12,Rise,Jonas Blue,967931,2018-09-21--2018-09-28,au,3u1S1OmAUhx5DRlLrXqyp3
13,In My Feelings,Drake,930764,2018-09-21--2018-09-28,au,2G7V7zsVDxg1yRsu7Ew9RJ
14,Girls Like You (feat. Cardi B),Maroon 5,895146,2018-09-21--2018-09-28,au,7fa9MBXhVfQ8P8Df9OEbD8
15,No Brainer,DJ Khaled,890216,2018-09-21--2018-09-28,au,5WvAo7DNuPRmk4APhdPzi8
16,Electricity (with Dua Lipa),Silk City,886998,2018-09-21--2018-09-28,au,5N4erncE7kuUccm7zEmwzk
17,SICKO MODE,Travis Scott,874150,2018-09-21--2018-09-28,au,2xLMifQCjDGFmkHkpNLD9h
18,REMEDY,Alesso,810420,2018-09-21--2018-09-28,au,6jreFSOTUAViWjKyzOC4Kg
19,Youngblood,5 Seconds of Summer,809754,2018-09-21--2018-09-28,au,2iUXsYOEPhVqEBwsqP70rE
20,Killshot,Eminem,799531,2018-09-21--2018-09-28,au,1jo3TwNGCXfNdB5uba3ZVv
21,Lucid Dreams,Juice WRLD,757943,2018-09-21--2018-09-28,au,0s3nnoMeVWz3989MkNQiRf
22,Beautiful (feat. Camila Cabello),Bazzi,734863,2018-09-21--2018-09-28,au,4VUwkH455At9kENOfzTqmF
23,Taste (feat. Offset),Tyga,730873,2018-09-21--2018-09-28,au,5IaHrVsrferBYDm0bDyABy
24,Jackie Chan,Tiësto,729924,2018-09-21--2018-09-28,au,4kWO6O1BUXcZmaxitpVUwp
25,breathin,Ariana Grande,728814,2018-09-21--2018-09-28,au,4OafepJy2teCjYJbvFE60J
26,Ocean (feat. Khalid),Martin Garrix,680301,2018-09-21--2018-09-28,au,3nc420PXjTdBV5TN0gCFkS
27,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,662587,2018-09-21--2018-09-28,au,15kQGEy89K8deJcZVFEn0N
28,I'll Be There,Jess Glynne,632050,2018-09-21--2018-09-28,au,083Qf6hn6sFL6xiOHlZUyn
29,SAD!,XXXTENTACION,627500,2018-09-21--2018-09-28,au,3ee8Jmje8o58CHK66QrVC2
30,Happy Now,Zedd,625541,2018-09-21--2018-09-28,au,4keoy2fqgwGnbWlm3ZVZFa
31,Body (feat. Brando),Loud Luxury,614370,2018-09-21--2018-09-28,au,7K7MUBCnzgBAvMVW2RTWNs
32,Better Now,Post Malone,613636,2018-09-21--2018-09-28,au,7dt6x5M1jzdTEt8oCbisTK
33,Never Ever (feat. Sarah),The Rubens,604463,2018-09-21--2018-09-28,au,4E2s2lCNKxbWJMwHPMzOfq
34,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,586506,2018-09-21--2018-09-28,au,5Xn4IyTtW6FUGIUyWjbUHG
35,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,585699,2018-09-21--2018-09-28,au,2E124GmJRnBJuXbTb4cPUB
36,Fire,Peking Duk,582330,2018-09-21--2018-09-28,au,3BZkEOJwKUYRlkLWZB1izC
37,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,567336,2018-09-21--2018-09-28,au,7ycWLEP1GsNjVvcjawXz3z
38,Healing Hands,Conrad Sewell,538326,2018-09-21--2018-09-28,au,1LwnqPolBLuhZKp8zAwaIz
39,Wake Up in the Sky,Gucci Mane,536726,2018-09-21--2018-09-28,au,0QIjsbm2fh1cJ45XO9eGqq
40,lovely (with Khalid),Billie Eilish,525954,2018-09-21--2018-09-28,au,0u2P5u6lvoDfwTYjAADbn4
41,God is a woman,Ariana Grande,501140,2018-09-21--2018-09-28,au,5OCJzvD7sykQEKHH7qAC3C
42,Natural,Imagine Dragons,499087,2018-09-21--2018-09-28,au,4zIO3ilp5HvTeK3HJHxhMP
43,God's Plan,Drake,495276,2018-09-21--2018-09-28,au,6DCZcSspjsKoFjzjrWoCdn
44,Jocelyn Flores,XXXTENTACION,483311,2018-09-21--2018-09-28,au,7m9OqQk4RVRkw9JJdeAw96
45,Say My Name,David Guetta,479534,2018-09-21--2018-09-28,au,0YammaEkYSeo9vQYZ1OwS6
46,Waiting,KIAN,476601,2018-09-21--2018-09-28,au,0mdIIgjVubCqYTBdCpP5k9
47,no tears left to cry,Ariana Grande,472311,2018-09-21--2018-09-28,au,2qT1uLXPVPzGgFOx4jtEuo
48,Nonstop,Drake,470390,2018-09-21--2018-09-28,au,0TlLq3lA83rQOYtrqBqSct
49,The Ringer,Eminem,460844,2018-09-21--2018-09-28,au,2jt2WxXMCD4zjACthkJQVE
50,SWISH,Tyga,450911,2018-09-21--2018-09-28,au,55GiOwtxNajXVbpjjIzMnD
51,I Like It,Cardi B,435015,2018-09-21--2018-09-28,au,58q2HKrzhC3ozto2nDdN4z
52,Love Someone,Lukas Graham,430412,2018-09-21--2018-09-28,au,2JqnpexlO9dmvjUMCaLCLJ
53,Want To,Dua Lipa,418227,2018-09-21--2018-09-28,au,0CBFOvHlyqy30Q5tbyNHfQ
54,Fall,Eminem,415481,2018-09-21--2018-09-28,au,58QhkbaAkLFnn7JwAnAato
55,rockstar (feat. 21 Savage),Post Malone,414923,2018-09-21--2018-09-28,au,0e7ipj03S05BNilyu5bRzt
56,2002,Anne-Marie,413480,2018-09-21--2018-09-28,au,2BgEsaKNfHUdlh97KmvFyo
57,Hurt Somebody,Noah Kahan,395920,2018-09-21--2018-09-28,au,7apizLyhMRutg3ccXvr2qv
58,Just Friends,Hayden James,389768,2018-09-21--2018-09-28,au,6tB4XVKceo2307SSWXaO0y
59,Moonlight,XXXTENTACION,388608,2018-09-21--2018-09-28,au,0JP9xo3adEtGSdUEISiszL
60,Love Lies (with Normani),Khalid,388298,2018-09-21--2018-09-28,au,45Egmo7icyopuzJN0oMEdk
61,Show You,CXLOE,385435,2018-09-21--2018-09-28,au,16GAMmkIzTIT7aH19TtW3f
62,Nice For What,Drake,379646,2018-09-21--2018-09-28,au,3CA9pLiwRIGtUBiMjbZmRw
63,RAP DEVIL,Machine Gun Kelly,371630,2018-09-21--2018-09-28,au,43TP6JCWXgkc2D7Xjz5hBr
64,Psycho (feat. Ty Dolla $ign),Post Malone,367247,2018-09-21--2018-09-28,au,3swc6WTsr7rl9DqQKQA55C
65,I Fall Apart,Post Malone,365569,2018-09-21--2018-09-28,au,75ZvA4QfFiZvzhj2xkaWAh
66,SLOW DANCING IN THE DARK,Joji,361650,2018-09-21--2018-09-28,au,0UyljEbX9dqI1K0sqdv6B6
67,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,358613,2018-09-21--2018-09-28,au,4hQ6UGyWQIGJmHSo0J88JW
68,Nevermind,Dennis Lloyd,354114,2018-09-21--2018-09-28,au,63SevszngYpZOwf63o61K4
69,Born To Be Yours,Kygo,351748,2018-09-21--2018-09-28,au,0kHyKhJMukHEPfeh8s7rdM
70,One Kiss (with Dua Lipa),Calvin Harris,347088,2018-09-21--2018-09-28,au,7ef4DlsgrMEH11cDZd32M6
71,Solo (feat. Demi Lovato),Clean Bandit,344498,2018-09-21--2018-09-28,au,6kPJZM97LwdG9QIsT7khp6
72,Not Alike (feat. Royce Da 5'9),Eminem,343368,2018-09-21--2018-09-28,au,28FGV3ORH14MYORd7s5dlU
73,Mr. Brightside,The Killers,340071,2018-09-21--2018-09-28,au,7oK9VyNzrYvRFo7nQEYkWN
74,I Like Me Better,Lauv,338328,2018-09-21--2018-09-28,au,2P91MQbaiQOfbiz9VqhqKQ
75,Shape of You,Ed Sheeran,333852,2018-09-21--2018-09-28,au,7qiZfU4dY1lWllzX7mPBI3
