Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,314679,2018-09-21--2018-09-28,be,0E9ZjEAyAwOXZ7wJC0PD33
2,I Love It (& Lil Pump),Kanye West,247481,2018-09-21--2018-09-28,be,4S8d14HvHb70ImctNgVzQQ
3,Promises (with Sam Smith),Calvin Harris,242426,2018-09-21--2018-09-28,be,5N5k9nd479b1xpDZ4usjrg
4,Be Alright,Dean Lewis,232923,2018-09-21--2018-09-28,be,3EPXxR3ImUwfayaurPi3cm
5,Verleden Tijd,Frenna,222553,2018-09-21--2018-09-28,be,4kuexchmxuc5NXmokfo1WH
6,Shotgun,George Ezra,220892,2018-09-21--2018-09-28,be,4ofwffwvvnbSkrMSCKQDaC
7,Falling Down - Bonus Track,Lil Peep,202592,2018-09-21--2018-09-28,be,0Dn40gxVCMo5TkgS8Ik18Q
8,Happier,Marshmello,193408,2018-09-21--2018-09-28,be,2dpaYNEQHiRxtZbfNsse99
9,Natural,Imagine Dragons,165881,2018-09-21--2018-09-28,be,4zIO3ilp5HvTeK3HJHxhMP
10,Eastside (with Halsey & Khalid),benny blanco,163085,2018-09-21--2018-09-28,be,0d2iYfpKoM0QCKvcLCkBao
11,In My Feelings,Drake,159217,2018-09-21--2018-09-28,be,2G7V7zsVDxg1yRsu7Ew9RJ
12,Djadja,Aya Nakamura,158170,2018-09-21--2018-09-28,be,3XfnssSD9HMQ9LhVOJvXTE
13,Lucky You (feat. Joyner Lucas),Eminem,157563,2018-09-21--2018-09-28,be,60SdxE8apGAxMiRrpbmLY0
14,Ellie,Regi,153401,2018-09-21--2018-09-28,be,0vJFpxm8SDKAzqtJyVNXFw
15,Rise,Jonas Blue,149884,2018-09-21--2018-09-28,be,3u1S1OmAUhx5DRlLrXqyp3
16,Girls Like You (feat. Cardi B),Maroon 5,142324,2018-09-21--2018-09-28,be,7fa9MBXhVfQ8P8Df9OEbD8
17,Electricity (with Dua Lipa),Silk City,140597,2018-09-21--2018-09-28,be,5N4erncE7kuUccm7zEmwzk
18,Youngblood,5 Seconds of Summer,138854,2018-09-21--2018-09-28,be,2iUXsYOEPhVqEBwsqP70rE
19,Solo (feat. Demi Lovato),Clean Bandit,137300,2018-09-21--2018-09-28,be,6kPJZM97LwdG9QIsT7khp6
20,Blah Blah Blah,Armin van Buuren,136971,2018-09-21--2018-09-28,be,0tp6mwUt99QnfY95T30Lqj
