Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,21737,2018-09-21--2018-09-28,bg,4S8d14HvHb70ImctNgVzQQ
2,Lucky You (feat. Joyner Lucas),Eminem,19907,2018-09-21--2018-09-28,bg,60SdxE8apGAxMiRrpbmLY0
3,Falling Down - Bonus Track,Lil Peep,16460,2018-09-21--2018-09-28,bg,0Dn40gxVCMo5TkgS8Ik18Q
4,Killshot,Eminem,15898,2018-09-21--2018-09-28,bg,1jo3TwNGCXfNdB5uba3ZVv
5,In My Mind,Dynoro,13352,2018-09-21--2018-09-28,bg,0E9ZjEAyAwOXZ7wJC0PD33
6,SICKO MODE,Travis Scott,12612,2018-09-21--2018-09-28,bg,2xLMifQCjDGFmkHkpNLD9h
7,Fall,Eminem,12495,2018-09-21--2018-09-28,bg,58QhkbaAkLFnn7JwAnAato
8,Promises (with Sam Smith),Calvin Harris,12262,2018-09-21--2018-09-28,bg,5N5k9nd479b1xpDZ4usjrg
9,In My Feelings,Drake,12059,2018-09-21--2018-09-28,bg,2G7V7zsVDxg1yRsu7Ew9RJ
10,The Ringer,Eminem,11899,2018-09-21--2018-09-28,bg,2jt2WxXMCD4zjACthkJQVE
11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,11289,2018-09-21--2018-09-28,bg,2E124GmJRnBJuXbTb4cPUB
12,God is a woman,Ariana Grande,11192,2018-09-21--2018-09-28,bg,5OCJzvD7sykQEKHH7qAC3C
13,Not Alike (feat. Royce Da 5'9),Eminem,10697,2018-09-21--2018-09-28,bg,28FGV3ORH14MYORd7s5dlU
14,Eastside (with Halsey & Khalid),benny blanco,10190,2018-09-21--2018-09-28,bg,0d2iYfpKoM0QCKvcLCkBao
15,No Stylist,French Montana,9972,2018-09-21--2018-09-28,bg,04MLEeAMuV9IlHEsD8vF6A
16,Nonstop,Drake,9697,2018-09-21--2018-09-28,bg,0TlLq3lA83rQOYtrqBqSct
17,Natural,Imagine Dragons,9215,2018-09-21--2018-09-28,bg,4zIO3ilp5HvTeK3HJHxhMP
18,Чужди усмивки,ToTo H,8963,2018-09-21--2018-09-28,bg,7a4QHep3kxvGT9ZcP0z0G5
19,Greatest,Eminem,8953,2018-09-21--2018-09-28,bg,2XTquzYQAdT1Hk78bOUwsv
