Position,Track Name,Artist,Streams,date,region,id
1,Cuando Te Besé,Becky G,85086,2018-09-21--2018-09-28,bo,2XXMDz7SPZ4mSFN1PXfHUy
2,Vaina Loca,Ozuna,76109,2018-09-21--2018-09-28,bo,48zFZh27QU5qsrBjn4C2FA
3,Amigos Con Derechos,Reik,68515,2018-09-21--2018-09-28,bo,2zDj4WjbNDmrRL6Z4YjjCA
4,Mala Mía,Maluma,66732,2018-09-21--2018-09-28,bo,62o8KoI44JfN7aYxgTnPvh
5,No Es Justo,J Balvin,66413,2018-09-21--2018-09-28,bo,5qFeMRz4TvetPmzjre9Dq7
6,BEBE,6ix9ine,58719,2018-09-21--2018-09-28,bo,7ATATJztoWLcqDAcVVof0C
7,Ya No Tiene Novio,Sebastian Yatra,57330,2018-09-21--2018-09-28,bo,7uQmJ1jgNzBpATSoWKSPFu
8,Por Perro,Sebastian Yatra,55187,2018-09-21--2018-09-28,bo,2alIsNw1mqEShbWyO1HXZZ
9,Quiere Beber,Anuel AA,54919,2018-09-21--2018-09-28,bo,3rPAD722s5FFNnwjC91t7Z
10,Sin Pijama,Becky G,54236,2018-09-21--2018-09-28,bo,2ijef6ni2amuunRoKTlgww
11,Te Boté - Remix,Nio Garcia,50824,2018-09-21--2018-09-28,bo,3V8UKqhEK5zBkBb6d6ub8i
12,Culpables,Manuel Turizo,43889,2018-09-21--2018-09-28,bo,3RD0PGolM0mETGHaprwgMn
13,No Me Acuerdo,Thalía,43703,2018-09-21--2018-09-28,bo,00EPIEnX1JFjff8sC6bccd
14,Clandestino,Shakira,43209,2018-09-21--2018-09-28,bo,7DrluKkTviBwCc8AV3VGmf
15,Asesina,Brytiago,42464,2018-09-21--2018-09-28,bo,6rbhaJsE4uLzpPf8WYSHDK
16,Toda - Remix,Alex Rose,41138,2018-09-21--2018-09-28,bo,7nD2JPaxIKUdxd2UWgnaGL
17,La player (Bandolera),Zion & Lennox,37190,2018-09-21--2018-09-28,bo,0VKkyBKCXyR99navhVRqcP
18,Hipócrita,Anuel AA,35630,2018-09-21--2018-09-28,bo,6XBjCetHKdO5L9cwMDVffw
19,Chica Paranormal,Paulo Londra,33885,2018-09-21--2018-09-28,bo,2r77vqSZkOktTSgmAOoHsV
20,Puntos Suspensivos,Piso 21,31725,2018-09-21--2018-09-28,bo,04cd1MHVq1D8v1nuTZoCdv
21,Me Niego (feat. Ozuna & Wisin),Reik,30784,2018-09-21--2018-09-28,bo,6jA8JUuPCGYjFcgw0AoM5T
22,Epa Wei,Danny Ocean,30775,2018-09-21--2018-09-28,bo,2QmsKag0YaqhAbpR9Nwmpn
23,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,30677,2018-09-21--2018-09-28,bo,4QtiVmuA88tPQiCOHZuQ5b
24,Te Amo,Piso 21,30616,2018-09-21--2018-09-28,bo,2RVrdr062uLFxXwIxwdXPH
25,X - Remix,Nicky Jam,29367,2018-09-21--2018-09-28,bo,6JjPBQfI2Y8nIjnm65X6Pw
26,Culpables,KAROL G,28691,2018-09-21--2018-09-28,bo,6q8Lb50EtqNeeJXXe8mMAH
27,I Like It,Cardi B,28477,2018-09-21--2018-09-28,bo,58q2HKrzhC3ozto2nDdN4z
28,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,27848,2018-09-21--2018-09-28,bo,3TnhQSRwT3AVMdXw5JPq0x
29,El Clavo (feat. Maluma) - Remix,Prince Royce,27183,2018-09-21--2018-09-28,bo,6bI00brFpeprqCDqKouEJS
30,Mi Cama - Remix,KAROL G,26787,2018-09-21--2018-09-28,bo,38QmUDpkoYlNbMKvpvAsrE
31,Ella Me Persigue,Alkilados,26576,2018-09-21--2018-09-28,bo,5lKfxy2Lzs2yJWqHuWHUIq
32,Bella - Remix,Wolfine,25925,2018-09-21--2018-09-28,bo,0SaYeGhSXN0dDWstyNTQ56
33,Dura - Remix,Daddy Yankee,24792,2018-09-21--2018-09-28,bo,6U2NuJILEOEpW2tVCuqKHb
34,Déjala que vuelva (feat. Manuel Turizo),Piso 21,24215,2018-09-21--2018-09-28,bo,1j6xOGusnyXq3l6IryKF3G
35,Madura (feat. Bad Bunny),Cosculluela,23342,2018-09-21--2018-09-28,bo,0r9d60ZYPAlFHq8qnUtkXN
36,Estamos Bien,Bad Bunny,23198,2018-09-21--2018-09-28,bo,7glCSQqV5o6NU88Cn4zPZn
37,Celoso,Lele Pons,22980,2018-09-21--2018-09-28,bo,33zcmmElV1YbRZe57biUjg
38,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,22681,2018-09-21--2018-09-28,bo,5bITfqKGaPakO1l99hOMsI
39,Me Dijeron,Ozuna,22533,2018-09-21--2018-09-28,bo,17UUYZ290omPaJY4wKeyHh
40,In My Feelings,Drake,21944,2018-09-21--2018-09-28,bo,2G7V7zsVDxg1yRsu7Ew9RJ
41,Borracha,Yera,21905,2018-09-21--2018-09-28,bo,50c90QkLEHoUknqxwUrPls
42,Dembow,Danny Ocean,20820,2018-09-21--2018-09-28,bo,2EzRdhuoPyNJDlep7lnNf2
43,Calypso,Luis Fonsi,20699,2018-09-21--2018-09-28,bo,4178A5NkEjcsGc64jpBO6d
