Position,Track Name,Artist,Streams,date,region,id
1,Ciumeira - Ao Vivo,Marília Mendonça,4065303,2018-09-21--2018-09-28,br,2H1liABu20HXBOmbt5SQz1
2,O Bebê,MC Kevinho,3242621,2018-09-21--2018-09-28,br,51HrDv54pSe1IqynORNXBd
3,Só Você,Dennis DJ,2895351,2018-09-21--2018-09-28,br,4xc6RrWzEOdprPqYn9Cyen
4,Favela,Alok,2886184,2018-09-21--2018-09-28,br,2JVbZEpewmqNlSzmXJTx2E
5,Medley da Gaiola - Dennis DJ Remix,MC Kevin o Chris,2866430,2018-09-21--2018-09-28,br,7rLegaz7zKB6EtDNzcslKE
6,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,2865160,2018-09-21--2018-09-28,br,1IJH7QjV5V99eJBtKXqGXE
7,Ao Vivo E A Cores,Matheus & Kauan,2572710,2018-09-21--2018-09-28,br,2Ab1wPTEqulaCGoBak1gUo
8,Meu Abrigo,Melim,2556620,2018-09-21--2018-09-28,br,5U28PY9MekLyCBYtLHGQpe
9,Pouca Pausa,Clau,2255067,2018-09-21--2018-09-28,br,2odzriVVZBwYOiYJEj30tm
10,Propaganda - Ao Vivo,Jorge & Mateus,2224561,2018-09-21--2018-09-28,br,74n5d5M21JnC4WJ6gdkggK
11,Zé da Recaída,Gusttavo Lima,2218755,2018-09-21--2018-09-28,br,4iGwWeV7XVIWO9Yy5QExOr
12,Medicina,Anitta,2083539,2018-09-21--2018-09-28,br,4R5xvs5X0phd0EYWyGigju
13,Sofazinho - Ao Vivo,Luan Santana,2036983,2018-09-21--2018-09-28,br,2PMLdLt5QeOuOgxfAvx1in
14,Saudade Nível Hard,Yasmin Santos,1942922,2018-09-21--2018-09-28,br,2dmGj5Nf01FcR6N4HPzAbL
15,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,1908123,2018-09-21--2018-09-28,br,2qkNnJvQvhLiZ63X1L3eFz
16,Quero Que Tu Vá,Ananda,1882451,2018-09-21--2018-09-28,br,7ppLcVgxpoWAhAa2c0CN3b
17,O Alvo - Ao Vivo,Diego & Victor Hugo,1854914,2018-09-21--2018-09-28,br,5Vw6ZLNB6Ko7VZM6vmNIbr
18,Só Pra Castigar,Wesley Safadão,1828346,2018-09-21--2018-09-28,br,2X8sssaxS5GReg6945B6RW
19,Kikadinha,Jerry Smith,1807694,2018-09-21--2018-09-28,br,5TUYLsiIi3tuvR2fCJjZUy
20,Romance Com Safadeza,Wesley Safadão,1791026,2018-09-21--2018-09-28,br,0RBOFW5424gCCCZrgECbt6
21,Status Que Eu Não Queria - Ao Vivo,Zé Neto & Cristiano,1770757,2018-09-21--2018-09-28,br,1fyhyOy6iS9E2NckAzjmTo
22,Fuleragem,MC WM,1727766,2018-09-21--2018-09-28,br,6tuzPD1zPPvwMbGiD0TBay
23,Pra Inveja É Tchau,Mc Kevin,1722774,2018-09-21--2018-09-28,br,4cnNrOojGyU6J3OXqVTPIg
24,Novinha Você É uma Flor,MCs Thin e Alexandre,1698009,2018-09-21--2018-09-28,br,4kiauw5SBqEsu5GuGD09aM
25,A Culpa É Dele - Ao Vivo | Acústico,Marília Mendonça,1678404,2018-09-21--2018-09-28,br,6yxYagNp6Gapd7jXmWzgVc
26,Amor de Verdade,MC Kekel,1631650,2018-09-21--2018-09-28,br,76KDy62J99FKu6ZsxMJy3j
27,Jogo do Amor,MC Bruninho,1493248,2018-09-21--2018-09-28,br,3MxbRHE1u74SoMNR9iURIZ
28,Bebida Na Ferida - Ao Vivo,Zé Neto & Cristiano,1459093,2018-09-21--2018-09-28,br,3HEb6Y5dv8PgD6JgsIQNac
29,Siga a Seta (feat. Matheus & Kauan) - Ao Vivo,Marcos & Belutti,1431987,2018-09-21--2018-09-28,br,5AQNVgt7BKHKRhrNFFgSPF
30,Coladinha em Mim - Ao Vivo,Gustavo Mioto,1401673,2018-09-21--2018-09-28,br,4JPSfCXQe6kDliMIJTqISW
31,O Sol,Vitor Kley,1399002,2018-09-21--2018-09-28,br,3IfctMaf2sfvlSLRa42Cna
32,Amor Falso,Aldair Playboy,1377788,2018-09-21--2018-09-28,br,00zzSEe82JTtz68XlARnh7
33,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,1352221,2018-09-21--2018-09-28,br,4CdMz076UN8RyeWGQCdqFZ
34,Deixa (feat. Ana Gabriela),Lagum,1316401,2018-09-21--2018-09-28,br,3fLqmaO4vvZpFZSZy52VMp
35,Cada um na Sua - Ao Vivo,Fernando & Sorocaba,1315196,2018-09-21--2018-09-28,br,5ReZ4aO1vRnzhxINvPiGJD
36,In My Mind,Dynoro,1298365,2018-09-21--2018-09-28,br,0E9ZjEAyAwOXZ7wJC0PD33
37,Oi Nego (Não Vai Dar Parte 3),Jefferson Moraes,1290771,2018-09-21--2018-09-28,br,5M78WUOq5AjcDfLoj9yi6a
38,Devagarinho,Luísa Sonza,1287659,2018-09-21--2018-09-28,br,0aZfIiaO3b2HTNxZ3sv1cg
39,Mundo de Ilusões - Ao Vivo,Gusttavo Lima,1285243,2018-09-21--2018-09-28,br,3UxbT06Mz8aTJbHYYIxwkI
40,In My Feelings,Drake,1284146,2018-09-21--2018-09-28,br,2G7V7zsVDxg1yRsu7Ew9RJ
41,Anti-Amor - Ao Vivo,Gustavo Mioto,1283856,2018-09-21--2018-09-28,br,7JdZZfozlODQ08ATf8xIZ6
42,Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,Atitude 67,1261164,2018-09-21--2018-09-28,br,2PADJK4rhdklqFLQFa5oMX
43,É natural (Participação especial de Bruno Cardoso) - Ao vivo,Ferrugem,1242180,2018-09-21--2018-09-28,br,0vT797IpZpF5o1XLCnWCUL
44,Problema Seu,Pabllo Vittar,1221697,2018-09-21--2018-09-28,br,0sMgOV0KurBXvZ4G5AJj4X
45,Mulher Maravilha - Ao Vivo,Zé Neto & Cristiano,1220512,2018-09-21--2018-09-28,br,2cbMXc0P5s271VwZOUk1Gb
46,Ausência - Ao Vivo | Acústico,Marília Mendonça,1202643,2018-09-21--2018-09-28,br,37erXXnh4mlWE7mdO6EYOp
47,Din Din Din (Participação especial de MC Pupio e MC Doguinha),Ludmilla,1184219,2018-09-21--2018-09-28,br,78Q2gghkt8iLJ7J0Uc4QYb
48,Não Fala Não pra Mim,Humberto & Ronaldo,1178301,2018-09-21--2018-09-28,br,0PaAB17axL9hn88mHiw8g0
49,Terra Sem CEP - Ao Vivo,Jorge & Mateus,1161187,2018-09-21--2018-09-28,br,2U94QDSo9N4e1iXrjo7KAB
50,Atrasadinha - Ao Vivo,Felipe Araújo,1160361,2018-09-21--2018-09-28,br,5EKHbW7mXcAR4hCyS3YXjb
