Position,Track Name,Artist,Streams,date,region,id
1,Mocca,Lalo Ebratt,467720,2018-09-21--2018-09-28,co,0NKoPGc72yUKTIneVhFfg1
2,Vaina Loca,Ozuna,453641,2018-09-21--2018-09-28,co,48zFZh27QU5qsrBjn4C2FA
3,No Es Justo,J Balvin,429864,2018-09-21--2018-09-28,co,5qFeMRz4TvetPmzjre9Dq7
4,Culpables,Manuel Turizo,410917,2018-09-21--2018-09-28,co,3RD0PGolM0mETGHaprwgMn
5,BEBE,6ix9ine,396200,2018-09-21--2018-09-28,co,7ATATJztoWLcqDAcVVof0C
6,Ya No Tiene Novio,Sebastian Yatra,379779,2018-09-21--2018-09-28,co,7uQmJ1jgNzBpATSoWKSPFu
7,Mala Mía,Maluma,340376,2018-09-21--2018-09-28,co,62o8KoI44JfN7aYxgTnPvh
8,La player (Bandolera),Zion & Lennox,311872,2018-09-21--2018-09-28,co,0VKkyBKCXyR99navhVRqcP
9,Quiere Beber,Anuel AA,303410,2018-09-21--2018-09-28,co,3rPAD722s5FFNnwjC91t7Z
10,Cuando Te Besé,Becky G,299886,2018-09-21--2018-09-28,co,2XXMDz7SPZ4mSFN1PXfHUy
11,PPP,Kevin Roldan,294388,2018-09-21--2018-09-28,co,1DcxnVNFAyVl2sDQ646pXS
12,Sin Pijama,Becky G,260318,2018-09-21--2018-09-28,co,2ijef6ni2amuunRoKTlgww
13,Culpables,KAROL G,256859,2018-09-21--2018-09-28,co,6q8Lb50EtqNeeJXXe8mMAH
14,Justicia,Silvestre Dangond,250428,2018-09-21--2018-09-28,co,6ipp8Dhs33KinlF4BStgca
15,Magia (feat. Sebastian Yatra),Andrés Cepeda,237112,2018-09-21--2018-09-28,co,6xAhkN7uE1qdhPa8jZwhTb
16,Por Perro,Sebastian Yatra,233415,2018-09-21--2018-09-28,co,2alIsNw1mqEShbWyO1HXZZ
17,Te Amo,Piso 21,216780,2018-09-21--2018-09-28,co,2RVrdr062uLFxXwIxwdXPH
18,Te Boté - Remix,Nio Garcia,213603,2018-09-21--2018-09-28,co,3V8UKqhEK5zBkBb6d6ub8i
19,Toda - Remix,Alex Rose,212940,2018-09-21--2018-09-28,co,7nD2JPaxIKUdxd2UWgnaGL
20,Madura (feat. Bad Bunny),Cosculluela,209736,2018-09-21--2018-09-28,co,0r9d60ZYPAlFHq8qnUtkXN
21,Ambiente,J Balvin,203365,2018-09-21--2018-09-28,co,6VrBWh90BiwWmwKtvwWFcq
