Position,Track Name,Artist,Streams,date,region,id
1,Cizí zeď,ONEMANSHOW Foundation,183605,2018-09-21--2018-09-28,cz,7nLZ336nDC44S0CCXcCBJm
2,Falling Down - Bonus Track,Lil Peep,138674,2018-09-21--2018-09-28,cz,0Dn40gxVCMo5TkgS8Ik18Q
3,In My Mind,Dynoro,129812,2018-09-21--2018-09-28,cz,0E9ZjEAyAwOXZ7wJC0PD33
4,I Love It (& Lil Pump),Kanye West,107505,2018-09-21--2018-09-28,cz,4S8d14HvHb70ImctNgVzQQ
5,Natural,Imagine Dragons,97232,2018-09-21--2018-09-28,cz,4zIO3ilp5HvTeK3HJHxhMP
6,Promises (with Sam Smith),Calvin Harris,78607,2018-09-21--2018-09-28,cz,5N5k9nd479b1xpDZ4usjrg
7,Happier,Marshmello,74679,2018-09-21--2018-09-28,cz,2dpaYNEQHiRxtZbfNsse99
8,Lucky You (feat. Joyner Lucas),Eminem,70471,2018-09-21--2018-09-28,cz,60SdxE8apGAxMiRrpbmLY0
9,Rise,Jonas Blue,63355,2018-09-21--2018-09-28,cz,3u1S1OmAUhx5DRlLrXqyp3
10,Eastside (with Halsey & Khalid),benny blanco,63233,2018-09-21--2018-09-28,cz,0d2iYfpKoM0QCKvcLCkBao
11,Be Alright,Dean Lewis,61680,2018-09-21--2018-09-28,cz,3EPXxR3ImUwfayaurPi3cm
12,Solo (feat. Demi Lovato),Clean Bandit,61462,2018-09-21--2018-09-28,cz,6kPJZM97LwdG9QIsT7khp6
13,Blah Blah Blah,Armin van Buuren,53993,2018-09-21--2018-09-28,cz,0tp6mwUt99QnfY95T30Lqj
14,Nevermind,Dennis Lloyd,51322,2018-09-21--2018-09-28,cz,63SevszngYpZOwf63o61K4
15,Better,Khalid,49681,2018-09-21--2018-09-28,cz,4T3fNx3CgwDRRYgmFCbD4J
16,Girls Like You (feat. Cardi B),Maroon 5,49307,2018-09-21--2018-09-28,cz,7fa9MBXhVfQ8P8Df9OEbD8
17,In My Feelings,Drake,46107,2018-09-21--2018-09-28,cz,2G7V7zsVDxg1yRsu7Ew9RJ
18,Thunderclouds,Sia,45789,2018-09-21--2018-09-28,cz,5a8RPWgKSmcGBGcffmIrUi
19,Born To Be Yours,Kygo,44623,2018-09-21--2018-09-28,cz,0kHyKhJMukHEPfeh8s7rdM
20,Jackie Chan,Tiësto,43546,2018-09-21--2018-09-28,cz,4kWO6O1BUXcZmaxitpVUwp
21,Electricity (with Dua Lipa),Silk City,43049,2018-09-21--2018-09-28,cz,5N4erncE7kuUccm7zEmwzk
22,Believer,Imagine Dragons,42550,2018-09-21--2018-09-28,cz,0pqnGHJpmpxLKifKRmU6WP
23,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,41729,2018-09-21--2018-09-28,cz,5Xn4IyTtW6FUGIUyWjbUHG
24,Thunder,Imagine Dragons,41592,2018-09-21--2018-09-28,cz,1zB4vmk8tFRmM9UULNzbLB
25,Shape of You,Ed Sheeran,40910,2018-09-21--2018-09-28,cz,7qiZfU4dY1lWllzX7mPBI3
26,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,40757,2018-09-21--2018-09-28,cz,0cDwUAF7yQrOLRcFfJpSc2
27,Killshot,Eminem,40659,2018-09-21--2018-09-28,cz,1jo3TwNGCXfNdB5uba3ZVv
28,Shotgun,George Ezra,40289,2018-09-21--2018-09-28,cz,4ofwffwvvnbSkrMSCKQDaC
29,Darkside,Alan Walker,39154,2018-09-21--2018-09-28,cz,1snWlbcbgQpJfknoI30DWG
30,One Kiss (with Dua Lipa),Calvin Harris,39142,2018-09-21--2018-09-28,cz,7ef4DlsgrMEH11cDZd32M6
31,Happy Now,Zedd,38953,2018-09-21--2018-09-28,cz,4keoy2fqgwGnbWlm3ZVZFa
32,SAD!,XXXTENTACION,38878,2018-09-21--2018-09-28,cz,3ee8Jmje8o58CHK66QrVC2
33,Better Now,Post Malone,38827,2018-09-21--2018-09-28,cz,7dt6x5M1jzdTEt8oCbisTK
34,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,37521,2018-09-21--2018-09-28,cz,15kQGEy89K8deJcZVFEn0N
35,rockstar (feat. 21 Savage),Post Malone,36185,2018-09-21--2018-09-28,cz,0e7ipj03S05BNilyu5bRzt
36,High On Life (feat. Bonn),Martin Garrix,35993,2018-09-21--2018-09-28,cz,4ut5G4rgB1ClpMTMfjoIuy
37,REMEDY,Alesso,35639,2018-09-21--2018-09-28,cz,6jreFSOTUAViWjKyzOC4Kg
38,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,35187,2018-09-21--2018-09-28,cz,3DGar7krWlmrXRFHBcQF6z
39,Body (feat. Brando),Loud Luxury,35008,2018-09-21--2018-09-28,cz,7K7MUBCnzgBAvMVW2RTWNs
40,Wake Up in the Sky,Gucci Mane,34988,2018-09-21--2018-09-28,cz,0QIjsbm2fh1cJ45XO9eGqq
41,breathin,Ariana Grande,34987,2018-09-21--2018-09-28,cz,4OafepJy2teCjYJbvFE60J
42,High Hopes,Panic! At The Disco,34638,2018-09-21--2018-09-28,cz,1rqqCSm0Qe4I9rUvWncaom
43,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,33911,2018-09-21--2018-09-28,cz,2E124GmJRnBJuXbTb4cPUB
44,Emma Smetana,DJ Rusty,33187,2018-09-21--2018-09-28,cz,3sEdFCqhm6qwN0ncMpPDqD
45,No Brainer,DJ Khaled,32977,2018-09-21--2018-09-28,cz,5WvAo7DNuPRmk4APhdPzi8
46,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,31951,2018-09-21--2018-09-28,cz,4hQ6UGyWQIGJmHSo0J88JW
47,I Like It,Cardi B,31507,2018-09-21--2018-09-28,cz,58q2HKrzhC3ozto2nDdN4z
48,SICKO MODE,Travis Scott,30919,2018-09-21--2018-09-28,cz,2xLMifQCjDGFmkHkpNLD9h
49,These Days,Rudimental,30373,2018-09-21--2018-09-28,cz,5CLGzJsGqhCEECcpnFQA8x
50,Let You Love Me,Rita Ora,29971,2018-09-21--2018-09-28,cz,6xtcFXSo8H9BZN637BMVKS
51,Whatever It Takes,Imagine Dragons,29929,2018-09-21--2018-09-28,cz,6Qn5zhYkTa37e91HC1D7lb
52,Youngblood,5 Seconds of Summer,29750,2018-09-21--2018-09-28,cz,2iUXsYOEPhVqEBwsqP70rE
53,Fall,Eminem,29294,2018-09-21--2018-09-28,cz,58QhkbaAkLFnn7JwAnAato
54,FRIENDS,Marshmello,29107,2018-09-21--2018-09-28,cz,08bNPGLD8AhKpnnERrAc6G
55,The Ringer,Eminem,28812,2018-09-21--2018-09-28,cz,2jt2WxXMCD4zjACthkJQVE
56,no tears left to cry,Ariana Grande,28708,2018-09-21--2018-09-28,cz,2qT1uLXPVPzGgFOx4jtEuo
57,No Stylist,French Montana,28654,2018-09-21--2018-09-28,cz,04MLEeAMuV9IlHEsD8vF6A
58,I'm a Mess,Bebe Rexha,28327,2018-09-21--2018-09-28,cz,04ZTP5KsCypmtCmQg5tH9R
59,Havana (feat. Young Thug),Camila Cabello,27771,2018-09-21--2018-09-28,cz,1rfofaqEpACxVEHIZBJe6W
60,2002,Anne-Marie,27709,2018-09-21--2018-09-28,cz,2BgEsaKNfHUdlh97KmvFyo
61,More Than You Know,Axwell /\ Ingrosso,27518,2018-09-21--2018-09-28,cz,6h5PAsRni4IRlxWr6uDPTP
62,IDGAF,Dua Lipa,27362,2018-09-21--2018-09-28,cz,76cy1WJvNGJTj78UqeA5zr
63,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,27238,2018-09-21--2018-09-28,cz,2zy9TMoZlYGuCNY4TLqG24
64,Love Someone,Lukas Graham,26923,2018-09-21--2018-09-28,cz,2JqnpexlO9dmvjUMCaLCLJ
65,Beautiful (feat. Camila Cabello),Bazzi,26829,2018-09-21--2018-09-28,cz,4VUwkH455At9kENOfzTqmF
66,Perfect,Ed Sheeran,26580,2018-09-21--2018-09-28,cz,0tgVpDi06FyKpA1z0VMD4v
67,The Middle,Zedd,26424,2018-09-21--2018-09-28,cz,09IStsImFySgyp0pIQdqAc
68,Flames,David Guetta,26348,2018-09-21--2018-09-28,cz,66BjcDhhwWCcQIBxHMpKXh
69,Without You (feat. Sandro Cavazza),Avicii,26128,2018-09-21--2018-09-28,cz,6Pgkp4qUoTmJIPn7ReaGxL
70,Lucid Dreams,Juice WRLD,25664,2018-09-21--2018-09-28,cz,0s3nnoMeVWz3989MkNQiRf
71,changes,XXXTENTACION,24770,2018-09-21--2018-09-28,cz,7AFASza1mXqntmGtbxXprO
72,Jocelyn Flores,XXXTENTACION,24045,2018-09-21--2018-09-28,cz,7m9OqQk4RVRkw9JJdeAw96
73,Zlatokop,Earth,23931,2018-09-21--2018-09-28,cz,0kOIfVOjrMJAZHyMJx1ThW
74,Happier,Ed Sheeran,23857,2018-09-21--2018-09-28,cz,2RttW7RAu5nOAfq6YFvApB
75,Moonlight,XXXTENTACION,23020,2018-09-21--2018-09-28,cz,0JP9xo3adEtGSdUEISiszL
76,Taste (feat. Offset),Tyga,23006,2018-09-21--2018-09-28,cz,5IaHrVsrferBYDm0bDyABy
77,I Like Me Better,Lauv,22851,2018-09-21--2018-09-28,cz,2P91MQbaiQOfbiz9VqhqKQ
78,Feel It Still,Portugal. The Man,22715,2018-09-21--2018-09-28,cz,6QgjcU0zLnzq5OrUoSZ3OK
79,Something Just Like This,The Chainsmokers,22572,2018-09-21--2018-09-28,cz,6RUKPb4LETWmmr3iAEQktW
80,Remind Me to Forget,Kygo,22072,2018-09-21--2018-09-28,cz,6xTU6B6nFwKKTSZ9ySXS80
81,Say My Name,David Guetta,21943,2018-09-21--2018-09-28,cz,0YammaEkYSeo9vQYZ1OwS6
82,Galway Girl,Ed Sheeran,21787,2018-09-21--2018-09-28,cz,0afhq8XCExXpqazXczTSve
83,Want To,Dua Lipa,21745,2018-09-21--2018-09-28,cz,0CBFOvHlyqy30Q5tbyNHfQ
84,Svaz ceskych bohemu,Wohnout,21653,2018-09-21--2018-09-28,cz,0twbASvGKPDvbWviKZcpyy
85,Noticed,Lil Mosey,21128,2018-09-21--2018-09-28,cz,7d6XJZjnm7iWcKwYL9z5kC
86,Kamikaze,Eminem,21113,2018-09-21--2018-09-28,cz,2gsNpSn7VvvJuSrIDfRoYy
87,Sick Boy,The Chainsmokers,21111,2018-09-21--2018-09-28,cz,2SxsI73qXm0rJ89Kp5JnpT
88,Save That Shit,Lil Peep,20888,2018-09-21--2018-09-28,cz,0S0vWvyZ6Rc79TXkWxT9QA
89,Venom - Music From The Motion Picture,Eminem,20725,2018-09-21--2018-09-28,cz,2SL6oP2YAEQbqsrkOzRGO4
90,God's Plan,Drake,20491,2018-09-21--2018-09-28,cz,6DCZcSspjsKoFjzjrWoCdn
91,Next To Me,Imagine Dragons,20412,2018-09-21--2018-09-28,cz,31VOknKjFrEX47bZXzqcoF
92,Greatest,Eminem,20374,2018-09-21--2018-09-28,cz,2XTquzYQAdT1Hk78bOUwsv
93,BEBE,6ix9ine,20228,2018-09-21--2018-09-28,cz,7ATATJztoWLcqDAcVVof0C
94,Stargazing,Kygo,20202,2018-09-21--2018-09-28,cz,0Zbbxnx4SGGHoIow4PpISP
95,New Rules,Dua Lipa,20151,2018-09-21--2018-09-28,cz,2ekn2ttSfGqwhhate0LSR0
96,Pasáctví,Sergei Barracuda,20123,2018-09-21--2018-09-28,cz,2ACjOCIhlle6WBaJFCqtck
97,God is a woman,Ariana Grande,19967,2018-09-21--2018-09-28,cz,5OCJzvD7sykQEKHH7qAC3C
98,Vibe,Earth,19938,2018-09-21--2018-09-28,cz,4X4w3ePPB30QupDk0VLo7g
99,New Patek,Lil Uzi Vert,19890,2018-09-21--2018-09-28,cz,0Fpen1PTuEnCmOJtUU9Iud
100,Ocean (feat. Khalid),Martin Garrix,19757,2018-09-21--2018-09-28,cz,3nc420PXjTdBV5TN0gCFkS
101,Closer,The Chainsmokers,19562,2018-09-21--2018-09-28,cz,7BKLCZ1jbUBVqRi2FVlTVw
102,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,19560,2018-09-21--2018-09-28,cz,7ycWLEP1GsNjVvcjawXz3z
103,Not Alike (feat. Royce Da 5'9),Eminem,19439,2018-09-21--2018-09-28,cz,28FGV3ORH14MYORd7s5dlU
104,What Lovers Do (feat. SZA),Maroon 5,19002,2018-09-21--2018-09-28,cz,0GxQ1A5L9xnMOytbP6eKBG
105,Sweet but Psycho,Ava Max,18938,2018-09-21--2018-09-28,cz,25sgk305KZfyuqVBQIahim
106,Let You Down,NF,18661,2018-09-21--2018-09-28,cz,52okn5MNA47tk87PeZJLEL
107,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,18475,2018-09-21--2018-09-28,cz,4e4fqjx0Izh4svvTef1z7e
108,Side Effects (feat. Emily Warren),The Chainsmokers,18178,2018-09-21--2018-09-28,cz,5hrXLJJrnKraxRQntH0Vv9
109,Vozíme,Ego,18136,2018-09-21--2018-09-28,cz,2ZkzWeBRaUDWiM1So7KBK7
110,All Falls Down (feat. Juliander),Alan Walker,17954,2018-09-21--2018-09-28,cz,5yFSF6qQA1rcLsQRnBsZgb
111,Potkal Jsem Tě Po Letech,Chinaski,17718,2018-09-21--2018-09-28,cz,3wnSkikz2xzpf03UEDgTj9
112,Demons,Imagine Dragons,17663,2018-09-21--2018-09-28,cz,3LlAyCYU26dvFZBDUIMb7a
113,Sedm,Nik Tendo,17654,2018-09-21--2018-09-28,cz,7Kk3JdKFFQv1YN2hluyx1J
114,Padam,Ben Cristovao,17527,2018-09-21--2018-09-28,cz,3WhPmndpgVLtnBF9tMEtgN
115,lovely (with Khalid),Billie Eilish,17483,2018-09-21--2018-09-28,cz,0u2P5u6lvoDfwTYjAADbn4
116,Wolves,Selena Gomez,17364,2018-09-21--2018-09-28,cz,0tBbt8CrmxbjRP0pueQkyU
117,RAP DEVIL,Machine Gun Kelly,17319,2018-09-21--2018-09-28,cz,43TP6JCWXgkc2D7Xjz5hBr
118,Wonderwall - Remastered,Oasis,17164,2018-09-21--2018-09-28,cz,5qqabIl2vWzo9ApSC317sa
119,Perfect Week,Calin,17078,2018-09-21--2018-09-28,cz,2iRdbpbnZTvJBBJWxmTJsm
120,Chci tančit,Mirai,16867,2018-09-21--2018-09-28,cz,3Uq54ocRHLezgitc7PsIR0
121,Spotlight,Marshmello,16861,2018-09-21--2018-09-28,cz,6VrCmhRBFnuGKmtNfk4jDs
122,Thinking out Loud,Ed Sheeran,16770,2018-09-21--2018-09-28,cz,1Slwb6dOYkBlWal1PGtnNg
