Position,Track Name,Artist,Streams,date,region,id
1,Kokain,Bonez MC,4045984,2018-09-21--2018-09-28,de,1H3oIeKUEHpBhXUiso0IMH
2,UFF,Veysel,3652684,2018-09-21--2018-09-28,de,6XjEOPgbgHKcaHcunEHSJJ
3,BONNIE & CLYDE,Loredana,3524415,2018-09-21--2018-09-28,de,5UtiebKGhsSce9gX1qCqic
4,INTERNATIONAL GANGSTAS,Farid Bang,3122462,2018-09-21--2018-09-28,de,4IAVIBh9jbYN30DwpHFMD4
5,500 PS,Bonez MC,2923684,2018-09-21--2018-09-28,de,641R77CBy4bOLGRcA9sgHy
6,In My Mind,Dynoro,2900836,2018-09-21--2018-09-28,de,0E9ZjEAyAwOXZ7wJC0PD33
7,Dior 2001,RIN,2692385,2018-09-21--2018-09-28,de,2eNSyVH3sNPiAj9WpRYK73
8,Facetime,Dardan,2665586,2018-09-21--2018-09-28,de,0oZyouBDStcJEUbTmSfys2
9,I Love It (& Lil Pump),Kanye West,2431978,2018-09-21--2018-09-28,de,4S8d14HvHb70ImctNgVzQQ
10,Melodien (feat. Juju),Capital Bra,2248263,2018-09-21--2018-09-28,de,5d35jcJj7WjDQBOHCHPY6t
11,Falling Down - Bonus Track,Lil Peep,2142906,2018-09-21--2018-09-28,de,0Dn40gxVCMo5TkgS8Ik18Q
12,Promises (with Sam Smith),Calvin Harris,2022738,2018-09-21--2018-09-28,de,5N5k9nd479b1xpDZ4usjrg
13,Risiko,Bonez MC,1992781,2018-09-21--2018-09-28,de,0mjbIwkdLPK5g2nGzhacjU
14,Happier,Marshmello,1895013,2018-09-21--2018-09-28,de,2dpaYNEQHiRxtZbfNsse99
15,Casanova,Summer Cem,1583985,2018-09-21--2018-09-28,de,0jB0RNZIfaihaDKNmdrI40
16,Eastside (with Halsey & Khalid),benny blanco,1571899,2018-09-21--2018-09-28,de,0d2iYfpKoM0QCKvcLCkBao
17,Copacabana,Leon Machère,1501148,2018-09-21--2018-09-28,de,214Mx6MSJhtaO1uPtZGqLH
18,Body (feat. Brando),Loud Luxury,1496735,2018-09-21--2018-09-28,de,7K7MUBCnzgBAvMVW2RTWNs
19,BlaBla,Azzi Memo,1493392,2018-09-21--2018-09-28,de,4mGxpq4nAOz9ZHe7GmPcgO
20,Wie ein Alpha,Kollegah,1481203,2018-09-21--2018-09-28,de,6ctK397vh20Ok72DMhbRI6
21,Wellou,Kurdo,1436055,2018-09-21--2018-09-28,de,1phPPgHcR590i0y8c9H36r
22,Rise,Jonas Blue,1393822,2018-09-21--2018-09-28,de,3u1S1OmAUhx5DRlLrXqyp3
23,Shotgun,George Ezra,1376137,2018-09-21--2018-09-28,de,4ofwffwvvnbSkrMSCKQDaC
24,Blah Blah Blah,Armin van Buuren,1363928,2018-09-21--2018-09-28,de,0tp6mwUt99QnfY95T30Lqj
25,Mercedes,Eno,1334440,2018-09-21--2018-09-28,de,0VNlBq4JKqvlIlveSwC4WJ
26,Vagabund,Bausa,1318050,2018-09-21--2018-09-28,de,3yhaXZury9ZUpfXvdvuWiB
27,Lucky You (feat. Joyner Lucas),Eminem,1300108,2018-09-21--2018-09-28,de,60SdxE8apGAxMiRrpbmLY0
28,High Hopes,Panic! At The Disco,1279744,2018-09-21--2018-09-28,de,1rqqCSm0Qe4I9rUvWncaom
29,Girls Like You (feat. Cardi B),Maroon 5,1240178,2018-09-21--2018-09-28,de,7fa9MBXhVfQ8P8Df9OEbD8
30,Be Alright,Dean Lewis,1207649,2018-09-21--2018-09-28,de,3EPXxR3ImUwfayaurPi3cm
31,Bella ciao - HUGEL Remix,El Profesor,1192810,2018-09-21--2018-09-28,de,1MFSD0AkPk8Yq7TDEhrHcb
32,Solo (feat. Demi Lovato),Clean Bandit,1192699,2018-09-21--2018-09-28,de,6kPJZM97LwdG9QIsT7khp6
33,Unterwegs,AK Ausserkontrolle,1188404,2018-09-21--2018-09-28,de,7k6sTmc6wuOnvelPcOMyf1
34,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,1112301,2018-09-21--2018-09-28,de,3DGar7krWlmrXRFHBcQF6z
35,Taste (feat. Offset),Tyga,1070065,2018-09-21--2018-09-28,de,5IaHrVsrferBYDm0bDyABy
36,In My Feelings,Drake,1020898,2018-09-21--2018-09-28,de,2G7V7zsVDxg1yRsu7Ew9RJ
37,One Night Stand,Capital Bra,1014609,2018-09-21--2018-09-28,de,3AXtDUSO78KrGa9Rq8rWUS
38,Testarossa,Miami Yacine,998285,2018-09-21--2018-09-28,de,5f6Bft94CPc7caZuqywckE
39,Only Thing We Know,Alle Farben,997360,2018-09-21--2018-09-28,de,77YLeSEI8unMbZVWNUqioQ
40,Mephisto,Bushido,996135,2018-09-21--2018-09-28,de,5HZaPWkOHUioEbruRY8HnL
41,Oh Child,Robin Schulz,977951,2018-09-21--2018-09-28,de,77VLYTyrdlHEWcjhjQoXlz
42,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,972387,2018-09-21--2018-09-28,de,5psDugCQ2V8uayDeSuTvdD
43,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,972184,2018-09-21--2018-09-28,de,2zy9TMoZlYGuCNY4TLqG24
44,Neymar,Capital Bra,966264,2018-09-21--2018-09-28,de,7ecGSqT8Ulbzhs5QwgWGVN
45,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,960981,2018-09-21--2018-09-28,de,2E124GmJRnBJuXbTb4cPUB
46,Nevermind,Dennis Lloyd,957972,2018-09-21--2018-09-28,de,63SevszngYpZOwf63o61K4
47,Ruf mich nicht an,Mert,942264,2018-09-21--2018-09-28,de,7bTpDFKTd8GiLzrDclmCjh
48,Ballin,Luciano,891473,2018-09-21--2018-09-28,de,1ZxBGZ7pxkh0VwFRp6biXk
49,2002,Anne-Marie,881026,2018-09-21--2018-09-28,de,2BgEsaKNfHUdlh97KmvFyo
50,Für Euch alle (feat. Samra & Capital Bra),Bushido,862617,2018-09-21--2018-09-28,de,78CLZUWhsxIDwObCKOh1fh
51,Cane Cane,Eno,858912,2018-09-21--2018-09-28,de,4leY6qRRp1GGnv5gvMMYVr
52,Safe,Nico Santos,826337,2018-09-21--2018-09-28,de,5B7AL4ZcRVNsUzR8WUVxmT
53,Habibo,Veysel,823006,2018-09-21--2018-09-28,de,194IS9NnPN3clG6v3BakTR
54,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,816265,2018-09-21--2018-09-28,de,5Xn4IyTtW6FUGIUyWjbUHG
55,Nike Pullover,Azet,803294,2018-09-21--2018-09-28,de,4rAN7PfOWxyR9MAeUd7wLy
56,Lucid Dreams,Juice WRLD,795987,2018-09-21--2018-09-28,de,0s3nnoMeVWz3989MkNQiRf
57,No Brainer,DJ Khaled,774489,2018-09-21--2018-09-28,de,5WvAo7DNuPRmk4APhdPzi8
58,"Jennie (feat. R. City, Bori)",Felix Jaehn,748326,2018-09-21--2018-09-28,de,1iBOPEE6fIMsl7GMMcEyCF
59,Natural,Imagine Dragons,740955,2018-09-21--2018-09-28,de,4zIO3ilp5HvTeK3HJHxhMP
60,Jackie Chan,Tiësto,740774,2018-09-21--2018-09-28,de,4kWO6O1BUXcZmaxitpVUwp
61,Penthouse,Eno,735707,2018-09-21--2018-09-28,de,43aHoeHvYOBBvzZdopsA4e
62,Better Now,Post Malone,732743,2018-09-21--2018-09-28,de,7dt6x5M1jzdTEt8oCbisTK
63,Better,Khalid,729084,2018-09-21--2018-09-28,de,4T3fNx3CgwDRRYgmFCbD4J
64,Born To Be Yours,Kygo,720960,2018-09-21--2018-09-28,de,0kHyKhJMukHEPfeh8s7rdM
65,SAD!,XXXTENTACION,688342,2018-09-21--2018-09-28,de,3ee8Jmje8o58CHK66QrVC2
66,GIGI (ZKITTLEZ),Gringo,682552,2018-09-21--2018-09-28,de,0w7Yk16SqMY7BioZktmcYm
67,Kennzeichen B-TK,Capital Bra,667668,2018-09-21--2018-09-28,de,4kAIdBQEmb1M9ryd9tNSCD
68,SWISH,Tyga,667480,2018-09-21--2018-09-28,de,55GiOwtxNajXVbpjjIzMnD
69,Thunderclouds,Sia,664584,2018-09-21--2018-09-28,de,5a8RPWgKSmcGBGcffmIrUi
70,One Kiss (with Dua Lipa),Calvin Harris,656214,2018-09-21--2018-09-28,de,7ef4DlsgrMEH11cDZd32M6
71,Toto (feat. RAF Camora),Noizy,655682,2018-09-21--2018-09-28,de,1fyvQWmRbW81M0xXKI1Rrk
72,Wann dann,Capital Bra,642375,2018-09-21--2018-09-28,de,3LMQL9CSxvUP2m8FeFszP6
73,Tamam Tamam,Summer Cem,639552,2018-09-21--2018-09-28,de,2eRq2jwsZtb0uGH4qUsvT1
74,Was du Liebe nennst,Bausa,638413,2018-09-21--2018-09-28,de,2hIY4sjfMeKwXXh2LvhrMo
75,I Like It,Cardi B,632642,2018-09-21--2018-09-28,de,58q2HKrzhC3ozto2nDdN4z
76,30 km/h,PA Sports,621792,2018-09-21--2018-09-28,de,0fRoN30HIQ9pju3O6HLsTz
77,SICKO MODE,Travis Scott,621005,2018-09-21--2018-09-28,de,2xLMifQCjDGFmkHkpNLD9h
78,10419,Cro,619870,2018-09-21--2018-09-28,de,3irKuchN2iCEcFQKPGOBNx
79,Electricity (with Dua Lipa),Silk City,617094,2018-09-21--2018-09-28,de,5N4erncE7kuUccm7zEmwzk
80,I'm a Mess,Bebe Rexha,614312,2018-09-21--2018-09-28,de,04ZTP5KsCypmtCmQg5tH9R
81,Berlin lebt,Capital Bra,597904,2018-09-21--2018-09-28,de,1zl1smQ584EZKCfLVeYWNq
82,Cordula Grün,Josh.,594545,2018-09-21--2018-09-28,de,483ykNWhSQXYprueXUMNeo
83,Sonnenbrille,Loredana,588427,2018-09-21--2018-09-28,de,14kafeLy8vQRvGhA9nQnC8
84,Eksi,Mert,583991,2018-09-21--2018-09-28,de,3MhCFPbAnGEboerYtltiPk
85,Zu dir,LEA,582976,2018-09-21--2018-09-28,de,654asYGOrY9LZLiQD73O4F
86,No Stylist,French Montana,579889,2018-09-21--2018-09-28,de,04MLEeAMuV9IlHEsD8vF6A
87,Beautiful (feat. Camila Cabello),Bazzi,562495,2018-09-21--2018-09-28,de,4VUwkH455At9kENOfzTqmF
