Position,Track Name,Artist,Streams,date,region,id
1,Love Someone,Lukas Graham,788734,2018-09-21--2018-09-28,dk,2JqnpexlO9dmvjUMCaLCLJ
2,Falling Down - Bonus Track,Lil Peep,657306,2018-09-21--2018-09-28,dk,0Dn40gxVCMo5TkgS8Ik18Q
3,I Love It (& Lil Pump),Kanye West,636611,2018-09-21--2018-09-28,dk,4S8d14HvHb70ImctNgVzQQ
4,Eastside (with Halsey & Khalid),benny blanco,514668,2018-09-21--2018-09-28,dk,0d2iYfpKoM0QCKvcLCkBao
5,Promises (with Sam Smith),Calvin Harris,464637,2018-09-21--2018-09-28,dk,5N5k9nd479b1xpDZ4usjrg
6,Shotgun,George Ezra,450286,2018-09-21--2018-09-28,dk,4ofwffwvvnbSkrMSCKQDaC
7,Better,Khalid,428446,2018-09-21--2018-09-28,dk,4T3fNx3CgwDRRYgmFCbD4J
8,Su Casa,KESI,414865,2018-09-21--2018-09-28,dk,4yF9erb9bMUIRXr6QdPgP4
9,Chopper Tale (feat. Branco & Gilli),ATYPISK,408041,2018-09-21--2018-09-28,dk,6vOwDZnFovhiJiQEgiePTE
10,Be Alright,Dean Lewis,393741,2018-09-21--2018-09-28,dk,3EPXxR3ImUwfayaurPi3cm
11,In My Mind,Dynoro,387295,2018-09-21--2018-09-28,dk,0E9ZjEAyAwOXZ7wJC0PD33
12,Body (feat. Brando),Loud Luxury,372867,2018-09-21--2018-09-28,dk,7K7MUBCnzgBAvMVW2RTWNs
13,AMG,MellemFingaMuzik,355514,2018-09-21--2018-09-28,dk,12upFOLFbpQ5nTENWm2Glj
14,Happier,Marshmello,349049,2018-09-21--2018-09-28,dk,2dpaYNEQHiRxtZbfNsse99
15,Rum Bum Bum,NAVID,310485,2018-09-21--2018-09-28,dk,0QzldbZnd9gLpor4S2EzJc
16,Tjep (feat. Kesi),Benny Jamz,305521,2018-09-21--2018-09-28,dk,6Xc6N2ptIEj8z77KDLlj9g
17,Lucid Dreams,Juice WRLD,294009,2018-09-21--2018-09-28,dk,0s3nnoMeVWz3989MkNQiRf
18,Youngblood,5 Seconds of Summer,280860,2018-09-21--2018-09-28,dk,2iUXsYOEPhVqEBwsqP70rE
19,Lucky You (feat. Joyner Lucas),Eminem,275455,2018-09-21--2018-09-28,dk,60SdxE8apGAxMiRrpbmLY0
20,Oui,Sivas,236340,2018-09-21--2018-09-28,dk,7j8K8PE1tO2TvhY15E8ZcD
21,Blah Blah Blah,Armin van Buuren,233325,2018-09-21--2018-09-28,dk,0tp6mwUt99QnfY95T30Lqj
22,In My Feelings,Drake,228603,2018-09-21--2018-09-28,dk,2G7V7zsVDxg1yRsu7Ew9RJ
23,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,227880,2018-09-21--2018-09-28,dk,3DGar7krWlmrXRFHBcQF6z
24,Taste (feat. Offset),Tyga,226628,2018-09-21--2018-09-28,dk,5IaHrVsrferBYDm0bDyABy
25,Killshot,Eminem,225217,2018-09-21--2018-09-28,dk,1jo3TwNGCXfNdB5uba3ZVv
26,Desert Eagle,ZK,215694,2018-09-21--2018-09-28,dk,02vZaMYB8dM8lF9AN1KzJs
27,No Brainer,DJ Khaled,212430,2018-09-21--2018-09-28,dk,5WvAo7DNuPRmk4APhdPzi8
28,New Eyes,Nicklas Sahl,203524,2018-09-21--2018-09-28,dk,5nvPhsgDEqEHQ3bLTfqDsd
29,No Stylist,French Montana,199866,2018-09-21--2018-09-28,dk,04MLEeAMuV9IlHEsD8vF6A
30,Kom Over,KESI,198543,2018-09-21--2018-09-28,dk,6Lu7LCf7t7V6X7i4NQywcT
31,Bedre Dage (feat. PAY),Omar,197601,2018-09-21--2018-09-28,dk,0MsrVYtuuRZqqgfUlZyqoY
32,Rise,Jonas Blue,195466,2018-09-21--2018-09-28,dk,3u1S1OmAUhx5DRlLrXqyp3
33,Girls Like You (feat. Cardi B),Maroon 5,189418,2018-09-21--2018-09-28,dk,7fa9MBXhVfQ8P8Df9OEbD8
34,SAD!,XXXTENTACION,188885,2018-09-21--2018-09-28,dk,3ee8Jmje8o58CHK66QrVC2
35,No Romantico (feat. si_el_bien),NODE,183947,2018-09-21--2018-09-28,dk,2bvLpM4LmYaTGK2AI5ENCk
36,SICKO MODE,Travis Scott,183486,2018-09-21--2018-09-28,dk,2xLMifQCjDGFmkHkpNLD9h
37,Better Now,Post Malone,179368,2018-09-21--2018-09-28,dk,7dt6x5M1jzdTEt8oCbisTK
38,Thunderclouds,Sia,174276,2018-09-21--2018-09-28,dk,5a8RPWgKSmcGBGcffmIrUi
39,Wild,Hugo Helmig,173895,2018-09-21--2018-09-28,dk,0kTUf60V9AQTqNVKZAmJKc
40,Solo (feat. Demi Lovato),Clean Bandit,173312,2018-09-21--2018-09-28,dk,6kPJZM97LwdG9QIsT7khp6
41,Fall,Eminem,172317,2018-09-21--2018-09-28,dk,58QhkbaAkLFnn7JwAnAato
42,Electricity (with Dua Lipa),Silk City,168341,2018-09-21--2018-09-28,dk,5N4erncE7kuUccm7zEmwzk
