Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,91041,2018-09-21--2018-09-28,do,48zFZh27QU5qsrBjn4C2FA
2,Culpables,KAROL G,90238,2018-09-21--2018-09-28,do,6q8Lb50EtqNeeJXXe8mMAH
3,Quiere Beber,Anuel AA,83523,2018-09-21--2018-09-28,do,3rPAD722s5FFNnwjC91t7Z
4,Toda - Remix,Alex Rose,74630,2018-09-21--2018-09-28,do,7nD2JPaxIKUdxd2UWgnaGL
5,Hipócrita,Anuel AA,74236,2018-09-21--2018-09-28,do,6XBjCetHKdO5L9cwMDVffw
6,BEBE,6ix9ine,65802,2018-09-21--2018-09-28,do,7ATATJztoWLcqDAcVVof0C
7,Culpables,Manuel Turizo,65720,2018-09-21--2018-09-28,do,3RD0PGolM0mETGHaprwgMn
8,Ibiza,Ozuna,62785,2018-09-21--2018-09-28,do,1h9P5WJwyvK8OB7O2YiXgp
9,Te Boté - Remix,Nio Garcia,58303,2018-09-21--2018-09-28,do,3V8UKqhEK5zBkBb6d6ub8i
10,Asesina,Brytiago,57849,2018-09-21--2018-09-28,do,6rbhaJsE4uLzpPf8WYSHDK
11,No Es Justo,J Balvin,55156,2018-09-21--2018-09-28,do,5qFeMRz4TvetPmzjre9Dq7
12,Estamos Bien,Bad Bunny,53860,2018-09-21--2018-09-28,do,7glCSQqV5o6NU88Cn4zPZn
13,Mala Mía,Maluma,52118,2018-09-21--2018-09-28,do,62o8KoI44JfN7aYxgTnPvh
14,Brindemos,Anuel AA,51671,2018-09-21--2018-09-28,do,7LeQ55Z5jPBB0ggYJtAiYO
15,Madura (feat. Bad Bunny),Cosculluela,47556,2018-09-21--2018-09-28,do,0r9d60ZYPAlFHq8qnUtkXN
16,La player (Bandolera),Zion & Lennox,45628,2018-09-21--2018-09-28,do,0VKkyBKCXyR99navhVRqcP
17,Unica,Ozuna,45437,2018-09-21--2018-09-28,do,33b2wX9d0kxqxhi7lcsC1A
18,Me Dijeron,Ozuna,45278,2018-09-21--2018-09-28,do,17UUYZ290omPaJY4wKeyHh
19,Triste,Bryant Myers,43931,2018-09-21--2018-09-28,do,5MNS5FF4LrTX0jIaI0gory
20,Suave (Remix),El Alfa,41420,2018-09-21--2018-09-28,do,0alWUvsJHk83HVWCnyCG51
21,Sin Pijama,Becky G,37473,2018-09-21--2018-09-28,do,2ijef6ni2amuunRoKTlgww
22,¿Cual es tu plan?,Bad Bunny,36962,2018-09-21--2018-09-28,do,4HRDBtek0ayfLQ6uc7rjO9
23,I Like It,Cardi B,36263,2018-09-21--2018-09-28,do,58q2HKrzhC3ozto2nDdN4z
24,Un Buen Dia,Amenazzy,34522,2018-09-21--2018-09-28,do,6H1cT49sJlHTdhjnPbsF7D
25,Devuelveme,Ozuna,32713,2018-09-21--2018-09-28,do,5uvucCRBTkxv7VxIDLOqe7
26,In My Feelings,Drake,32709,2018-09-21--2018-09-28,do,2G7V7zsVDxg1yRsu7Ew9RJ
27,litEral viEja,Milo K,31617,2018-09-21--2018-09-28,do,4kf42CUPMv3kVMAVporQhj
28,Pasado y Presente,Ozuna,30342,2018-09-21--2018-09-28,do,6NPjHwhEG7eQUQBoPFBrnz
29,X - Remix,Nicky Jam,30243,2018-09-21--2018-09-28,do,6JjPBQfI2Y8nIjnm65X6Pw
30,I Love It (& Lil Pump),Kanye West,30107,2018-09-21--2018-09-28,do,4S8d14HvHb70ImctNgVzQQ
31,No Me Acuerdo,Thalía,29508,2018-09-21--2018-09-28,do,00EPIEnX1JFjff8sC6bccd
32,Amigos Con Derechos,Reik,29307,2018-09-21--2018-09-28,do,2zDj4WjbNDmrRL6Z4YjjCA
33,Solita,Ozuna,28535,2018-09-21--2018-09-28,do,7rwX0O3RlxqqIjQM8evm5E
34,Cuando Te Besé,Becky G,27790,2018-09-21--2018-09-28,do,2XXMDz7SPZ4mSFN1PXfHUy
35,Loca Remix,Khea,27547,2018-09-21--2018-09-28,do,2CRbiMK0W14l71SpDKqKZM
36,Me Niego (feat. Ozuna & Wisin),Reik,27297,2018-09-21--2018-09-28,do,6jA8JUuPCGYjFcgw0AoM5T
37,Clandestino,Shakira,27056,2018-09-21--2018-09-28,do,7DrluKkTviBwCc8AV3VGmf
38,Girls Like You (feat. Cardi B),Maroon 5,24593,2018-09-21--2018-09-28,do,7fa9MBXhVfQ8P8Df9OEbD8
39,Dura - Remix,Daddy Yankee,23729,2018-09-21--2018-09-28,do,6U2NuJILEOEpW2tVCuqKHb
40,Sientate en Ese Deo,El Alfa,23698,2018-09-21--2018-09-28,do,7no50s2we7Ap7UsvHtn6Px
41,Supuestamente,Ozuna,23462,2018-09-21--2018-09-28,do,1ZBU5DSoYQwaZVgep6pfn2
42,Original,Arcangel,23395,2018-09-21--2018-09-28,do,1LBlcCtOrKITXpEp1hnNpj
43,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,23205,2018-09-21--2018-09-28,do,2E124GmJRnBJuXbTb4cPUB
44,Promises (with Sam Smith),Calvin Harris,23075,2018-09-21--2018-09-28,do,5N5k9nd479b1xpDZ4usjrg
45,Bella - Remix,Wolfine,23022,2018-09-21--2018-09-28,do,0SaYeGhSXN0dDWstyNTQ56
46,Mi Cama - Remix,KAROL G,22844,2018-09-21--2018-09-28,do,38QmUDpkoYlNbMKvpvAsrE
47,Aura,Ozuna,22528,2018-09-21--2018-09-28,do,1AVu7Kc2MRrLfOG1RCEf07
48,Bipolar,Chris Jeday,22340,2018-09-21--2018-09-28,do,4WzsycqZkpkS48H9AAAGux
49,Millones,Arcangel,20704,2018-09-21--2018-09-28,do,3AMjach3UjnwFdcx3q2hIF
50,Donde Estan,"Tito ""El Bambino""",19668,2018-09-21--2018-09-28,do,1StjQHjCyI6xmC0Mihqmkl
