Position,Track Name,Artist,Streams,date,region,id
1,Ya No Tiene Novio,Sebastian Yatra,184949,2018-09-21--2018-09-28,ec,7uQmJ1jgNzBpATSoWKSPFu
2,Cuando Te Besé,Becky G,175193,2018-09-21--2018-09-28,ec,2XXMDz7SPZ4mSFN1PXfHUy
3,Vaina Loca,Ozuna,173901,2018-09-21--2018-09-28,ec,48zFZh27QU5qsrBjn4C2FA
4,Mala Mía,Maluma,170914,2018-09-21--2018-09-28,ec,62o8KoI44JfN7aYxgTnPvh
5,BEBE,6ix9ine,158836,2018-09-21--2018-09-28,ec,7ATATJztoWLcqDAcVVof0C
6,No Es Justo,J Balvin,151798,2018-09-21--2018-09-28,ec,5qFeMRz4TvetPmzjre9Dq7
7,Quiere Beber,Anuel AA,149220,2018-09-21--2018-09-28,ec,3rPAD722s5FFNnwjC91t7Z
8,Amigos Con Derechos,Reik,123768,2018-09-21--2018-09-28,ec,2zDj4WjbNDmrRL6Z4YjjCA
9,Justicia,Silvestre Dangond,121536,2018-09-21--2018-09-28,ec,6ipp8Dhs33KinlF4BStgca
10,Culpables,Manuel Turizo,117182,2018-09-21--2018-09-28,ec,3RD0PGolM0mETGHaprwgMn
11,Sin Pijama,Becky G,116831,2018-09-21--2018-09-28,ec,2ijef6ni2amuunRoKTlgww
12,Te Boté - Remix,Nio Garcia,116064,2018-09-21--2018-09-28,ec,3V8UKqhEK5zBkBb6d6ub8i
13,Mocca,Lalo Ebratt,113445,2018-09-21--2018-09-28,ec,0NKoPGc72yUKTIneVhFfg1
14,Asesina,Brytiago,109153,2018-09-21--2018-09-28,ec,6rbhaJsE4uLzpPf8WYSHDK
15,Por Perro,Sebastian Yatra,109093,2018-09-21--2018-09-28,ec,2alIsNw1mqEShbWyO1HXZZ
16,Culpables,KAROL G,105484,2018-09-21--2018-09-28,ec,6q8Lb50EtqNeeJXXe8mMAH
17,La player (Bandolera),Zion & Lennox,100722,2018-09-21--2018-09-28,ec,0VKkyBKCXyR99navhVRqcP
18,Toda - Remix,Alex Rose,97049,2018-09-21--2018-09-28,ec,7nD2JPaxIKUdxd2UWgnaGL
19,No Me Acuerdo,Thalía,95556,2018-09-21--2018-09-28,ec,00EPIEnX1JFjff8sC6bccd
20,Clandestino,Shakira,92234,2018-09-21--2018-09-28,ec,7DrluKkTviBwCc8AV3VGmf
21,PPP,Kevin Roldan,90778,2018-09-21--2018-09-28,ec,1DcxnVNFAyVl2sDQ646pXS
22,Hipócrita,Anuel AA,80975,2018-09-21--2018-09-28,ec,6XBjCetHKdO5L9cwMDVffw
23,Ni Gucci Ni Prada,Kenny Man,73733,2018-09-21--2018-09-28,ec,32lexhcz93AinKK0qLTZaZ
24,Me Niego (feat. Ozuna & Wisin),Reik,72066,2018-09-21--2018-09-28,ec,6jA8JUuPCGYjFcgw0AoM5T
25,Calypso,Luis Fonsi,70295,2018-09-21--2018-09-28,ec,4178A5NkEjcsGc64jpBO6d
