Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,2223402,2018-09-21--2018-09-28,es,48zFZh27QU5qsrBjn4C2FA
2,BEBE,6ix9ine,2082873,2018-09-21--2018-09-28,es,7ATATJztoWLcqDAcVVof0C
3,TELÉFONO,Aitana,2004893,2018-09-21--2018-09-28,es,5h8VHxOBK1VWWj46T8fSly
4,Mujeres,Mozart La Para,1921702,2018-09-21--2018-09-28,es,6xLvYhLOW2oETJoZv8ChU8
5,No Es Justo,J Balvin,1767694,2018-09-21--2018-09-28,es,5qFeMRz4TvetPmzjre9Dq7
6,Quiere Beber,Anuel AA,1633144,2018-09-21--2018-09-28,es,3rPAD722s5FFNnwjC91t7Z
7,Ni La Hora,Ana Guerra,1619987,2018-09-21--2018-09-28,es,1he4G9w0zh5GokInpOSINW
8,No Me Acuerdo,Thalía,1519436,2018-09-21--2018-09-28,es,00EPIEnX1JFjff8sC6bccd
9,Sin Pijama,Becky G,1516511,2018-09-21--2018-09-28,es,2ijef6ni2amuunRoKTlgww
10,Usted,Juan Magán,1492645,2018-09-21--2018-09-28,es,79HTe42PihWUUq4BDjcuCq
11,Ya No Quiero Ná,Lola Indigo,1379508,2018-09-21--2018-09-28,es,2A2Q4CYBcVvBF2OqgJ3OWX
12,Cuando Te Besé,Becky G,1349560,2018-09-21--2018-09-28,es,2XXMDz7SPZ4mSFN1PXfHUy
13,Mala Mía,Maluma,1285048,2018-09-21--2018-09-28,es,62o8KoI44JfN7aYxgTnPvh
14,Celoso,Lele Pons,1273491,2018-09-21--2018-09-28,es,33zcmmElV1YbRZe57biUjg
15,Te Boté - Remix,Nio Garcia,1245180,2018-09-21--2018-09-28,es,3V8UKqhEK5zBkBb6d6ub8i
16,Asesina,Brytiago,1203222,2018-09-21--2018-09-28,es,6rbhaJsE4uLzpPf8WYSHDK
17,Clandestino,Shakira,1134501,2018-09-21--2018-09-28,es,7DrluKkTviBwCc8AV3VGmf
18,Ibiza,Ozuna,1130925,2018-09-21--2018-09-28,es,1h9P5WJwyvK8OB7O2YiXgp
19,Déjala Que Baile,Melendi,1108819,2018-09-21--2018-09-28,es,2KK9N6iBAisA0booTu3bGd
20,Bien Duro,C. Tangana,1098658,2018-09-21--2018-09-28,es,3joo84oco9CD4dBsKNWRRW
21,Cuando Nadie Ve,Morat,1080971,2018-09-21--2018-09-28,es,1Cxd4ZJJ9VOQQpNcpdcZEQ
22,La Cintura,Alvaro Soler,928454,2018-09-21--2018-09-28,es,355kY0VYYf2AUOnUsU56Xq
23,MALAMENTE - Cap.1: Augurio,ROSALÍA,921865,2018-09-21--2018-09-28,es,5zOAudPQIs5U8zP6LQGHmH
24,Culpables,KAROL G,912954,2018-09-21--2018-09-28,es,6q8Lb50EtqNeeJXXe8mMAH
25,I Like It,Cardi B,883417,2018-09-21--2018-09-28,es,58q2HKrzhC3ozto2nDdN4z
26,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",Steve Aoki,844871,2018-09-21--2018-09-28,es,5e45GhSF18JYoLpaq2F48h
27,Me Dijeron,Ozuna,834578,2018-09-21--2018-09-28,es,17UUYZ290omPaJY4wKeyHh
28,X - Remix,Nicky Jam,831479,2018-09-21--2018-09-28,es,6JjPBQfI2Y8nIjnm65X6Pw
29,Él no soy yo,Blas Cantó,830641,2018-09-21--2018-09-28,es,38mCl4EuWhML4eaZPdNQ3a
30,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,821802,2018-09-21--2018-09-28,es,5bITfqKGaPakO1l99hOMsI
31,Ya No Tiene Novio,Sebastian Yatra,816573,2018-09-21--2018-09-28,es,7uQmJ1jgNzBpATSoWKSPFu
32,Solo (feat. Demi Lovato),Clean Bandit,803759,2018-09-21--2018-09-28,es,6kPJZM97LwdG9QIsT7khp6
33,Mi Cama - Remix,KAROL G,801852,2018-09-21--2018-09-28,es,38QmUDpkoYlNbMKvpvAsrE
34,Me Niego (feat. Ozuna & Wisin),Reik,798874,2018-09-21--2018-09-28,es,6jA8JUuPCGYjFcgw0AoM5T
35,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,786378,2018-09-21--2018-09-28,es,4QtiVmuA88tPQiCOHZuQ5b
36,Duro y Suave,Leslie Grace,772198,2018-09-21--2018-09-28,es,31M5m42C3EGlbydf9XB5to
37,Amigos Con Derechos,Reik,756358,2018-09-21--2018-09-28,es,2zDj4WjbNDmrRL6Z4YjjCA
