Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,103617,2018-09-21--2018-09-28,gt,48zFZh27QU5qsrBjn4C2FA
2,Quiere Beber,Anuel AA,92325,2018-09-21--2018-09-28,gt,3rPAD722s5FFNnwjC91t7Z
3,No Es Justo,J Balvin,84615,2018-09-21--2018-09-28,gt,5qFeMRz4TvetPmzjre9Dq7
4,BEBE,6ix9ine,84071,2018-09-21--2018-09-28,gt,7ATATJztoWLcqDAcVVof0C
5,Cuando Te Besé,Becky G,72929,2018-09-21--2018-09-28,gt,2XXMDz7SPZ4mSFN1PXfHUy
6,Te Boté - Remix,Nio Garcia,66533,2018-09-21--2018-09-28,gt,3V8UKqhEK5zBkBb6d6ub8i
7,La player (Bandolera),Zion & Lennox,65594,2018-09-21--2018-09-28,gt,0VKkyBKCXyR99navhVRqcP
8,Mala Mía,Maluma,61133,2018-09-21--2018-09-28,gt,62o8KoI44JfN7aYxgTnPvh
9,Amigos Con Derechos,Reik,58636,2018-09-21--2018-09-28,gt,2zDj4WjbNDmrRL6Z4YjjCA
10,Sin Pijama,Becky G,55426,2018-09-21--2018-09-28,gt,2ijef6ni2amuunRoKTlgww
11,Por Perro,Sebastian Yatra,55161,2018-09-21--2018-09-28,gt,2alIsNw1mqEShbWyO1HXZZ
12,Hipócrita,Anuel AA,54598,2018-09-21--2018-09-28,gt,6XBjCetHKdO5L9cwMDVffw
13,Toda - Remix,Alex Rose,54553,2018-09-21--2018-09-28,gt,7nD2JPaxIKUdxd2UWgnaGL
14,Culpables,Manuel Turizo,52137,2018-09-21--2018-09-28,gt,3RD0PGolM0mETGHaprwgMn
15,Ya No Tiene Novio,Sebastian Yatra,50545,2018-09-21--2018-09-28,gt,7uQmJ1jgNzBpATSoWKSPFu
16,Asesina,Brytiago,50059,2018-09-21--2018-09-28,gt,6rbhaJsE4uLzpPf8WYSHDK
17,Culpables,KAROL G,47297,2018-09-21--2018-09-28,gt,6q8Lb50EtqNeeJXXe8mMAH
18,PPP,Kevin Roldan,45655,2018-09-21--2018-09-28,gt,1DcxnVNFAyVl2sDQ646pXS
19,Clandestino,Shakira,43174,2018-09-21--2018-09-28,gt,7DrluKkTviBwCc8AV3VGmf
20,Estamos Bien,Bad Bunny,42029,2018-09-21--2018-09-28,gt,7glCSQqV5o6NU88Cn4zPZn
21,No Me Acuerdo,Thalía,41986,2018-09-21--2018-09-28,gt,00EPIEnX1JFjff8sC6bccd
22,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,41060,2018-09-21--2018-09-28,gt,3TnhQSRwT3AVMdXw5JPq0x
23,Te Amo,Piso 21,39810,2018-09-21--2018-09-28,gt,2RVrdr062uLFxXwIxwdXPH
24,Madura (feat. Bad Bunny),Cosculluela,38975,2018-09-21--2018-09-28,gt,0r9d60ZYPAlFHq8qnUtkXN
25,Me Niego (feat. Ozuna & Wisin),Reik,38556,2018-09-21--2018-09-28,gt,6jA8JUuPCGYjFcgw0AoM5T
26,I Like It,Cardi B,38543,2018-09-21--2018-09-28,gt,58q2HKrzhC3ozto2nDdN4z
27,Unica,Ozuna,38478,2018-09-21--2018-09-28,gt,33b2wX9d0kxqxhi7lcsC1A
28,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,38089,2018-09-21--2018-09-28,gt,7FEmLU7M5aZ5O7FlOdxB33
29,Epa Wei,Danny Ocean,36687,2018-09-21--2018-09-28,gt,2QmsKag0YaqhAbpR9Nwmpn
30,X - Remix,Nicky Jam,34877,2018-09-21--2018-09-28,gt,6JjPBQfI2Y8nIjnm65X6Pw
31,Dura - Remix,Daddy Yankee,33645,2018-09-21--2018-09-28,gt,6U2NuJILEOEpW2tVCuqKHb
32,In My Feelings,Drake,32954,2018-09-21--2018-09-28,gt,2G7V7zsVDxg1yRsu7Ew9RJ
33,Déjala que vuelva (feat. Manuel Turizo),Piso 21,32893,2018-09-21--2018-09-28,gt,1j6xOGusnyXq3l6IryKF3G
34,Ibiza,Ozuna,32487,2018-09-21--2018-09-28,gt,1h9P5WJwyvK8OB7O2YiXgp
35,Chica Paranormal,Paulo Londra,32469,2018-09-21--2018-09-28,gt,2r77vqSZkOktTSgmAOoHsV
36,Me Dijeron,Ozuna,30973,2018-09-21--2018-09-28,gt,17UUYZ290omPaJY4wKeyHh
37,Girls Like You (feat. Cardi B),Maroon 5,30446,2018-09-21--2018-09-28,gt,7fa9MBXhVfQ8P8Df9OEbD8
38,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,30022,2018-09-21--2018-09-28,gt,5bITfqKGaPakO1l99hOMsI
39,Dembow,Danny Ocean,29278,2018-09-21--2018-09-28,gt,2EzRdhuoPyNJDlep7lnNf2
40,Falling Down - Bonus Track,Lil Peep,28978,2018-09-21--2018-09-28,gt,0Dn40gxVCMo5TkgS8Ik18Q
41,Ponle,Rvssian,28459,2018-09-21--2018-09-28,gt,28O1p0bQXH2F6Qn8jBZZR4
42,No Hay Nadie Más,Sebastian Yatra,28286,2018-09-21--2018-09-28,gt,3IPJg1sdqLj12kFIndaonN
43,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,28069,2018-09-21--2018-09-28,gt,4QtiVmuA88tPQiCOHZuQ5b
44,Mi Cama - Remix,KAROL G,27927,2018-09-21--2018-09-28,gt,38QmUDpkoYlNbMKvpvAsrE
45,Me Rehúso,Danny Ocean,26655,2018-09-21--2018-09-28,gt,6De0lHrwBfPfrhorm9q1Xl
46,Brindemos,Anuel AA,26495,2018-09-21--2018-09-28,gt,7LeQ55Z5jPBB0ggYJtAiYO
47,X,Nicky Jam,26480,2018-09-21--2018-09-28,gt,39N9RPD9MRb5WmoLzNzPeA
48,Zum Zum,Daddy Yankee,26386,2018-09-21--2018-09-28,gt,7lEhOiFtcLXY4P7cuTKuQ8
49,One Kiss (with Dua Lipa),Calvin Harris,26180,2018-09-21--2018-09-28,gt,7ef4DlsgrMEH11cDZd32M6
50,Casualidad,Nacho,25125,2018-09-21--2018-09-28,gt,08rwXPBZ2DHOwnL7xaz044
51,Cuando Nadie Ve,Morat,24880,2018-09-21--2018-09-28,gt,1Cxd4ZJJ9VOQQpNcpdcZEQ
52,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,24001,2018-09-21--2018-09-28,gt,1l77YWrGUp3qX3NS1rz7lq
53,Promises (with Sam Smith),Calvin Harris,23323,2018-09-21--2018-09-28,gt,5N5k9nd479b1xpDZ4usjrg
54,Síguelo Bailando,Ozuna,23125,2018-09-21--2018-09-28,gt,5Y9fnynLlIvqtM710MHzfz
55,I Love It (& Lil Pump),Kanye West,22940,2018-09-21--2018-09-28,gt,4S8d14HvHb70ImctNgVzQQ
56,Loca Remix,Khea,22701,2018-09-21--2018-09-28,gt,2CRbiMK0W14l71SpDKqKZM
57,Bella - Remix,Wolfine,22578,2018-09-21--2018-09-28,gt,0SaYeGhSXN0dDWstyNTQ56
58,Celoso,Lele Pons,22030,2018-09-21--2018-09-28,gt,33zcmmElV1YbRZe57biUjg
59,Electricity (with Dua Lipa),Silk City,21417,2018-09-21--2018-09-28,gt,5N4erncE7kuUccm7zEmwzk
60,To My Love - Tainy Remix,Bomba Estéreo,21329,2018-09-21--2018-09-28,gt,5LciLoxa1gK70yIUeoHgRx
61,Esperándote,Manuel Turizo,21252,2018-09-21--2018-09-28,gt,1nfyE13arjOuO54HH0zmqj
62,Calypso,Luis Fonsi,20976,2018-09-21--2018-09-28,gt,4178A5NkEjcsGc64jpBO6d
63,Criminal,Natti Natasha,20753,2018-09-21--2018-09-28,gt,6Za3190Sbw39BBC77WSS1C
64,Solita,Ozuna,20576,2018-09-21--2018-09-28,gt,7rwX0O3RlxqqIjQM8evm5E
65,In My Mind,Dynoro,20496,2018-09-21--2018-09-28,gt,0E9ZjEAyAwOXZ7wJC0PD33
66,¿Cual es tu plan?,Bad Bunny,20402,2018-09-21--2018-09-28,gt,4HRDBtek0ayfLQ6uc7rjO9
67,A Través Del Vaso,Grupo Arranke,20375,2018-09-21--2018-09-28,gt,0oCSitNlzsQfuIapF9tXRQ
68,Triste,Bryant Myers,19956,2018-09-21--2018-09-28,gt,5MNS5FF4LrTX0jIaI0gory
69,Puntos Suspensivos,Piso 21,19769,2018-09-21--2018-09-28,gt,04cd1MHVq1D8v1nuTZoCdv
70,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,19333,2018-09-21--2018-09-28,gt,5q2JbCNi4FcnglgPfxcV65
71,rockstar (feat. 21 Savage),Post Malone,19230,2018-09-21--2018-09-28,gt,0e7ipj03S05BNilyu5bRzt
72,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,19032,2018-09-21--2018-09-28,gt,58smOywZbVu8AjWutppiQA
73,El Clavo (feat. Maluma) - Remix,Prince Royce,18883,2018-09-21--2018-09-28,gt,6bI00brFpeprqCDqKouEJS
74,Happier,Marshmello,18783,2018-09-21--2018-09-28,gt,2dpaYNEQHiRxtZbfNsse99
75,Otra vez (feat. J Balvin),Zion & Lennox,18759,2018-09-21--2018-09-28,gt,3QwBODjSEzelZyVjxPOHdq
76,Natural,Imagine Dragons,18538,2018-09-21--2018-09-28,gt,4zIO3ilp5HvTeK3HJHxhMP
77,Se Preparó,Ozuna,18477,2018-09-21--2018-09-28,gt,1m69ELEgE6k5ZWsap40ozt
78,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,18265,2018-09-21--2018-09-28,gt,45sVRPegWSGpIcsrDoaaCY
79,IDGAF,Dua Lipa,18244,2018-09-21--2018-09-28,gt,76cy1WJvNGJTj78UqeA5zr
80,El Préstamo,Maluma,18209,2018-09-21--2018-09-28,gt,2XVilv6s9GETnw9PG4T9Mz
81,God's Plan,Drake,17959,2018-09-21--2018-09-28,gt,6DCZcSspjsKoFjzjrWoCdn
82,Perfect,Ed Sheeran,17958,2018-09-21--2018-09-28,gt,0tgVpDi06FyKpA1z0VMD4v
83,Sensualidad,Bad Bunny,17872,2018-09-21--2018-09-28,gt,5hcisvFMidkMJlElTO9Qmw
84,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,17847,2018-09-21--2018-09-28,gt,5OUGSwa2eadrcAsMdUItmO
85,Quiero Repetir,Ozuna,17643,2018-09-21--2018-09-28,gt,0MIcPSq9n2z5H8TAfEstri
86,Robarte un Beso,Carlos Vives,17551,2018-09-21--2018-09-28,gt,0JcNysfWVWaMS7R6vzGB2k
87,Duro y Suave,Leslie Grace,17386,2018-09-21--2018-09-28,gt,31M5m42C3EGlbydf9XB5to
88,New Rules,Dua Lipa,17382,2018-09-21--2018-09-28,gt,2ekn2ttSfGqwhhate0LSR0
89,Mocca,Lalo Ebratt,17376,2018-09-21--2018-09-28,gt,0NKoPGc72yUKTIneVhFfg1
90,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,16961,2018-09-21--2018-09-28,gt,2E124GmJRnBJuXbTb4cPUB
91,Shape of You,Ed Sheeran,16939,2018-09-21--2018-09-28,gt,7qiZfU4dY1lWllzX7mPBI3
92,Tu Postura,Banda Sinaloense MS de Sergio Lizárraga,16762,2018-09-21--2018-09-28,gt,4RNzKQEzmlvVHca4t6Txkj
93,Believer,Imagine Dragons,16677,2018-09-21--2018-09-28,gt,0pqnGHJpmpxLKifKRmU6WP
94,Una Lady Como Tú,Manuel Turizo,16631,2018-09-21--2018-09-28,gt,7MHN1aCFtLXjownGhvEQlF
95,Ella,Ricardo Arjona,16472,2018-09-21--2018-09-28,gt,7hydwXc3IVJIItIif6ZuLH
96,Bella,Wolfine,16407,2018-09-21--2018-09-28,gt,3xcCix7Jv1Rp90YVmgo35D
97,changes,XXXTENTACION,16326,2018-09-21--2018-09-28,gt,7AFASza1mXqntmGtbxXprO
98,Escápate Conmigo (feat. Ozuna),Wisin,16279,2018-09-21--2018-09-28,gt,1KSqYYJFyfTecXFk9M0prc
99,Tirate Un Paso - Remix,Tayl G,16278,2018-09-21--2018-09-28,gt,5clah8Zb4AnDd6BGbra3w8
100,La Vida Sin Ti,Piso 21,16263,2018-09-21--2018-09-28,gt,1RvL7eHoeUolnQbWm2Hnba
101,Besos En Guerra,Morat,16232,2018-09-21--2018-09-28,gt,5KgdtjmglXPjJNKvMvSjgo
102,Hola,Zion & Lennox,16153,2018-09-21--2018-09-28,gt,2dYJKHEqAUTCk2U9zntaS1
103,SAD!,XXXTENTACION,15606,2018-09-21--2018-09-28,gt,3ee8Jmje8o58CHK66QrVC2
104,Ambiente,J Balvin,15527,2018-09-21--2018-09-28,gt,6VrBWh90BiwWmwKtvwWFcq
105,Lucky You (feat. Joyner Lucas),Eminem,15485,2018-09-21--2018-09-28,gt,60SdxE8apGAxMiRrpbmLY0
106,La Modelo,Ozuna,15314,2018-09-21--2018-09-28,gt,2SbzdGpOKlH3HIAGTWTbwU
107,Eastside (with Halsey & Khalid),benny blanco,15152,2018-09-21--2018-09-28,gt,0d2iYfpKoM0QCKvcLCkBao
108,Caraluna,Bacilos,15135,2018-09-21--2018-09-28,gt,7DhYjNLksXZhbRQeheAums
109,El Cielo a Mi Favor,Ricardo Arjona,15065,2018-09-21--2018-09-28,gt,0BJwrbkZKf7KwlwBOJbD8i
110,A Partir De Hoy,David Bisbal,14948,2018-09-21--2018-09-28,gt,7ojH6H4wE6XJNgzU4uvNc8
111,Solo (feat. Demi Lovato),Clean Bandit,14873,2018-09-21--2018-09-28,gt,6kPJZM97LwdG9QIsT7khp6
112,Hookah & Sheridan s,Tommy Boysen,14866,2018-09-21--2018-09-28,gt,3QfD4bxxkopZL7XZ8RaezH
113,El Farsante - Remix,Ozuna,14823,2018-09-21--2018-09-28,gt,7uYgVgRSgqluZclLS7wpp4
114,Thunderclouds,Sia,14800,2018-09-21--2018-09-28,gt,5a8RPWgKSmcGBGcffmIrUi
115,Original,Arcangel,14655,2018-09-21--2018-09-28,gt,1LBlcCtOrKITXpEp1hnNpj
116,Jocelyn Flores,XXXTENTACION,14628,2018-09-21--2018-09-28,gt,7m9OqQk4RVRkw9JJdeAw96
117,Better Now,Post Malone,14425,2018-09-21--2018-09-28,gt,7dt6x5M1jzdTEt8oCbisTK
118,Ahora Te Puedes Marchar,Luis Miguel,14354,2018-09-21--2018-09-28,gt,1uKjQoh8JZj9ryuYRhpd7E
119,Dura,Daddy Yankee,14340,2018-09-21--2018-09-28,gt,6KuqAtoeVzxAYOaMveLNpH
120,Nunca Es Suficiente,Los Angeles Azules,14315,2018-09-21--2018-09-28,gt,63USmok1OioBzKuWGW9wAg
121,Adiós Amor,Christian Nodal,14276,2018-09-21--2018-09-28,gt,63bmZnBN1CiJ9sA4qTEe8y
122,Devuélveme a mi chica,Hombres G,14106,2018-09-21--2018-09-28,gt,1Wrzhfa5bNlqvsnCztz190
123,Probablemente,Christian Nodal,14082,2018-09-21--2018-09-28,gt,4prmUBle7TtAeeUgCnsc3Z
124,The Scientist,Coldplay,13832,2018-09-21--2018-09-28,gt,75JFxkI2RXiU7L9VXzMkle
125,Subete,Lary Over,13815,2018-09-21--2018-09-28,gt,6CWMm2mJOrKyDH4W1X5d06
126,Que Va,Alex Sensation,13808,2018-09-21--2018-09-28,gt,6J1R5wtPXiHiwiPstOSI56
127,Quiero Volver,TINI,13733,2018-09-21--2018-09-28,gt,1jcAZRfufvi67KWnwRmizE
128,La Correcta,Nabález,13555,2018-09-21--2018-09-28,gt,1ISamB2lPDAeKb4Js2hLgq
129,Thunder,Imagine Dragons,13480,2018-09-21--2018-09-28,gt,1zB4vmk8tFRmM9UULNzbLB
130,Suena El Dembow,Joey Montana,13464,2018-09-21--2018-09-28,gt,0woHVOh3KXLSDv8VU9XwZ4
131,La Mujer Perfecta,KURT,13437,2018-09-21--2018-09-28,gt,0mAGeks6ns4FZWBPkjD9HR
132,Sirena,Cali Y El Dandee,13380,2018-09-21--2018-09-28,gt,1juHIWqgFiDFAKuEBP24Lt
133,Tengo Que Colgar,Banda Sinaloense MS de Sergio Lizárraga,13313,2018-09-21--2018-09-28,gt,2yGNkkwU2iT0doFxkxhcXH
134,Bajo El Agua,Manuel Medrano,13292,2018-09-21--2018-09-28,gt,5QSYWruQQ7kBCHScI4xJ9g
135,Amorfoda,Bad Bunny,13249,2018-09-21--2018-09-28,gt,3ITvHA9zhZZdBJsOsAUegF
136,Closer,The Chainsmokers,13205,2018-09-21--2018-09-28,gt,7BKLCZ1jbUBVqRi2FVlTVw
137,Baby Girl (feat. Lalo Ebratt),Mario Bautista,13105,2018-09-21--2018-09-28,gt,6o8ogTrSX8H0F66Pdz3Tsc
138,No Brainer,DJ Khaled,13099,2018-09-21--2018-09-28,gt,5WvAo7DNuPRmk4APhdPzi8
139,Jackie Chan,Tiësto,12855,2018-09-21--2018-09-28,gt,4kWO6O1BUXcZmaxitpVUwp
140,Mi Cama,KAROL G,12796,2018-09-21--2018-09-28,gt,7sFYVcKSb24qg0dAkqLEFj
141,Contigo Siempre,Alejandro Fernandez,12744,2018-09-21--2018-09-28,gt,17LxkTp8UNbPcYrDrI6UOq
142,Mayores,Becky G,12703,2018-09-21--2018-09-28,gt,7JNh1cfm0eXjqFVOzKLyau
143,Usted,Juan Magán,12699,2018-09-21--2018-09-28,gt,79HTe42PihWUUq4BDjcuCq
144,Fuiste Tú,Ricardo Arjona,12617,2018-09-21--2018-09-28,gt,29csiYMOfBmLmGwxmISrMy
145,What Lovers Do (feat. SZA),Maroon 5,12573,2018-09-21--2018-09-28,gt,0GxQ1A5L9xnMOytbP6eKBG
146,Bella y Sensual,Romeo Santos,12476,2018-09-21--2018-09-28,gt,0ERbK7qVqveCaBWIiYCrl3
147,Corazón (feat. Nego do Borel),Maluma,12454,2018-09-21--2018-09-28,gt,5cepAtqnEQ6yVG6088zMMu
148,Medicina,Anitta,12443,2018-09-21--2018-09-28,gt,4R5xvs5X0phd0EYWyGigju
149,Ahora Dice,Chris Jeday,12429,2018-09-21--2018-09-28,gt,5LVoGJTyG6fLJgoGkY2QAZ
150,Marinero,Maluma,12412,2018-09-21--2018-09-28,gt,6x5LBP3nYXVdIDoomChGr3
151,La flaca,Jarabe De Palo,12398,2018-09-21--2018-09-28,gt,2LsbizbOeNa4x6qsi2jAMb
152,Bipolar,Chris Jeday,12397,2018-09-21--2018-09-28,gt,4WzsycqZkpkS48H9AAAGux
153,Downtown,Anitta,12335,2018-09-21--2018-09-28,gt,3Ga6eKrUFf12ouh9Yw3v2D
154,Felices los 4,Maluma,12263,2018-09-21--2018-09-28,gt,1RouRzlg8OKFeqc6LvdxmB
155,Miss Lonely - Dimelo Flow Remix,Sech,12232,2018-09-21--2018-09-28,gt,3tRtlS9YUyYqVgqO3iM4bW
156,Havana (feat. Young Thug),Camila Cabello,12057,2018-09-21--2018-09-28,gt,1rfofaqEpACxVEHIZBJe6W
157,Dale Vieja Dale,Toño Rosario,12015,2018-09-21--2018-09-28,gt,734vYzX6YKgSDHzXuLQJmg
