Position,Track Name,Artist,Streams,date,region,id
1,2002,Anne-Marie,582679,2018-09-21--2018-09-28,id,2BgEsaKNfHUdlh97KmvFyo
2,DDU-DU DDU-DU - KR Ver.,BLACKPINK,581582,2018-09-21--2018-09-28,id,2CWnuF7ht55Ajyeg4WPvWu
3,Jangan,Marion Jola,575752,2018-09-21--2018-09-28,id,0hXshgMyFiHVNlnSzMikGn
4,Dengan Caraku,Arsy Widianto,553695,2018-09-21--2018-09-28,id,6zZMfagNj5Nr8rSdJ9KLqq
5,Happy Now,Zedd,518390,2018-09-21--2018-09-28,id,4keoy2fqgwGnbWlm3ZVZFa
6,Berpisah Itu Mudah,Rizky Febian,488744,2018-09-21--2018-09-28,id,52AWJPKuELTY9TjwHzXuhl
7,Thunderclouds,Sia,476148,2018-09-21--2018-09-28,id,5a8RPWgKSmcGBGcffmIrUi
8,Girls Like You (feat. Cardi B),Maroon 5,466551,2018-09-21--2018-09-28,id,7fa9MBXhVfQ8P8Df9OEbD8
9,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",Fourtwnty,457394,2018-09-21--2018-09-28,id,4lfAvFv8roumWVKXhHF8uN
10,Happier,Marshmello,454394,2018-09-21--2018-09-28,id,2dpaYNEQHiRxtZbfNsse99
11,Labirin,Tulus,444729,2018-09-21--2018-09-28,id,0pDmW5AOpl1Wi58Ob0xXB8
12,You Are The Reason,Calum Scott,435559,2018-09-21--2018-09-28,id,69vToJ9BMbbLlFZo7k7A7B
13,Dan...,Sheila On 7,424520,2018-09-21--2018-09-28,id,1MdjZzEInrmDBXf8zs0nKS
14,Can't Take My Eyes Off You,Joseph Vincent,422233,2018-09-21--2018-09-28,id,4mf6HE25CkxeezcdWyfUGO
15,Pupus,Hanin Dhiya,422176,2018-09-21--2018-09-28,id,4za8UJq7JI99ilRYQXVrkm
16,Eastside (with Halsey & Khalid),benny blanco,416404,2018-09-21--2018-09-28,id,0d2iYfpKoM0QCKvcLCkBao
17,Beautiful (feat. Camila Cabello),Bazzi,410668,2018-09-21--2018-09-28,id,4VUwkH455At9kENOfzTqmF
18,Meraih Bintang,Via Vallen,381628,2018-09-21--2018-09-28,id,4yRiSND7cTKbivGz7wk4Hc
19,I'm a Mess,Bebe Rexha,376670,2018-09-21--2018-09-28,id,04ZTP5KsCypmtCmQg5tH9R
20,Teman Bahagia,Jaz,374620,2018-09-21--2018-09-28,id,0KeK6xqEcTT1VWhHf5iw2d
21,"Menunggu Kamu - From ""Jelita Sejuba"" soundtrack",Anji,372243,2018-09-21--2018-09-28,id,648Hbyb56YTzT8bBEp6wMp
22,LOVE SCENARIO,iKON,367474,2018-09-21--2018-09-28,id,6qAzAmPBUpGrk7XADZHR5k
23,Be Alright,Dean Lewis,358722,2018-09-21--2018-09-28,id,3EPXxR3ImUwfayaurPi3cm
24,Midsummer Madness,88rising,356278,2018-09-21--2018-09-28,id,6TodWdTSDfzwgYynTZSvJn
25,Darkside,Alan Walker,355542,2018-09-21--2018-09-28,id,1snWlbcbgQpJfknoI30DWG
26,Film Favorit,Sheila On 7,345259,2018-09-21--2018-09-28,id,2BCYKFDWnZi9PMkZiemQh1
27,Best Part (feat. Daniel Caesar),H.E.R.,322553,2018-09-21--2018-09-28,id,4OBZT9EnhYIV17t4pGw7ig
28,KILLING ME,iKON,320523,2018-09-21--2018-09-28,id,27kB4qLUCV8nZd2eOgj1Tk
29,Tentang Rindu,Virzha,319781,2018-09-21--2018-09-28,id,5bG0Nj8pt4fM8LTG9PiWmu
30,New Light,John Mayer,317747,2018-09-21--2018-09-28,id,40FLJc17FMZaPmCQEEZgB0
31,In My Feelings,Drake,316869,2018-09-21--2018-09-28,id,2G7V7zsVDxg1yRsu7Ew9RJ
32,Day 1 ◑,HONNE,311908,2018-09-21--2018-09-28,id,6ZzYETKetIfNUsZUb23jgG
33,Perfect,Ed Sheeran,292926,2018-09-21--2018-09-28,id,0tgVpDi06FyKpA1z0VMD4v
34,FRIENDS,Marshmello,287708,2018-09-21--2018-09-28,id,08bNPGLD8AhKpnnERrAc6G
35,Better,Khalid,282589,2018-09-21--2018-09-28,id,4T3fNx3CgwDRRYgmFCbD4J
36,IDOL,BTS,282210,2018-09-21--2018-09-28,id,03iCbZaM4OkRR4We6wIzvx
37,Hargai Cinta,Rizky Febian,278749,2018-09-21--2018-09-28,id,3Mk1IKFHTjQnuDFr25cFAh
38,Muara,Adera,277992,2018-09-21--2018-09-28,id,4lCtZZktwgQqzCoJxK3ZxR
39,Kecewa,Bunga Citra Lestari,277304,2018-09-21--2018-09-28,id,1sDfnkQge4Nmkp8sgLgH1i
40,Bicara (feat. Monita Tahalea),TheOvertunes,276128,2018-09-21--2018-09-28,id,2zgiM0lbf4KpBPriKPqEMg
41,Electricity (with Dua Lipa),Silk City,274782,2018-09-21--2018-09-28,id,5N4erncE7kuUccm7zEmwzk
42,Rise,Jonas Blue,274638,2018-09-21--2018-09-28,id,3u1S1OmAUhx5DRlLrXqyp3
43,Kangen,Dewa 19,272934,2018-09-21--2018-09-28,id,5LqanqJSmZwbwPtIi2RwTb
44,FOREVER YOUNG - KR Ver.,BLACKPINK,271197,2018-09-21--2018-09-28,id,57Enap29zKl7NGRdDJjkjA
45,So In Love,Marion Jola,268175,2018-09-21--2018-09-28,id,6e7sDmprgdLKpSTkphoUnr
46,Solo (feat. Demi Lovato),Clean Bandit,265593,2018-09-21--2018-09-28,id,6kPJZM97LwdG9QIsT7khp6
47,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,265559,2018-09-21--2018-09-28,id,2zy9TMoZlYGuCNY4TLqG24
48,Remaja,Hivi!,262768,2018-09-21--2018-09-28,id,1SaQZoFXNu7ZAxxKImzFgf
49,Seberapa Pantas,Sheila On 7,258528,2018-09-21--2018-09-28,id,1BaGfrlIWinaF77p7QASBH
50,No Brainer,DJ Khaled,251953,2018-09-21--2018-09-28,id,5WvAo7DNuPRmk4APhdPzi8
51,I Like Me Better,Lauv,229104,2018-09-21--2018-09-28,id,2P91MQbaiQOfbiz9VqhqKQ
52,breathin,Ariana Grande,229079,2018-09-21--2018-09-28,id,4OafepJy2teCjYJbvFE60J
53,Fana Merah Jambu,Fourtwnty,228644,2018-09-21--2018-09-28,id,2e9ubFSxKQtJh1MDbVzMug
54,Can’t Help Falling in Love,Kina Grannis,224122,2018-09-21--2018-09-28,id,7uuEfUMuPeQ7RlSWa0cES2
55,Cinta Dan Rahasia,Yura Yunita,222793,2018-09-21--2018-09-28,id,4HXUMRdT6s6Am6YHcWmuib
56,Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,221385,2018-09-21--2018-09-28,id,0urpBLpcm6DOGzs86rcKd8
57,Manusia Bodoh,Ada Band,220154,2018-09-21--2018-09-28,id,408TyH9YoTkH9J0Da9Ue8C
58,8 Letters,Why Don't We,219299,2018-09-21--2018-09-28,id,4zRZAmBQP8vhNPf9i9opXt
59,All Falls Down (feat. Juliander),Alan Walker,217023,2018-09-21--2018-09-28,id,5yFSF6qQA1rcLsQRnBsZgb
60,Aku Tenang,Fourtwnty,212667,2018-09-21--2018-09-28,id,671zYm5ZtN7bHaDOwY3Kxy
61,Something Just Like This,The Chainsmokers,207295,2018-09-21--2018-09-28,id,6RUKPb4LETWmmr3iAEQktW
62,Dance Tonight - Asian Games 2018 Official Song,Bunga Citra Lestari,206875,2018-09-21--2018-09-28,id,3LvqyAObZSOjkmG0gVgtao
63,Too Good At Goodbyes,Sam Smith,204620,2018-09-21--2018-09-28,id,1mXVgsBdtIVeCLJnSnmtdV
64,Pelangi,Hivi!,203904,2018-09-21--2018-09-28,id,5BgZ1bi8xeWVxmg12RfWzv
65,Indah Pada Waktunya,Rizky Febian,203570,2018-09-21--2018-09-28,id,6QYEVNkfirdsMmC5d9HJtR
66,Untitled,Maliq & d'Essentials,202577,2018-09-21--2018-09-28,id,1i9iliTpiPLizleapSg37I
67,I Love It (& Lil Pump),Kanye West,202526,2018-09-21--2018-09-28,id,4S8d14HvHb70ImctNgVzQQ
68,Topik Semalam,Kunto Aji,200216,2018-09-21--2018-09-28,id,6sGp3EqWnvcyfN6AtjuFtq
69,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,200120,2018-09-21--2018-09-28,id,4hQ6UGyWQIGJmHSo0J88JW
70,Lil’ Touch,Girls' Generation-Oh!GG,198771,2018-09-21--2018-09-28,id,4D5Ode2OfZMxIwQyvmhUe8
71,Cukup Tau,Rizky Febian,197108,2018-09-21--2018-09-28,id,23V8GLR7IHBzc4ipiT5Zl2
72,You,Ten 2 Five,194651,2018-09-21--2018-09-28,id,4ilwLEDlMXGEVmMAAEJavA
73,Promises (with Sam Smith),Calvin Harris,191442,2018-09-21--2018-09-28,id,5N5k9nd479b1xpDZ4usjrg
74,The Middle,Zedd,190945,2018-09-21--2018-09-28,id,09IStsImFySgyp0pIQdqAc
75,God is a woman,Ariana Grande,189046,2018-09-21--2018-09-28,id,5OCJzvD7sykQEKHH7qAC3C
76,Say You Won't Let Go,James Arthur,188102,2018-09-21--2018-09-28,id,5uCax9HTNlzGybIStD3vDh
77,Let Me,ZAYN,187201,2018-09-21--2018-09-28,id,7Fg342AJtNsIDdwCfX0paC
78,Heaven,Isyana Sarasvati,184146,2018-09-21--2018-09-28,id,3gBFAvpAVSNohs3ESRMYHi
79,bitterlove,Ardhito Pramono,184099,2018-09-21--2018-09-28,id,74OLXYsvpfmSgPCMMi898K
80,Love Someone,Lukas Graham,183210,2018-09-21--2018-09-28,id,2JqnpexlO9dmvjUMCaLCLJ
81,Ocean (feat. Khalid),Martin Garrix,182652,2018-09-21--2018-09-28,id,3nc420PXjTdBV5TN0gCFkS
82,Symphony (feat. Zara Larsson),Clean Bandit,180661,2018-09-21--2018-09-28,id,1x5sYLZiu9r5E43kMlt9f8
83,Falling Down - Bonus Track,Lil Peep,179744,2018-09-21--2018-09-28,id,0Dn40gxVCMo5TkgS8Ik18Q
84,Lucky You (feat. Joyner Lucas),Eminem,177960,2018-09-21--2018-09-28,id,60SdxE8apGAxMiRrpbmLY0
85,no tears left to cry,Ariana Grande,177395,2018-09-21--2018-09-28,id,2qT1uLXPVPzGgFOx4jtEuo
86,IDGAF,Dua Lipa,176821,2018-09-21--2018-09-28,id,76cy1WJvNGJTj78UqeA5zr
87,Superhero,Lauv,176618,2018-09-21--2018-09-28,id,1Fo4OvzP9PThFKMeMIAEYu
88,As If It's Your Last,BLACKPINK,175789,2018-09-21--2018-09-28,id,1Zyd6zQnC6XIIzmg3hP7Ot
89,Shape of You,Ed Sheeran,175750,2018-09-21--2018-09-28,id,7qiZfU4dY1lWllzX7mPBI3
90,Kenangan Terindah,SAMSONS,173870,2018-09-21--2018-09-28,id,5TtmfZaNSYEcTR49cureT0
91,Dekat Di Hati,RAN,171644,2018-09-21--2018-09-28,id,0owU9W5gPsJEcwAmMjzomy
