Position,Track Name,Artist,Streams,date,region,id
1,Promises (with Sam Smith),Calvin Harris,431956,2018-09-21--2018-09-28,ie,5N5k9nd479b1xpDZ4usjrg
2,I Love It (& Lil Pump),Kanye West,403568,2018-09-21--2018-09-28,ie,4S8d14HvHb70ImctNgVzQQ
3,Eastside (with Halsey & Khalid),benny blanco,396655,2018-09-21--2018-09-28,ie,0d2iYfpKoM0QCKvcLCkBao
4,Happier,Marshmello,328427,2018-09-21--2018-09-28,ie,2dpaYNEQHiRxtZbfNsse99
5,In My Mind,Dynoro,312530,2018-09-21--2018-09-28,ie,0E9ZjEAyAwOXZ7wJC0PD33
6,Be Alright,Dean Lewis,288172,2018-09-21--2018-09-28,ie,3EPXxR3ImUwfayaurPi3cm
7,Body (feat. Brando),Loud Luxury,267156,2018-09-21--2018-09-28,ie,7K7MUBCnzgBAvMVW2RTWNs
8,Electricity (with Dua Lipa),Silk City,258108,2018-09-21--2018-09-28,ie,5N4erncE7kuUccm7zEmwzk
9,Falling Down - Bonus Track,Lil Peep,247301,2018-09-21--2018-09-28,ie,0Dn40gxVCMo5TkgS8Ik18Q
10,Shotgun,George Ezra,232011,2018-09-21--2018-09-28,ie,4ofwffwvvnbSkrMSCKQDaC
11,No Brainer,DJ Khaled,196262,2018-09-21--2018-09-28,ie,5WvAo7DNuPRmk4APhdPzi8
12,Lucky You (feat. Joyner Lucas),Eminem,193630,2018-09-21--2018-09-28,ie,60SdxE8apGAxMiRrpbmLY0
13,breathin,Ariana Grande,193274,2018-09-21--2018-09-28,ie,4OafepJy2teCjYJbvFE60J
14,In My Feelings,Drake,182167,2018-09-21--2018-09-28,ie,2G7V7zsVDxg1yRsu7Ew9RJ
15,God is a woman,Ariana Grande,177272,2018-09-21--2018-09-28,ie,5OCJzvD7sykQEKHH7qAC3C
16,Rise,Jonas Blue,174744,2018-09-21--2018-09-28,ie,3u1S1OmAUhx5DRlLrXqyp3
17,Thunderclouds,Sia,172316,2018-09-21--2018-09-28,ie,5a8RPWgKSmcGBGcffmIrUi
18,Better,Khalid,166059,2018-09-21--2018-09-28,ie,4T3fNx3CgwDRRYgmFCbD4J
19,All I Am,Jess Glynne,160632,2018-09-21--2018-09-28,ie,6X6SdJzxyw7GzxwP2fr9WV
20,Lucid Dreams,Juice WRLD,155628,2018-09-21--2018-09-28,ie,0s3nnoMeVWz3989MkNQiRf
21,Killshot,Eminem,149705,2018-09-21--2018-09-28,ie,1jo3TwNGCXfNdB5uba3ZVv
22,High Hopes,Panic! At The Disco,134560,2018-09-21--2018-09-28,ie,1rqqCSm0Qe4I9rUvWncaom
23,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,128709,2018-09-21--2018-09-28,ie,5Xn4IyTtW6FUGIUyWjbUHG
24,SICKO MODE,Travis Scott,126948,2018-09-21--2018-09-28,ie,2xLMifQCjDGFmkHkpNLD9h
