Position,Track Name,Artist,Streams,date,region,id
1,רחוק מכולם,Omer Adam,52545,2018-09-21--2018-09-28,il,2ut3zQxLTnkUwVckocuNPM
2,I Love It (& Lil Pump),Kanye West,51693,2018-09-21--2018-09-28,il,4S8d14HvHb70ImctNgVzQQ
3,Lucky You (feat. Joyner Lucas),Eminem,49530,2018-09-21--2018-09-28,il,60SdxE8apGAxMiRrpbmLY0
4,Happier,Marshmello,40019,2018-09-21--2018-09-28,il,2dpaYNEQHiRxtZbfNsse99
5,צבעים,Gil Vain,36270,2018-09-21--2018-09-28,il,2OJS0hRtiTOh51SEDJWLlm
6,Lucid Dreams,Juice WRLD,35632,2018-09-21--2018-09-28,il,0s3nnoMeVWz3989MkNQiRf
7,Falling Down - Bonus Track,Lil Peep,34695,2018-09-21--2018-09-28,il,0Dn40gxVCMo5TkgS8Ik18Q
8,In My Mind,Dynoro,34497,2018-09-21--2018-09-28,il,0E9ZjEAyAwOXZ7wJC0PD33
9,Promises (with Sam Smith),Calvin Harris,34284,2018-09-21--2018-09-28,il,5N5k9nd479b1xpDZ4usjrg
10,Girls Like You (feat. Cardi B),Maroon 5,32574,2018-09-21--2018-09-28,il,7fa9MBXhVfQ8P8Df9OEbD8
11,In My Feelings,Drake,32219,2018-09-21--2018-09-28,il,2G7V7zsVDxg1yRsu7Ew9RJ
12,שני משוגעים,Omer Adam,29744,2018-09-21--2018-09-28,il,1EbUjcgx4c1tLHdqC6eHJd
13,Natural,Imagine Dragons,29507,2018-09-21--2018-09-28,il,4zIO3ilp5HvTeK3HJHxhMP
14,גומיגם,Static & Ben El,29370,2018-09-21--2018-09-28,il,2tGGxOQW48qI5oQku2ACj6
15,Eastside (with Halsey & Khalid),benny blanco,29298,2018-09-21--2018-09-28,il,0d2iYfpKoM0QCKvcLCkBao
16,No Brainer,DJ Khaled,29119,2018-09-21--2018-09-28,il,5WvAo7DNuPRmk4APhdPzi8
17,Comme ci comme ca,Stephane legar,28926,2018-09-21--2018-09-28,il,0poi1IyVFRKXI2jvHmdaIa
18,Thunderclouds,Sia,28107,2018-09-21--2018-09-28,il,5a8RPWgKSmcGBGcffmIrUi
19,Rise,Jonas Blue,27243,2018-09-21--2018-09-28,il,3u1S1OmAUhx5DRlLrXqyp3
20,Electricity (with Dua Lipa),Silk City,26745,2018-09-21--2018-09-28,il,5N4erncE7kuUccm7zEmwzk
21,אוהבת אותי אמיתי,Omer Adam,26568,2018-09-21--2018-09-28,il,7suO6u1sJuNnkLpBTWmYjX
22,Better,Khalid,26204,2018-09-21--2018-09-28,il,4T3fNx3CgwDRRYgmFCbD4J
23,Solo (feat. Demi Lovato),Clean Bandit,26029,2018-09-21--2018-09-28,il,6kPJZM97LwdG9QIsT7khp6
24,שיכורים,Eden Hason,23427,2018-09-21--2018-09-28,il,5EG4ur1MYuX1ZRirNaE4hv
25,I Like It,Cardi B,23343,2018-09-21--2018-09-28,il,58q2HKrzhC3ozto2nDdN4z
26,Youngblood,5 Seconds of Summer,22962,2018-09-21--2018-09-28,il,2iUXsYOEPhVqEBwsqP70rE
27,Jackie Chan,Tiësto,22072,2018-09-21--2018-09-28,il,4kWO6O1BUXcZmaxitpVUwp
28,Killshot,Eminem,21972,2018-09-21--2018-09-28,il,1jo3TwNGCXfNdB5uba3ZVv
29,פתאום אהבה,Itay Levi,21954,2018-09-21--2018-09-28,il,4D7YplXPhuGSlviqXwBsvU
30,חברות שלך,Omer Adam,21784,2018-09-21--2018-09-28,il,3jTBEHR9RF2ks9gO1mXOmi
31,SICKO MODE,Travis Scott,21419,2018-09-21--2018-09-28,il,2xLMifQCjDGFmkHkpNLD9h
32,Be Alright,Dean Lewis,21065,2018-09-21--2018-09-28,il,3EPXxR3ImUwfayaurPi3cm
