Position,Track Name,Artist,Streams,date,region,id
1,U.S.A.,DA PUMP,205759,2018-09-21--2018-09-28,jp,4qZyuyqLoZ3CaH79rGvJFR
2,打上花火,DAOKO×米津玄師,198097,2018-09-21--2018-09-28,jp,4IouQaO9GkaHC7AtMErdSa
3,HANABI,Mr.Children,196230,2018-09-21--2018-09-28,jp,77lmDcPPyY6kK907gdgC6i
4,マリーゴールド,Aimyon,178018,2018-09-21--2018-09-28,jp,0jWVUKsIoyo3zw64RaEWYg
5,君はロックを聴かない,Aimyon,168982,2018-09-21--2018-09-28,jp,59eluCMn0XbOWqeWQ91FTM
6,BDZ,TWICE,167902,2018-09-21--2018-09-28,jp,6ceKChoZYLdw24Ph1CDFUJ
7,小さな恋のうた,MONGOL800,156598,2018-09-21--2018-09-28,jp,7swIKcU4tFRk4iFJpi12Fg
8,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,155663,2018-09-21--2018-09-28,jp,3YO08EfyAkr3WEba4xmWkS
9,恋音と雨空,AAA,150081,2018-09-21--2018-09-28,jp,46gSY0U7ZZCmd7EuJuo15N
10,愛をこめて花束を,Superfly,145634,2018-09-21--2018-09-28,jp,7CmWXD3w1xOO53AAO4LRVQ
11,青と夏,Mrs. GREEN APPLE,141870,2018-09-21--2018-09-28,jp,0a3587n25Xhw098UeEbeJq
12,Shape of You,Ed Sheeran,138774,2018-09-21--2018-09-28,jp,7qiZfU4dY1lWllzX7mPBI3
13,Wherever you are,ONE OK ROCK,132430,2018-09-21--2018-09-28,jp,0YAMQSmHk6BSUGTYpaoqTJ
14,My Boo,Shota Shimizu,128508,2018-09-21--2018-09-28,jp,2gasr6aemUqZIBBN05EO03
15,ワタリドリ,[ALEXANDROS],125096,2018-09-21--2018-09-28,jp,0ve9Tpz8Yw0I4eXhWsy21o
16,No Brainer,DJ Khaled,121814,2018-09-21--2018-09-28,jp,5WvAo7DNuPRmk4APhdPzi8
17,愛を伝えたいだとか,Aimyon,121336,2018-09-21--2018-09-28,jp,0N8Xztr4pBHJ7V0moJWhbO
18,Change,ONE OK ROCK,119295,2018-09-21--2018-09-28,jp,6KBj27Bko8gh71gpx0PzIG
19,Story,AI,117159,2018-09-21--2018-09-28,jp,0V2axJ946WH1vt9t5SGMLV
20,花束を君に,Hikaru Utada,114024,2018-09-21--2018-09-28,jp,31yv1hR9gw1WSEmtqsaZbD
21,Happier,Marshmello,112893,2018-09-21--2018-09-28,jp,2dpaYNEQHiRxtZbfNsse99
22,no tears left to cry,Ariana Grande,110516,2018-09-21--2018-09-28,jp,2qT1uLXPVPzGgFOx4jtEuo
23,愛唄,GReeeeN,109721,2018-09-21--2018-09-28,jp,6ANQEKJui81dRMb6xD3XrO
24,Rise,Jonas Blue,109104,2018-09-21--2018-09-28,jp,3u1S1OmAUhx5DRlLrXqyp3
25,鱗(うろこ),Motohiro Hata,108298,2018-09-21--2018-09-28,jp,4IubwxgmXeZtDtYjTaT9gN
26,Stay,Zedd,107390,2018-09-21--2018-09-28,jp,0I20rLT2MJDhcF96AjbNYo
27,RAIN,SEKAI NO OWARI,107133,2018-09-21--2018-09-28,jp,40cPkRjw5aLQIOjaqgUVnB
28,キセキ,GReeeeN,102868,2018-09-21--2018-09-28,jp,7ztdl6cnbJgHRdMkKldkts
29,新宝島,Sakanaction,102350,2018-09-21--2018-09-28,jp,6ODZT1FGTE2q4two05giS1
30,ハナミズキ,Yo Hitoto,102271,2018-09-21--2018-09-28,jp,4PqDkR6YM80Sy590Qsy6mm
31,DEJAVU,AAA,101654,2018-09-21--2018-09-28,jp,4HxP6JOfuxnJUZY21zo4hF
32,Sayonara Elegy,Masaki Suda,100178,2018-09-21--2018-09-28,jp,0QKmcZNAST4GytJYmkN05D
33,どんなときも。,Noriyuki Makihara,99799,2018-09-21--2018-09-28,jp,4feDzcxtXRU8clyOluco5Y
34,さよならの前に,AAA,97529,2018-09-21--2018-09-28,jp,7vwXjDrZT2mqiFynlEwwgG
