Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,16699,2018-09-21--2018-09-28,lu,0E9ZjEAyAwOXZ7wJC0PD33
2,I Love It (& Lil Pump),Kanye West,16064,2018-09-21--2018-09-28,lu,4S8d14HvHb70ImctNgVzQQ
3,Falling Down - Bonus Track,Lil Peep,14474,2018-09-21--2018-09-28,lu,0Dn40gxVCMo5TkgS8Ik18Q
4,Promises (with Sam Smith),Calvin Harris,12784,2018-09-21--2018-09-28,lu,5N5k9nd479b1xpDZ4usjrg
5,Happier,Marshmello,12169,2018-09-21--2018-09-28,lu,2dpaYNEQHiRxtZbfNsse99
6,Lucky You (feat. Joyner Lucas),Eminem,11030,2018-09-21--2018-09-28,lu,60SdxE8apGAxMiRrpbmLY0
7,INTERNATIONAL GANGSTAS,Farid Bang,11029,2018-09-21--2018-09-28,lu,4IAVIBh9jbYN30DwpHFMD4
8,Eastside (with Halsey & Khalid),benny blanco,10990,2018-09-21--2018-09-28,lu,0d2iYfpKoM0QCKvcLCkBao
9,Be Alright,Dean Lewis,10548,2018-09-21--2018-09-28,lu,3EPXxR3ImUwfayaurPi3cm
10,In My Feelings,Drake,8857,2018-09-21--2018-09-28,lu,2G7V7zsVDxg1yRsu7Ew9RJ
11,Kokain,Bonez MC,8704,2018-09-21--2018-09-28,lu,1H3oIeKUEHpBhXUiso0IMH
12,Better,Khalid,8652,2018-09-21--2018-09-28,lu,4T3fNx3CgwDRRYgmFCbD4J
13,Lucid Dreams,Juice WRLD,8417,2018-09-21--2018-09-28,lu,0s3nnoMeVWz3989MkNQiRf
14,Girls Like You (feat. Cardi B),Maroon 5,8024,2018-09-21--2018-09-28,lu,7fa9MBXhVfQ8P8Df9OEbD8
15,Solo (feat. Demi Lovato),Clean Bandit,7991,2018-09-21--2018-09-28,lu,6kPJZM97LwdG9QIsT7khp6
16,UFF,Veysel,7989,2018-09-21--2018-09-28,lu,6XjEOPgbgHKcaHcunEHSJJ
17,No Stylist,French Montana,7408,2018-09-21--2018-09-28,lu,04MLEeAMuV9IlHEsD8vF6A
18,SICKO MODE,Travis Scott,7371,2018-09-21--2018-09-28,lu,2xLMifQCjDGFmkHkpNLD9h
19,Natural,Imagine Dragons,7363,2018-09-21--2018-09-28,lu,4zIO3ilp5HvTeK3HJHxhMP
20,Rise,Jonas Blue,7335,2018-09-21--2018-09-28,lu,3u1S1OmAUhx5DRlLrXqyp3
21,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7267,2018-09-21--2018-09-28,lu,2E124GmJRnBJuXbTb4cPUB
22,SAD!,XXXTENTACION,7139,2018-09-21--2018-09-28,lu,3ee8Jmje8o58CHK66QrVC2
23,Shotgun,George Ezra,7125,2018-09-21--2018-09-28,lu,4ofwffwvvnbSkrMSCKQDaC
24,Body (feat. Brando),Loud Luxury,7030,2018-09-21--2018-09-28,lu,7K7MUBCnzgBAvMVW2RTWNs
25,I Like It,Cardi B,6626,2018-09-21--2018-09-28,lu,58q2HKrzhC3ozto2nDdN4z
26,Djadja,Aya Nakamura,6620,2018-09-21--2018-09-28,lu,3XfnssSD9HMQ9LhVOJvXTE
27,Thunderclouds,Sia,6615,2018-09-21--2018-09-28,lu,5a8RPWgKSmcGBGcffmIrUi
28,Electricity (with Dua Lipa),Silk City,6609,2018-09-21--2018-09-28,lu,5N4erncE7kuUccm7zEmwzk
29,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,6549,2018-09-21--2018-09-28,lu,5Xn4IyTtW6FUGIUyWjbUHG
30,Nevermind,Dennis Lloyd,6499,2018-09-21--2018-09-28,lu,63SevszngYpZOwf63o61K4
31,Taste (feat. Offset),Tyga,6443,2018-09-21--2018-09-28,lu,5IaHrVsrferBYDm0bDyABy
32,Jackie Chan,Tiësto,6412,2018-09-21--2018-09-28,lu,4kWO6O1BUXcZmaxitpVUwp
33,Better Now,Post Malone,6301,2018-09-21--2018-09-28,lu,7dt6x5M1jzdTEt8oCbisTK
34,One Kiss (with Dua Lipa),Calvin Harris,6295,2018-09-21--2018-09-28,lu,7ef4DlsgrMEH11cDZd32M6
35,No Brainer,DJ Khaled,6018,2018-09-21--2018-09-28,lu,5WvAo7DNuPRmk4APhdPzi8
36,Wake Up in the Sky,Gucci Mane,5836,2018-09-21--2018-09-28,lu,0QIjsbm2fh1cJ45XO9eGqq
37,Killshot,Eminem,5834,2018-09-21--2018-09-28,lu,1jo3TwNGCXfNdB5uba3ZVv
38,Moonlight,XXXTENTACION,5831,2018-09-21--2018-09-28,lu,0JP9xo3adEtGSdUEISiszL
39,BEBE,6ix9ine,5751,2018-09-21--2018-09-28,lu,7ATATJztoWLcqDAcVVof0C
40,breathin,Ariana Grande,5714,2018-09-21--2018-09-28,lu,4OafepJy2teCjYJbvFE60J
41,Mafiosa (feat. Caroliina),Lartiste,5597,2018-09-21--2018-09-28,lu,0WxiQqTcK3ZErx2mMWgtm6
42,500 PS,Bonez MC,5407,2018-09-21--2018-09-28,lu,641R77CBy4bOLGRcA9sgHy
43,Dior 2001,RIN,5312,2018-09-21--2018-09-28,lu,2eNSyVH3sNPiAj9WpRYK73
44,Ramenez la coupe à la maison,Vegedream,5227,2018-09-21--2018-09-28,lu,1m0UFnuTktOkksvjbF9z0m
45,Beautiful (feat. Camila Cabello),Bazzi,5128,2018-09-21--2018-09-28,lu,4VUwkH455At9kENOfzTqmF
46,rockstar (feat. 21 Savage),Post Malone,5072,2018-09-21--2018-09-28,lu,0e7ipj03S05BNilyu5bRzt
47,Melodien (feat. Juju),Capital Bra,4980,2018-09-21--2018-09-28,lu,5d35jcJj7WjDQBOHCHPY6t
48,New Patek,Lil Uzi Vert,4842,2018-09-21--2018-09-28,lu,0Fpen1PTuEnCmOJtUU9Iud
49,God's Plan,Drake,4681,2018-09-21--2018-09-28,lu,6DCZcSspjsKoFjzjrWoCdn
50,Risiko,Bonez MC,4680,2018-09-21--2018-09-28,lu,0mjbIwkdLPK5g2nGzhacjU
51,Nonstop,Drake,4628,2018-09-21--2018-09-28,lu,0TlLq3lA83rQOYtrqBqSct
52,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,4604,2018-09-21--2018-09-28,lu,3DGar7krWlmrXRFHBcQF6z
53,Ocean (feat. Khalid),Martin Garrix,4596,2018-09-21--2018-09-28,lu,3nc420PXjTdBV5TN0gCFkS
54,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,4524,2018-09-21--2018-09-28,lu,2zy9TMoZlYGuCNY4TLqG24
55,Love Someone,Lukas Graham,4494,2018-09-21--2018-09-28,lu,2JqnpexlO9dmvjUMCaLCLJ
56,REMEDY,Alesso,4474,2018-09-21--2018-09-28,lu,6jreFSOTUAViWjKyzOC4Kg
57,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,4425,2018-09-21--2018-09-28,lu,7ycWLEP1GsNjVvcjawXz3z
58,no tears left to cry,Ariana Grande,4374,2018-09-21--2018-09-28,lu,2qT1uLXPVPzGgFOx4jtEuo
59,Blah Blah Blah,Armin van Buuren,4323,2018-09-21--2018-09-28,lu,0tp6mwUt99QnfY95T30Lqj
60,God is a woman,Ariana Grande,4303,2018-09-21--2018-09-28,lu,5OCJzvD7sykQEKHH7qAC3C
61,Youngblood,5 Seconds of Summer,4297,2018-09-21--2018-09-28,lu,2iUXsYOEPhVqEBwsqP70rE
62,BONNIE & CLYDE,Loredana,4245,2018-09-21--2018-09-28,lu,5UtiebKGhsSce9gX1qCqic
63,Bella,MHD,4224,2018-09-21--2018-09-28,lu,0O4XHiuVt3dBaOzSI49BtF
