Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,19698,2018-09-21--2018-09-28,mt,4S8d14HvHb70ImctNgVzQQ
2,BEBE,6ix9ine,19067,2018-09-21--2018-09-28,mt,7ATATJztoWLcqDAcVVof0C
3,Falling Down - Bonus Track,Lil Peep,18254,2018-09-21--2018-09-28,mt,0Dn40gxVCMo5TkgS8Ik18Q
4,Promises (with Sam Smith),Calvin Harris,18019,2018-09-21--2018-09-28,mt,5N5k9nd479b1xpDZ4usjrg
5,Happier,Marshmello,15245,2018-09-21--2018-09-28,mt,2dpaYNEQHiRxtZbfNsse99
6,Quiere Beber,Anuel AA,14720,2018-09-21--2018-09-28,mt,3rPAD722s5FFNnwjC91t7Z
7,Eastside (with Halsey & Khalid),benny blanco,14604,2018-09-21--2018-09-28,mt,0d2iYfpKoM0QCKvcLCkBao
8,Culpables,KAROL G,13801,2018-09-21--2018-09-28,mt,6q8Lb50EtqNeeJXXe8mMAH
9,Vaina Loca,Ozuna,13680,2018-09-21--2018-09-28,mt,48zFZh27QU5qsrBjn4C2FA
10,Lucky You (feat. Joyner Lucas),Eminem,12687,2018-09-21--2018-09-28,mt,60SdxE8apGAxMiRrpbmLY0
11,Hipócrita,Anuel AA,12194,2018-09-21--2018-09-28,mt,6XBjCetHKdO5L9cwMDVffw
12,Be Alright,Dean Lewis,11335,2018-09-21--2018-09-28,mt,3EPXxR3ImUwfayaurPi3cm
13,Better,Khalid,10733,2018-09-21--2018-09-28,mt,4T3fNx3CgwDRRYgmFCbD4J
14,Cuando Te Besé,Becky G,10561,2018-09-21--2018-09-28,mt,2XXMDz7SPZ4mSFN1PXfHUy
15,Electricity (with Dua Lipa),Silk City,10357,2018-09-21--2018-09-28,mt,5N4erncE7kuUccm7zEmwzk
16,Natural,Imagine Dragons,10235,2018-09-21--2018-09-28,mt,4zIO3ilp5HvTeK3HJHxhMP
17,In My Feelings,Drake,10136,2018-09-21--2018-09-28,mt,2G7V7zsVDxg1yRsu7Ew9RJ
18,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,9376,2018-09-21--2018-09-28,mt,5Xn4IyTtW6FUGIUyWjbUHG
19,Thunderclouds,Sia,9244,2018-09-21--2018-09-28,mt,5a8RPWgKSmcGBGcffmIrUi
20,breathin,Ariana Grande,9208,2018-09-21--2018-09-28,mt,4OafepJy2teCjYJbvFE60J
21,Te Boté - Remix,Nio Garcia,9128,2018-09-21--2018-09-28,mt,3V8UKqhEK5zBkBb6d6ub8i
22,Toda - Remix,Alex Rose,8618,2018-09-21--2018-09-28,mt,7nD2JPaxIKUdxd2UWgnaGL
23,No Es Justo,J Balvin,8457,2018-09-21--2018-09-28,mt,5qFeMRz4TvetPmzjre9Dq7
24,Girls Like You (feat. Cardi B),Maroon 5,8375,2018-09-21--2018-09-28,mt,7fa9MBXhVfQ8P8Df9OEbD8
25,Beautiful (feat. Camila Cabello),Bazzi,8144,2018-09-21--2018-09-28,mt,4VUwkH455At9kENOfzTqmF
26,I Like It,Cardi B,8097,2018-09-21--2018-09-28,mt,58q2HKrzhC3ozto2nDdN4z
27,No Brainer,DJ Khaled,8001,2018-09-21--2018-09-28,mt,5WvAo7DNuPRmk4APhdPzi8
28,Shotgun,George Ezra,7969,2018-09-21--2018-09-28,mt,4ofwffwvvnbSkrMSCKQDaC
29,SICKO MODE,Travis Scott,7843,2018-09-21--2018-09-28,mt,2xLMifQCjDGFmkHkpNLD9h
30,Asesina,Brytiago,7723,2018-09-21--2018-09-28,mt,6rbhaJsE4uLzpPf8WYSHDK
31,Body (feat. Brando),Loud Luxury,7720,2018-09-21--2018-09-28,mt,7K7MUBCnzgBAvMVW2RTWNs
32,Lucid Dreams,Juice WRLD,7679,2018-09-21--2018-09-28,mt,0s3nnoMeVWz3989MkNQiRf
33,Killshot,Eminem,7606,2018-09-21--2018-09-28,mt,1jo3TwNGCXfNdB5uba3ZVv
34,REMEDY,Alesso,7299,2018-09-21--2018-09-28,mt,6jreFSOTUAViWjKyzOC4Kg
35,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7235,2018-09-21--2018-09-28,mt,2E124GmJRnBJuXbTb4cPUB
36,Wake Up in the Sky,Gucci Mane,7197,2018-09-21--2018-09-28,mt,0QIjsbm2fh1cJ45XO9eGqq
37,Youngblood,5 Seconds of Summer,6988,2018-09-21--2018-09-28,mt,2iUXsYOEPhVqEBwsqP70rE
38,Sin Pijama,Becky G,6730,2018-09-21--2018-09-28,mt,2ijef6ni2amuunRoKTlgww
39,One Kiss (with Dua Lipa),Calvin Harris,6693,2018-09-21--2018-09-28,mt,7ef4DlsgrMEH11cDZd32M6
40,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,6630,2018-09-21--2018-09-28,mt,3DGar7krWlmrXRFHBcQF6z
41,No Stylist,French Montana,6595,2018-09-21--2018-09-28,mt,04MLEeAMuV9IlHEsD8vF6A
42,Solo (feat. Demi Lovato),Clean Bandit,6580,2018-09-21--2018-09-28,mt,6kPJZM97LwdG9QIsT7khp6
43,Happy Now,Zedd,6579,2018-09-21--2018-09-28,mt,4keoy2fqgwGnbWlm3ZVZFa
