Position,Track Name,Artist,Streams,date,region,id
1,Verleden Tijd,Frenna,3528014,2018-09-21--2018-09-28,nl,4kuexchmxuc5NXmokfo1WH
2,Djadja,Aya Nakamura,1732546,2018-09-21--2018-09-28,nl,3XfnssSD9HMQ9LhVOJvXTE
3,In My Mind,Dynoro,1520283,2018-09-21--2018-09-28,nl,0E9ZjEAyAwOXZ7wJC0PD33
4,Promises (with Sam Smith),Calvin Harris,1339631,2018-09-21--2018-09-28,nl,5N5k9nd479b1xpDZ4usjrg
5,SLIDE,Caza,1293525,2018-09-21--2018-09-28,nl,0cvgns9yWdycXStdjLzoZT
6,Capuchon,Frenna,1283780,2018-09-21--2018-09-28,nl,4n95vv8aHIvkLPIElA19C9
7,Shotgun,George Ezra,1189817,2018-09-21--2018-09-28,nl,4ofwffwvvnbSkrMSCKQDaC
8,I Love It (& Lil Pump),Kanye West,1159685,2018-09-21--2018-09-28,nl,4S8d14HvHb70ImctNgVzQQ
9,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,1088734,2018-09-21--2018-09-28,nl,77wz2VtAwxAwYOGTJrZBKT
10,Happier,Marshmello,1063960,2018-09-21--2018-09-28,nl,2dpaYNEQHiRxtZbfNsse99
11,Rise,Jonas Blue,1032647,2018-09-21--2018-09-28,nl,3u1S1OmAUhx5DRlLrXqyp3
12,LA VIDA LOCA,Jonna Fraser,992828,2018-09-21--2018-09-28,nl,2tE91SF5e1xY20syeIaKBh
13,wine slow - remix,Idaly,982255,2018-09-21--2018-09-28,nl,4sfdFMNDcc0Aw9DuwEksAn
14,lil mama,Idaly,933647,2018-09-21--2018-09-28,nl,3aMI0cu9YaZfyJTJMS89Ey
15,Be Alright,Dean Lewis,921050,2018-09-21--2018-09-28,nl,3EPXxR3ImUwfayaurPi3cm
16,Lief Zoals Je Bent,Maan,910014,2018-09-21--2018-09-28,nl,2dQRE94tqhBoxpe9tGcRrq
17,J'ai Déconné,Latifah,886784,2018-09-21--2018-09-28,nl,51PcB5453BMTM18V0hru79
18,Microfoon,Lijpe,877112,2018-09-21--2018-09-28,nl,5LPNjVJ8xwrp9OjWe5dYEU
19,Stap Voor Stap,Kav Verhouzer,857071,2018-09-21--2018-09-28,nl,11kUvSPQThp2rjB3tAs3W9
20,Natural,Imagine Dragons,854328,2018-09-21--2018-09-28,nl,4zIO3ilp5HvTeK3HJHxhMP
21,High On Life (feat. Bonn),Martin Garrix,841325,2018-09-21--2018-09-28,nl,4ut5G4rgB1ClpMTMfjoIuy
22,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,833029,2018-09-21--2018-09-28,nl,3DGar7krWlmrXRFHBcQF6z
23,Falling Down - Bonus Track,Lil Peep,808136,2018-09-21--2018-09-28,nl,0Dn40gxVCMo5TkgS8Ik18Q
24,Electricity (with Dua Lipa),Silk City,799622,2018-09-21--2018-09-28,nl,5N4erncE7kuUccm7zEmwzk
25,Eastside (with Halsey & Khalid),benny blanco,744605,2018-09-21--2018-09-28,nl,0d2iYfpKoM0QCKvcLCkBao
26,Lucid Dreams,Juice WRLD,744196,2018-09-21--2018-09-28,nl,0s3nnoMeVWz3989MkNQiRf
27,Drama,Bizzey,728430,2018-09-21--2018-09-28,nl,7iQKG3ZjRF4EEhUulo514R
28,In My Feelings,Drake,725060,2018-09-21--2018-09-28,nl,2G7V7zsVDxg1yRsu7Ew9RJ
29,Happy Now,Zedd,714291,2018-09-21--2018-09-28,nl,4keoy2fqgwGnbWlm3ZVZFa
30,Jackie Chan,Tiësto,679273,2018-09-21--2018-09-28,nl,4kWO6O1BUXcZmaxitpVUwp
31,Lucky You (feat. Joyner Lucas),Eminem,675215,2018-09-21--2018-09-28,nl,60SdxE8apGAxMiRrpbmLY0
32,Youngblood,5 Seconds of Summer,673385,2018-09-21--2018-09-28,nl,2iUXsYOEPhVqEBwsqP70rE
33,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,656290,2018-09-21--2018-09-28,nl,5Xn4IyTtW6FUGIUyWjbUHG
34,Ik Zweer Het Je,Young Ellens,633095,2018-09-21--2018-09-28,nl,5tyKjCpbeWHXEfXH6bMz0C
