Position,Track Name,Artist,Streams,date,region,id
1,Falling Down - Bonus Track,Lil Peep,920919,2018-09-21--2018-09-28,no,0Dn40gxVCMo5TkgS8Ik18Q
2,Be Alright,Dean Lewis,726999,2018-09-21--2018-09-28,no,3EPXxR3ImUwfayaurPi3cm
3,I Love It (& Lil Pump),Kanye West,698640,2018-09-21--2018-09-28,no,4S8d14HvHb70ImctNgVzQQ
4,In My Mind,Dynoro,689195,2018-09-21--2018-09-28,no,0E9ZjEAyAwOXZ7wJC0PD33
5,Eastside (with Halsey & Khalid),benny blanco,599895,2018-09-21--2018-09-28,no,0d2iYfpKoM0QCKvcLCkBao
6,Love Someone,Lukas Graham,587818,2018-09-21--2018-09-28,no,2JqnpexlO9dmvjUMCaLCLJ
7,Darkside,Alan Walker,569999,2018-09-21--2018-09-28,no,1snWlbcbgQpJfknoI30DWG
8,Promises (with Sam Smith),Calvin Harris,529173,2018-09-21--2018-09-28,no,5N5k9nd479b1xpDZ4usjrg
9,Better,Khalid,497057,2018-09-21--2018-09-28,no,4T3fNx3CgwDRRYgmFCbD4J
10,Lucky You (feat. Joyner Lucas),Eminem,481042,2018-09-21--2018-09-28,no,60SdxE8apGAxMiRrpbmLY0
11,Happier,Marshmello,461243,2018-09-21--2018-09-28,no,2dpaYNEQHiRxtZbfNsse99
12,REMEDY,Alesso,429728,2018-09-21--2018-09-28,no,6jreFSOTUAViWjKyzOC4Kg
13,Natural,Imagine Dragons,369265,2018-09-21--2018-09-28,no,4zIO3ilp5HvTeK3HJHxhMP
14,Ignite (feat. SEUNGRI),K-391,367524,2018-09-21--2018-09-28,no,0UMLejbZXf7YVgnfxURvVr
15,Lucid Dreams,Juice WRLD,353903,2018-09-21--2018-09-28,no,0s3nnoMeVWz3989MkNQiRf
16,"Bitch, hør her!",Melina Johnsen,344024,2018-09-21--2018-09-28,no,1vE38ibMSYKjDc82vY9pcq
17,Killshot,Eminem,335832,2018-09-21--2018-09-28,no,1jo3TwNGCXfNdB5uba3ZVv
18,BlimE,Freddy Kalas,333384,2018-09-21--2018-09-28,no,5ai9JSCJ6HE9ClW9CjFWcw
19,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,327191,2018-09-21--2018-09-28,no,3DGar7krWlmrXRFHBcQF6z
20,Happy Now,Zedd,327019,2018-09-21--2018-09-28,no,4keoy2fqgwGnbWlm3ZVZFa
21,Mother,Ina Wroldsen,325154,2018-09-21--2018-09-28,no,3nHtJ3HtqFomq1Qz7OzRR0
22,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,322177,2018-09-21--2018-09-28,no,5Xn4IyTtW6FUGIUyWjbUHG
23,Let You Love Me,Rita Ora,317647,2018-09-21--2018-09-28,no,6xtcFXSo8H9BZN637BMVKS
24,Sweet but Psycho,Ava Max,313051,2018-09-21--2018-09-28,no,25sgk305KZfyuqVBQIahim
25,No Stylist,French Montana,301432,2018-09-21--2018-09-28,no,04MLEeAMuV9IlHEsD8vF6A
