Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,392997,2018-09-21--2018-09-28,nz,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,366658,2018-09-21--2018-09-28,nz,0Dn40gxVCMo5TkgS8Ik18Q
3,Eastside (with Halsey & Khalid),benny blanco,317739,2018-09-21--2018-09-28,nz,0d2iYfpKoM0QCKvcLCkBao
4,Shotgun,George Ezra,296814,2018-09-21--2018-09-28,nz,4ofwffwvvnbSkrMSCKQDaC
5,Be Alright,Dean Lewis,272647,2018-09-21--2018-09-28,nz,3EPXxR3ImUwfayaurPi3cm
6,Happier,Marshmello,259298,2018-09-21--2018-09-28,nz,2dpaYNEQHiRxtZbfNsse99
7,Better,Khalid,228350,2018-09-21--2018-09-28,nz,4T3fNx3CgwDRRYgmFCbD4J
8,Lucky You (feat. Joyner Lucas),Eminem,227221,2018-09-21--2018-09-28,nz,60SdxE8apGAxMiRrpbmLY0
9,Killshot,Eminem,219487,2018-09-21--2018-09-28,nz,1jo3TwNGCXfNdB5uba3ZVv
10,Promises (with Sam Smith),Calvin Harris,218498,2018-09-21--2018-09-28,nz,5N5k9nd479b1xpDZ4usjrg
11,SICKO MODE,Travis Scott,197640,2018-09-21--2018-09-28,nz,2xLMifQCjDGFmkHkpNLD9h
12,No Brainer,DJ Khaled,196647,2018-09-21--2018-09-28,nz,5WvAo7DNuPRmk4APhdPzi8
13,Vibes,Six60,192230,2018-09-21--2018-09-28,nz,5EKITWJXROxWdc0bcRrMLy
14,Girls Like You (feat. Cardi B),Maroon 5,188177,2018-09-21--2018-09-28,nz,7fa9MBXhVfQ8P8Df9OEbD8
15,Taste (feat. Offset),Tyga,176015,2018-09-21--2018-09-28,nz,5IaHrVsrferBYDm0bDyABy
16,Youngblood,5 Seconds of Summer,174993,2018-09-21--2018-09-28,nz,2iUXsYOEPhVqEBwsqP70rE
17,Rise,Jonas Blue,170380,2018-09-21--2018-09-28,nz,3u1S1OmAUhx5DRlLrXqyp3
18,In My Feelings,Drake,169202,2018-09-21--2018-09-28,nz,2G7V7zsVDxg1yRsu7Ew9RJ
19,Electricity (with Dua Lipa),Silk City,165982,2018-09-21--2018-09-28,nz,5N4erncE7kuUccm7zEmwzk
20,Body (feat. Brando),Loud Luxury,164286,2018-09-21--2018-09-28,nz,7K7MUBCnzgBAvMVW2RTWNs
21,In My Mind,Dynoro,159151,2018-09-21--2018-09-28,nz,0E9ZjEAyAwOXZ7wJC0PD33
22,Lucid Dreams,Juice WRLD,158836,2018-09-21--2018-09-28,nz,0s3nnoMeVWz3989MkNQiRf
23,High Hopes,Panic! At The Disco,152317,2018-09-21--2018-09-28,nz,1rqqCSm0Qe4I9rUvWncaom
24,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,140653,2018-09-21--2018-09-28,nz,2E124GmJRnBJuXbTb4cPUB
25,Jackie Chan,Tiësto,140124,2018-09-21--2018-09-28,nz,4kWO6O1BUXcZmaxitpVUwp
26,breathin,Ariana Grande,139306,2018-09-21--2018-09-28,nz,4OafepJy2teCjYJbvFE60J
27,Trip,Ella Mai,138905,2018-09-21--2018-09-28,nz,7noud145AHZGg74vpWOsCa
28,SAD!,XXXTENTACION,137724,2018-09-21--2018-09-28,nz,3ee8Jmje8o58CHK66QrVC2
29,lovely (with Khalid),Billie Eilish,135601,2018-09-21--2018-09-28,nz,0u2P5u6lvoDfwTYjAADbn4
30,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,132783,2018-09-21--2018-09-28,nz,7ycWLEP1GsNjVvcjawXz3z
31,Beautiful (feat. Camila Cabello),Bazzi,126545,2018-09-21--2018-09-28,nz,4VUwkH455At9kENOfzTqmF
32,Better Now,Post Malone,126019,2018-09-21--2018-09-28,nz,7dt6x5M1jzdTEt8oCbisTK
33,The Ringer,Eminem,124180,2018-09-21--2018-09-28,nz,2jt2WxXMCD4zjACthkJQVE
34,God is a woman,Ariana Grande,121099,2018-09-21--2018-09-28,nz,5OCJzvD7sykQEKHH7qAC3C
35,RAP DEVIL,Machine Gun Kelly,120657,2018-09-21--2018-09-28,nz,43TP6JCWXgkc2D7Xjz5hBr
36,REMEDY,Alesso,116144,2018-09-21--2018-09-28,nz,6jreFSOTUAViWjKyzOC4Kg
37,Ocean (feat. Khalid),Martin Garrix,115079,2018-09-21--2018-09-28,nz,3nc420PXjTdBV5TN0gCFkS
38,Fall,Eminem,114045,2018-09-21--2018-09-28,nz,58QhkbaAkLFnn7JwAnAato
39,2002,Anne-Marie,113837,2018-09-21--2018-09-28,nz,2BgEsaKNfHUdlh97KmvFyo
40,I Like It,Cardi B,112838,2018-09-21--2018-09-28,nz,58q2HKrzhC3ozto2nDdN4z
41,I'll Be There,Jess Glynne,111960,2018-09-21--2018-09-28,nz,083Qf6hn6sFL6xiOHlZUyn
42,Jocelyn Flores,XXXTENTACION,110415,2018-09-21--2018-09-28,nz,7m9OqQk4RVRkw9JJdeAw96
43,Wake Up in the Sky,Gucci Mane,110384,2018-09-21--2018-09-28,nz,0QIjsbm2fh1cJ45XO9eGqq
44,Moonlight,XXXTENTACION,109797,2018-09-21--2018-09-28,nz,0JP9xo3adEtGSdUEISiszL
45,Happy Now,Zedd,104063,2018-09-21--2018-09-28,nz,4keoy2fqgwGnbWlm3ZVZFa
46,Thunderclouds,Sia,103961,2018-09-21--2018-09-28,nz,5a8RPWgKSmcGBGcffmIrUi
47,Love Lies (with Normani),Khalid,99145,2018-09-21--2018-09-28,nz,45Egmo7icyopuzJN0oMEdk
48,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,97506,2018-09-21--2018-09-28,nz,15kQGEy89K8deJcZVFEn0N
49,Nonstop,Drake,93895,2018-09-21--2018-09-28,nz,0TlLq3lA83rQOYtrqBqSct
50,Born To Be Yours,Kygo,92223,2018-09-21--2018-09-28,nz,0kHyKhJMukHEPfeh8s7rdM
51,rockstar (feat. 21 Savage),Post Malone,90959,2018-09-21--2018-09-28,nz,0e7ipj03S05BNilyu5bRzt
52,no tears left to cry,Ariana Grande,84642,2018-09-21--2018-09-28,nz,2qT1uLXPVPzGgFOx4jtEuo
53,Not Alike (feat. Royce Da 5'9),Eminem,84491,2018-09-21--2018-09-28,nz,28FGV3ORH14MYORd7s5dlU
54,God's Plan,Drake,82508,2018-09-21--2018-09-28,nz,6DCZcSspjsKoFjzjrWoCdn
55,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,81608,2018-09-21--2018-09-28,nz,5Xn4IyTtW6FUGIUyWjbUHG
56,21,Mitch James,81300,2018-09-21--2018-09-28,nz,0Ex9zl11jfSf4NYVwpz9gP
57,Nice For What,Drake,81243,2018-09-21--2018-09-28,nz,3CA9pLiwRIGtUBiMjbZmRw
58,Drift Away,Sons Of Zion,80411,2018-09-21--2018-09-28,nz,2bx4jOMWpCbemnnRWfsMbx
59,I Fall Apart,Post Malone,79778,2018-09-21--2018-09-28,nz,75ZvA4QfFiZvzhj2xkaWAh
60,Nevermind,Dennis Lloyd,77570,2018-09-21--2018-09-28,nz,63SevszngYpZOwf63o61K4
61,SLOW DANCING IN THE DARK,Joji,76717,2018-09-21--2018-09-28,nz,0UyljEbX9dqI1K0sqdv6B6
62,Psycho (feat. Ty Dolla $ign),Post Malone,76593,2018-09-21--2018-09-28,nz,3swc6WTsr7rl9DqQKQA55C
63,SWISH,Tyga,75377,2018-09-21--2018-09-28,nz,55GiOwtxNajXVbpjjIzMnD
64,Natural,Imagine Dragons,75033,2018-09-21--2018-09-28,nz,4zIO3ilp5HvTeK3HJHxhMP
65,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,74484,2018-09-21--2018-09-28,nz,4e4fqjx0Izh4svvTef1z7e
66,Ring (feat. Kehlani),Cardi B,74335,2018-09-21--2018-09-28,nz,5DfWF0jqMgZDCiu9zJENTA
67,I Like Me Better,Lauv,73228,2018-09-21--2018-09-28,nz,2P91MQbaiQOfbiz9VqhqKQ
