Position,Track Name,Artist,Streams,date,region,id
1,Cuando Te Besé,Becky G,762117,2018-09-21--2018-09-28,pe,2XXMDz7SPZ4mSFN1PXfHUy
2,Vaina Loca,Ozuna,626796,2018-09-21--2018-09-28,pe,48zFZh27QU5qsrBjn4C2FA
3,No Es Justo,J Balvin,551029,2018-09-21--2018-09-28,pe,5qFeMRz4TvetPmzjre9Dq7
4,Mala Mía,Maluma,518639,2018-09-21--2018-09-28,pe,62o8KoI44JfN7aYxgTnPvh
5,Amigos Con Derechos,Reik,501441,2018-09-21--2018-09-28,pe,2zDj4WjbNDmrRL6Z4YjjCA
6,Te Boté - Remix,Nio Garcia,492190,2018-09-21--2018-09-28,pe,3V8UKqhEK5zBkBb6d6ub8i
7,Por Perro,Sebastian Yatra,491379,2018-09-21--2018-09-28,pe,2alIsNw1mqEShbWyO1HXZZ
8,Sin Pijama,Becky G,486082,2018-09-21--2018-09-28,pe,2ijef6ni2amuunRoKTlgww
9,BEBE,6ix9ine,476100,2018-09-21--2018-09-28,pe,7ATATJztoWLcqDAcVVof0C
10,No Me Acuerdo,Thalía,419355,2018-09-21--2018-09-28,pe,00EPIEnX1JFjff8sC6bccd
11,La player (Bandolera),Zion & Lennox,388819,2018-09-21--2018-09-28,pe,0VKkyBKCXyR99navhVRqcP
12,Culpables,KAROL G,384005,2018-09-21--2018-09-28,pe,6q8Lb50EtqNeeJXXe8mMAH
13,Quiere Beber,Anuel AA,380488,2018-09-21--2018-09-28,pe,3rPAD722s5FFNnwjC91t7Z
14,Ya No Tiene Novio,Sebastian Yatra,365716,2018-09-21--2018-09-28,pe,7uQmJ1jgNzBpATSoWKSPFu
15,Clandestino,Shakira,365700,2018-09-21--2018-09-28,pe,7DrluKkTviBwCc8AV3VGmf
16,Chica Paranormal,Paulo Londra,364434,2018-09-21--2018-09-28,pe,2r77vqSZkOktTSgmAOoHsV
17,Te Amo,Piso 21,363083,2018-09-21--2018-09-28,pe,2RVrdr062uLFxXwIxwdXPH
18,Culpables,Manuel Turizo,350146,2018-09-21--2018-09-28,pe,3RD0PGolM0mETGHaprwgMn
19,Asesina,Brytiago,338723,2018-09-21--2018-09-28,pe,6rbhaJsE4uLzpPf8WYSHDK
20,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,325837,2018-09-21--2018-09-28,pe,3TnhQSRwT3AVMdXw5JPq0x
21,Duro y Suave,Leslie Grace,322757,2018-09-21--2018-09-28,pe,31M5m42C3EGlbydf9XB5to
22,X - Remix,Nicky Jam,314734,2018-09-21--2018-09-28,pe,6JjPBQfI2Y8nIjnm65X6Pw
23,Me Niego (feat. Ozuna & Wisin),Reik,304293,2018-09-21--2018-09-28,pe,6jA8JUuPCGYjFcgw0AoM5T
24,Probablemente,Daniela Darcourt,294662,2018-09-21--2018-09-28,pe,1CrjakXhVx50ESX6XW4iX3
25,Toda - Remix,Alex Rose,293409,2018-09-21--2018-09-28,pe,7nD2JPaxIKUdxd2UWgnaGL
26,Dura - Remix,Daddy Yankee,278052,2018-09-21--2018-09-28,pe,6U2NuJILEOEpW2tVCuqKHb
27,I Like It,Cardi B,272425,2018-09-21--2018-09-28,pe,58q2HKrzhC3ozto2nDdN4z
28,Madura (feat. Bad Bunny),Cosculluela,272314,2018-09-21--2018-09-28,pe,0r9d60ZYPAlFHq8qnUtkXN
29,Mi Cama - Remix,KAROL G,269204,2018-09-21--2018-09-28,pe,38QmUDpkoYlNbMKvpvAsrE
30,Hipócrita,Anuel AA,258092,2018-09-21--2018-09-28,pe,6XBjCetHKdO5L9cwMDVffw
31,El Clavo (feat. Maluma) - Remix,Prince Royce,255984,2018-09-21--2018-09-28,pe,6bI00brFpeprqCDqKouEJS
32,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,242039,2018-09-21--2018-09-28,pe,4QtiVmuA88tPQiCOHZuQ5b
33,Zum Zum,Daddy Yankee,241935,2018-09-21--2018-09-28,pe,7lEhOiFtcLXY4P7cuTKuQ8
34,Unica,Ozuna,230537,2018-09-21--2018-09-28,pe,33b2wX9d0kxqxhi7lcsC1A
35,Bella - Remix,Wolfine,221557,2018-09-21--2018-09-28,pe,0SaYeGhSXN0dDWstyNTQ56
36,Déjala que vuelva (feat. Manuel Turizo),Piso 21,221026,2018-09-21--2018-09-28,pe,1j6xOGusnyXq3l6IryKF3G
37,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,214119,2018-09-21--2018-09-28,pe,5bITfqKGaPakO1l99hOMsI
38,No Hay Nadie Más,Sebastian Yatra,201927,2018-09-21--2018-09-28,pe,3IPJg1sdqLj12kFIndaonN
39,Estamos Bien,Bad Bunny,200392,2018-09-21--2018-09-28,pe,7glCSQqV5o6NU88Cn4zPZn
40,Celoso,Lele Pons,197579,2018-09-21--2018-09-28,pe,33zcmmElV1YbRZe57biUjg
