Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,434498,2018-09-21--2018-09-28,pl,0E9ZjEAyAwOXZ7wJC0PD33
2,I Love It (& Lil Pump),Kanye West,418684,2018-09-21--2018-09-28,pl,4S8d14HvHb70ImctNgVzQQ
3,Falling Down - Bonus Track,Lil Peep,405609,2018-09-21--2018-09-28,pl,0Dn40gxVCMo5TkgS8Ik18Q
4,Początek,Męskie Granie Orkiestra 2018,370402,2018-09-21--2018-09-28,pl,6TfeSFGbqxGjIKuKLQOsKC
5,Promises (with Sam Smith),Calvin Harris,365318,2018-09-21--2018-09-28,pl,5N5k9nd479b1xpDZ4usjrg
6,Weź nie pytaj,Paweł Domagała,357056,2018-09-21--2018-09-28,pl,4WgOhIHX0Ez6vJ7Efu9zbQ
7,Natural,Imagine Dragons,349956,2018-09-21--2018-09-28,pl,4zIO3ilp5HvTeK3HJHxhMP
8,Rozovoye Vino,Eldzhey,335538,2018-09-21--2018-09-28,pl,4LDcQ9sLkKCie4XcKaEwJD
9,Małomiasteczkowy,Dawid Podsiadło,321780,2018-09-21--2018-09-28,pl,4pzE97EZMDxnqO88y3YxAm
10,California,White 2115,306301,2018-09-21--2018-09-28,pl,2nFaT0t36H6UX3wN3Vxvjm
11,Fiji,Taco Hemingway,302011,2018-09-21--2018-09-28,pl,2CdCs9y04oDuYCF4ewNzI7
12,Euforia,Otsochodzi,299803,2018-09-21--2018-09-28,pl,7KMMRJ4dtn1rFXCXseKzYc
13,Shotgun,George Ezra,282616,2018-09-21--2018-09-28,pl,4ofwffwvvnbSkrMSCKQDaC
14,Body (feat. Brando),Loud Luxury,281588,2018-09-21--2018-09-28,pl,7K7MUBCnzgBAvMVW2RTWNs
15,Nevermind,Dennis Lloyd,277887,2018-09-21--2018-09-28,pl,63SevszngYpZOwf63o61K4
16,Rise,Jonas Blue,264441,2018-09-21--2018-09-28,pl,3u1S1OmAUhx5DRlLrXqyp3
17,Wiking,Sarius,246148,2018-09-21--2018-09-28,pl,1ef8jV2jElVL74JzBKo6K7
18,Sorry Dolores,Reto,244919,2018-09-21--2018-09-28,pl,0yd4OCmrcqvsAMUJGCMEFQ
19,Youngblood,5 Seconds of Summer,239648,2018-09-21--2018-09-28,pl,2iUXsYOEPhVqEBwsqP70rE
20,Bestia,Young Igi,238832,2018-09-21--2018-09-28,pl,4I0R7t0kvVTlqQGpDp0GXl
21,One Last Time (feat. Jesper Jenset),Gromee,236958,2018-09-21--2018-09-28,pl,2fsUx17P1kqo8s5LZKO8oh
22,Solo (feat. Demi Lovato),Clean Bandit,227191,2018-09-21--2018-09-28,pl,6kPJZM97LwdG9QIsT7khp6
