Position,Track Name,Artist,Streams,date,region,id
1,Devia Ir,Wet Bed Gang,275525,2018-09-21--2018-09-28,pt,1ftBvRj542ol7LT1A0EtL7
2,O Bebê,MC Kevinho,167210,2018-09-21--2018-09-28,pt,51HrDv54pSe1IqynORNXBd
3,Cafeína,Dj Dadda,161509,2018-09-21--2018-09-28,pt,37tlhZnzXdF5en96O1j93w
4,Te Boté - Remix,Nio Garcia,152521,2018-09-21--2018-09-28,pt,3V8UKqhEK5zBkBb6d6ub8i
5,I Love It (& Lil Pump),Kanye West,144345,2018-09-21--2018-09-28,pt,4S8d14HvHb70ImctNgVzQQ
6,Lucid Dreams,Juice WRLD,143482,2018-09-21--2018-09-28,pt,0s3nnoMeVWz3989MkNQiRf
7,Mafiosa (feat. Caroliina),Lartiste,139935,2018-09-21--2018-09-28,pt,0WxiQqTcK3ZErx2mMWgtm6
8,In My Feelings,Drake,138783,2018-09-21--2018-09-28,pt,2G7V7zsVDxg1yRsu7Ew9RJ
9,Falling Down - Bonus Track,Lil Peep,138749,2018-09-21--2018-09-28,pt,0Dn40gxVCMo5TkgS8Ik18Q
10,Lucky You (feat. Joyner Lucas),Eminem,120505,2018-09-21--2018-09-28,pt,60SdxE8apGAxMiRrpbmLY0
11,Natural,Imagine Dragons,117388,2018-09-21--2018-09-28,pt,4zIO3ilp5HvTeK3HJHxhMP
12,Happier,Marshmello,112845,2018-09-21--2018-09-28,pt,2dpaYNEQHiRxtZbfNsse99
13,Amor de Verdade,MC Kekel,112461,2018-09-21--2018-09-28,pt,76KDy62J99FKu6ZsxMJy3j
14,Eastside (with Halsey & Khalid),benny blanco,112179,2018-09-21--2018-09-28,pt,0d2iYfpKoM0QCKvcLCkBao
15,In My Mind,Dynoro,112131,2018-09-21--2018-09-28,pt,0E9ZjEAyAwOXZ7wJC0PD33
16,NÓS2 (feat. Deezy),Bispo,107816,2018-09-21--2018-09-28,pt,4Pl3vnDKIJRQ1eXjeqimBR
17,Água de Coco (Prod. Lhast),ProfJam,107333,2018-09-21--2018-09-28,pt,4VXadgWrXnmHsWknVD2vgJ
18,SAD!,XXXTENTACION,105964,2018-09-21--2018-09-28,pt,3ee8Jmje8o58CHK66QrVC2
