Position,Track Name,Artist,Streams,date,region,id
1,Be Alright,Dean Lewis,304482,2018-09-21--2018-09-28,sg,3EPXxR3ImUwfayaurPi3cm
2,Happier,Marshmello,268977,2018-09-21--2018-09-28,sg,2dpaYNEQHiRxtZbfNsse99
3,Beautiful (feat. Camila Cabello),Bazzi,251083,2018-09-21--2018-09-28,sg,4VUwkH455At9kENOfzTqmF
4,Eastside (with Halsey & Khalid),benny blanco,245762,2018-09-21--2018-09-28,sg,0d2iYfpKoM0QCKvcLCkBao
5,Thunderclouds,Sia,222373,2018-09-21--2018-09-28,sg,5a8RPWgKSmcGBGcffmIrUi
6,8 Letters,Why Don't We,220947,2018-09-21--2018-09-28,sg,4zRZAmBQP8vhNPf9i9opXt
7,Better,Khalid,210270,2018-09-21--2018-09-28,sg,4T3fNx3CgwDRRYgmFCbD4J
8,Darkside,Alan Walker,196633,2018-09-21--2018-09-28,sg,1snWlbcbgQpJfknoI30DWG
9,Happy Now,Zedd,180086,2018-09-21--2018-09-28,sg,4keoy2fqgwGnbWlm3ZVZFa
10,Love Someone,Lukas Graham,174755,2018-09-21--2018-09-28,sg,2JqnpexlO9dmvjUMCaLCLJ
11,Girls Like You (feat. Cardi B),Maroon 5,174460,2018-09-21--2018-09-28,sg,7fa9MBXhVfQ8P8Df9OEbD8
12,breathin,Ariana Grande,171607,2018-09-21--2018-09-28,sg,4OafepJy2teCjYJbvFE60J
13,Lucky You (feat. Joyner Lucas),Eminem,168567,2018-09-21--2018-09-28,sg,60SdxE8apGAxMiRrpbmLY0
14,DDU-DU DDU-DU - KR Ver.,BLACKPINK,151701,2018-09-21--2018-09-28,sg,2CWnuF7ht55Ajyeg4WPvWu
15,2002,Anne-Marie,151108,2018-09-21--2018-09-28,sg,2BgEsaKNfHUdlh97KmvFyo
16,Electricity (with Dua Lipa),Silk City,141139,2018-09-21--2018-09-28,sg,5N4erncE7kuUccm7zEmwzk
17,Promises (with Sam Smith),Calvin Harris,138630,2018-09-21--2018-09-28,sg,5N5k9nd479b1xpDZ4usjrg
18,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,134869,2018-09-21--2018-09-28,sg,2zy9TMoZlYGuCNY4TLqG24
19,Superhero,Lauv,133424,2018-09-21--2018-09-28,sg,1Fo4OvzP9PThFKMeMIAEYu
20,No Brainer,DJ Khaled,130397,2018-09-21--2018-09-28,sg,5WvAo7DNuPRmk4APhdPzi8
21,Killshot,Eminem,127300,2018-09-21--2018-09-28,sg,1jo3TwNGCXfNdB5uba3ZVv
22,體面(電影《前任3:再見前任》插曲),Kelly Yu,125873,2018-09-21--2018-09-28,sg,7cE5ehlKJ3L9Ejhzm3udcF
23,God is a woman,Ariana Grande,125137,2018-09-21--2018-09-28,sg,5OCJzvD7sykQEKHH7qAC3C
24,High Hopes,Panic! At The Disco,123407,2018-09-21--2018-09-28,sg,1rqqCSm0Qe4I9rUvWncaom
25,I'm a Mess,Bebe Rexha,119911,2018-09-21--2018-09-28,sg,04ZTP5KsCypmtCmQg5tH9R
26,Solo (feat. Demi Lovato),Clean Bandit,118601,2018-09-21--2018-09-28,sg,6kPJZM97LwdG9QIsT7khp6
27,Natural,Imagine Dragons,118445,2018-09-21--2018-09-28,sg,4zIO3ilp5HvTeK3HJHxhMP
28,那些你很冒險的夢,JJ Lin,116290,2018-09-21--2018-09-28,sg,5kZDxLcbqglZ2yYXg4Mkjc
29,Rise,Jonas Blue,115478,2018-09-21--2018-09-28,sg,3u1S1OmAUhx5DRlLrXqyp3
30,Siren,SUNMI,114504,2018-09-21--2018-09-28,sg,2EK48RuuE8HHMDzD2rEDqL
31,In My Feelings,Drake,113400,2018-09-21--2018-09-28,sg,2G7V7zsVDxg1yRsu7Ew9RJ
32,I Love It (& Lil Pump),Kanye West,113096,2018-09-21--2018-09-28,sg,4S8d14HvHb70ImctNgVzQQ
33,Thru These Tears,LANY,112915,2018-09-21--2018-09-28,sg,4gB61mP4tNChn4LgfquMhi
34,Falling Down - Bonus Track,Lil Peep,112735,2018-09-21--2018-09-28,sg,0Dn40gxVCMo5TkgS8Ik18Q
35,Let Me Down Slowly,Alec Benjamin,110806,2018-09-21--2018-09-28,sg,2uaiyLKnYvazyfR0Ky3Kbk
36,Ocean (feat. Khalid),Martin Garrix,110101,2018-09-21--2018-09-28,sg,3nc420PXjTdBV5TN0gCFkS
37,告白氣球,Jay Chou,109354,2018-09-21--2018-09-28,sg,1ivCIgrYZyE0BvItL4Z8lk
38,如果雨之後,Eric Chou,105457,2018-09-21--2018-09-28,sg,6kabSi7XCHHGThNme6J2tL
39,KILLING ME,iKON,104499,2018-09-21--2018-09-28,sg,27kB4qLUCV8nZd2eOgj1Tk
40,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,104350,2018-09-21--2018-09-28,sg,15kQGEy89K8deJcZVFEn0N
41,Perfect,Ed Sheeran,102954,2018-09-21--2018-09-28,sg,0tgVpDi06FyKpA1z0VMD4v
42,no tears left to cry,Ariana Grande,101381,2018-09-21--2018-09-28,sg,2qT1uLXPVPzGgFOx4jtEuo
43,IDOL,BTS,100847,2018-09-21--2018-09-28,sg,03iCbZaM4OkRR4We6wIzvx
44,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,95513,2018-09-21--2018-09-28,sg,2gug6MRv4xQFYi9LA3PJCS
45,Lullaby,GOT7,94564,2018-09-21--2018-09-28,sg,1aDarBap4uQgOt9k4fxWd8
46,Wake Up in the Sky,Gucci Mane,92708,2018-09-21--2018-09-28,sg,0QIjsbm2fh1cJ45XO9eGqq
47,Talk,Why Don't We,92155,2018-09-21--2018-09-28,sg,6rsm9NTgl9kKPatf7S1yCS
48,Youngblood,5 Seconds of Summer,91739,2018-09-21--2018-09-28,sg,2iUXsYOEPhVqEBwsqP70rE
49,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,90498,2018-09-21--2018-09-28,sg,5Xn4IyTtW6FUGIUyWjbUHG
50,High On Life (feat. Bonn),Martin Garrix,89827,2018-09-21--2018-09-28,sg,4ut5G4rgB1ClpMTMfjoIuy
51,Lil’ Touch,Girls' Generation-Oh!GG,89364,2018-09-21--2018-09-28,sg,4D5Ode2OfZMxIwQyvmhUe8
52,Havana (feat. Young Thug),Camila Cabello,88085,2018-09-21--2018-09-28,sg,1rfofaqEpACxVEHIZBJe6W
53,不為誰而作的歌,JJ Lin,84558,2018-09-21--2018-09-28,sg,0VqSdtXseb9khdZrnYVyM1
54,Want To,Dua Lipa,84479,2018-09-21--2018-09-28,sg,0CBFOvHlyqy30Q5tbyNHfQ
55,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,84130,2018-09-21--2018-09-28,sg,4hQ6UGyWQIGJmHSo0J88JW
56,Say You Won't Let Go,James Arthur,83987,2018-09-21--2018-09-28,sg,5uCax9HTNlzGybIStD3vDh
57,Too Good At Goodbyes,Sam Smith,83628,2018-09-21--2018-09-28,sg,1mXVgsBdtIVeCLJnSnmtdV
58,說散就散,JC 陳泳彤,83451,2018-09-21--2018-09-28,sg,3CE1HoJJ0FVKo7JHsWIuvC
59,等你下課,Jay Chou,83308,2018-09-21--2018-09-28,sg,76WthWB0v0KXUHZoAclMVV
60,可惜沒如果,JJ Lin,83237,2018-09-21--2018-09-28,sg,6WoQzK5Exbfcmow1AoNRkl
61,Head Above Water,Avril Lavigne,80978,2018-09-21--2018-09-28,sg,1N7YeVU0ZwAFbOhwM61ef6
62,You Are The Reason,Calum Scott,80581,2018-09-21--2018-09-28,sg,69vToJ9BMbbLlFZo7k7A7B
63,HURT,Jasmine Sokko,80159,2018-09-21--2018-09-28,sg,748ooJMZmrsPcQ3MdSZwsF
64,The Middle,Zedd,79918,2018-09-21--2018-09-28,sg,09IStsImFySgyp0pIQdqAc
65,I Wouldn't Know Any Better Than You,Gentle Bones,78934,2018-09-21--2018-09-28,sg,3K8tRD2Prik7FXbD8lZ6DC
66,Shape of You,Ed Sheeran,77566,2018-09-21--2018-09-28,sg,7qiZfU4dY1lWllzX7mPBI3
