Position,Track Name,Artist,Streams,date,region,id
1,Vaina Loca,Ozuna,52497,2018-09-21--2018-09-28,sv,48zFZh27QU5qsrBjn4C2FA
2,No Es Justo,J Balvin,44821,2018-09-21--2018-09-28,sv,5qFeMRz4TvetPmzjre9Dq7
3,BEBE,6ix9ine,43321,2018-09-21--2018-09-28,sv,7ATATJztoWLcqDAcVVof0C
4,Quiere Beber,Anuel AA,40095,2018-09-21--2018-09-28,sv,3rPAD722s5FFNnwjC91t7Z
5,Toda - Remix,Alex Rose,38672,2018-09-21--2018-09-28,sv,7nD2JPaxIKUdxd2UWgnaGL
6,La player (Bandolera),Zion & Lennox,37913,2018-09-21--2018-09-28,sv,0VKkyBKCXyR99navhVRqcP
7,Te Boté - Remix,Nio Garcia,35592,2018-09-21--2018-09-28,sv,3V8UKqhEK5zBkBb6d6ub8i
8,Cuando Te Besé,Becky G,34269,2018-09-21--2018-09-28,sv,2XXMDz7SPZ4mSFN1PXfHUy
9,Sin Pijama,Becky G,30613,2018-09-21--2018-09-28,sv,2ijef6ni2amuunRoKTlgww
10,Amigos Con Derechos,Reik,29919,2018-09-21--2018-09-28,sv,2zDj4WjbNDmrRL6Z4YjjCA
11,Ya No Tiene Novio,Sebastian Yatra,28999,2018-09-21--2018-09-28,sv,7uQmJ1jgNzBpATSoWKSPFu
12,Mala Mía,Maluma,28801,2018-09-21--2018-09-28,sv,62o8KoI44JfN7aYxgTnPvh
13,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,28379,2018-09-21--2018-09-28,sv,3TnhQSRwT3AVMdXw5JPq0x
14,Culpables,KAROL G,28013,2018-09-21--2018-09-28,sv,6q8Lb50EtqNeeJXXe8mMAH
15,Por Perro,Sebastian Yatra,27237,2018-09-21--2018-09-28,sv,2alIsNw1mqEShbWyO1HXZZ
16,I Like It,Cardi B,26124,2018-09-21--2018-09-28,sv,58q2HKrzhC3ozto2nDdN4z
17,Asesina,Brytiago,25255,2018-09-21--2018-09-28,sv,6rbhaJsE4uLzpPf8WYSHDK
18,No Me Acuerdo,Thalía,24454,2018-09-21--2018-09-28,sv,00EPIEnX1JFjff8sC6bccd
19,Estamos Bien,Bad Bunny,24039,2018-09-21--2018-09-28,sv,7glCSQqV5o6NU88Cn4zPZn
20,Hipócrita,Anuel AA,23910,2018-09-21--2018-09-28,sv,6XBjCetHKdO5L9cwMDVffw
21,Culpables,Manuel Turizo,23486,2018-09-21--2018-09-28,sv,3RD0PGolM0mETGHaprwgMn
22,Clandestino,Shakira,22371,2018-09-21--2018-09-28,sv,7DrluKkTviBwCc8AV3VGmf
23,Te Amo,Piso 21,21723,2018-09-21--2018-09-28,sv,2RVrdr062uLFxXwIxwdXPH
24,In My Feelings,Drake,21628,2018-09-21--2018-09-28,sv,2G7V7zsVDxg1yRsu7Ew9RJ
25,Me Niego (feat. Ozuna & Wisin),Reik,20825,2018-09-21--2018-09-28,sv,6jA8JUuPCGYjFcgw0AoM5T
26,Epa Wei,Danny Ocean,19798,2018-09-21--2018-09-28,sv,2QmsKag0YaqhAbpR9Nwmpn
27,Chica Paranormal,Paulo Londra,19198,2018-09-21--2018-09-28,sv,2r77vqSZkOktTSgmAOoHsV
28,Unica,Ozuna,18916,2018-09-21--2018-09-28,sv,33b2wX9d0kxqxhi7lcsC1A
29,Falling Down - Bonus Track,Lil Peep,18591,2018-09-21--2018-09-28,sv,0Dn40gxVCMo5TkgS8Ik18Q
30,Girls Like You (feat. Cardi B),Maroon 5,18363,2018-09-21--2018-09-28,sv,7fa9MBXhVfQ8P8Df9OEbD8
