Position,Track Name,Artist,Streams,date,region,id
1,Mary Jane (Radio Edit),Burry Soprano,1099298,2018-09-21--2018-09-28,tr,51agJccRxKI5dqGJFkTojo
2,Elbet Bir Gün,Canbay & Wolker,712429,2018-09-21--2018-09-28,tr,1PJ1BbGaVmLogYicLKoZix
3,Dipsiz Kuyum,Emrah Karaduman,682754,2018-09-21--2018-09-28,tr,27V2b6B6YZjU3IzqH1ynpm
4,Geceler,Ezhel,465272,2018-09-21--2018-09-28,tr,0R0o8uOkDz40XsR6uwThfQ
5,Tavşan,Contra,425970,2018-09-21--2018-09-28,tr,3wdHYmGpUpBtdGtKhbQMQ1
6,In My Mind,Dynoro,392244,2018-09-21--2018-09-28,tr,0E9ZjEAyAwOXZ7wJC0PD33
7,Tamam Tamam,Summer Cem,391304,2018-09-21--2018-09-28,tr,2eRq2jwsZtb0uGH4qUsvT1
8,Güzelliğine,Edis,381949,2018-09-21--2018-09-28,tr,69J8H2ujqGkJ4KSqp2YpRu
9,Kazıdık Tırnaklarla,Ezhel,379495,2018-09-21--2018-09-28,tr,27OWNTEEtJCFVejrh5mqgv
10,Bileklerime Kadar Acıyo,İdo Tatlıses,367194,2018-09-21--2018-09-28,tr,5MS3WBYfG0ESHzc6WnB9aZ
11,Beni Sev,Hande Yener,350283,2018-09-21--2018-09-28,tr,0bE8X3KwUifITMaibVR9eD
12,Thunderclouds,Sia,348700,2018-09-21--2018-09-28,tr,5a8RPWgKSmcGBGcffmIrUi
13,Dibine Dibine,Ece Seçkin,345257,2018-09-21--2018-09-28,tr,5GmOQzK89STZgfjwBlwrui
14,Boş Gemiler,Yüzyüzeyken Konuşuruz,322979,2018-09-21--2018-09-28,tr,5xOAQ5o5mPI2FZZEOu1NZL
15,Uyan,Velet,316261,2018-09-21--2018-09-28,tr,5jpgdY7oK3z09QCLZwPM3o
16,In My Feelings,Drake,306790,2018-09-21--2018-09-28,tr,2G7V7zsVDxg1yRsu7Ew9RJ
17,Falling Down - Bonus Track,Lil Peep,303340,2018-09-21--2018-09-28,tr,0Dn40gxVCMo5TkgS8Ik18Q
18,Ölüler Dirilerden Çalacak,Gazapizm,297175,2018-09-21--2018-09-28,tr,00hLEiQKIWXt0rd9SnBrXY
19,Kibir,Contra,296703,2018-09-21--2018-09-28,tr,5EzaGJdyyvIekeLFdWA7iY
20,İmkansızım,Ezhel,282737,2018-09-21--2018-09-28,tr,5Y3ZTBwRNrgj3AlXYASvDe
21,Yak Yak Yak,Şehinşah,282327,2018-09-21--2018-09-28,tr,4GjIoWGPLf7C8LcjK1UNlS
22,Vuracak,Merve Özbey,281032,2018-09-21--2018-09-28,tr,1jCv5QxEnfPyup6Kha3hNh
23,Solo (feat. Demi Lovato),Clean Bandit,277479,2018-09-21--2018-09-28,tr,6kPJZM97LwdG9QIsT7khp6
24,Yalnız Çiçek,Aleyna Tilki,269216,2018-09-21--2018-09-28,tr,4CCYUYAzFBvD2omNu9EGPI
25,AYIK OL,Contra,268968,2018-09-21--2018-09-28,tr,0NjXHzbMH49PE8fcgmYZPF
26,YERDEN YÜKSEK 2,Contra,267611,2018-09-21--2018-09-28,tr,67HY5uY06KnoJnGckIaanZ
27,Sensiz Ben Ne Olayım,Yalın,265038,2018-09-21--2018-09-28,tr,7lxdCKq3vq2r9vVTdSUTk7
28,Natural,Imagine Dragons,261566,2018-09-21--2018-09-28,tr,4zIO3ilp5HvTeK3HJHxhMP
29,Mary Jane (Ilkay Şencan Remix),Burry Soprano,259239,2018-09-21--2018-09-28,tr,4XE6trUWUlZqQ2wqrk0vJe
