Position,Track Name,Artist,Streams,date,region,id
1,Thanh Xuan,Da LAB,36635,2018-09-21--2018-09-28,vn,3b34161QoxLwsqhWSPy9i5
2,Way Back Home,SHAUN,29941,2018-09-21--2018-09-28,vn,3NxuezMdSLgt4OwHzBoUhL
3,Thunderclouds,Sia,27437,2018-09-21--2018-09-28,vn,5a8RPWgKSmcGBGcffmIrUi
4,Nến Và Hoa,Rhymastic,25337,2018-09-21--2018-09-28,vn,3zzyygDizZyE08d1yT9sXd
5,IDOL,BTS,24142,2018-09-21--2018-09-28,vn,03iCbZaM4OkRR4We6wIzvx
6,Hành Tinh Song Song,Vũ.,22258,2018-09-21--2018-09-28,vn,300fqwkGKipgr8Ith1YQo2
7,Nguoi Hay Quen Em DI,Mỹ Tâm,20202,2018-09-21--2018-09-28,vn,6XJsQ5nqCu8RUv9pv1iz1x
8,Better,Khalid,19427,2018-09-21--2018-09-28,vn,4T3fNx3CgwDRRYgmFCbD4J
9,Bùa Yêu,Bich Phuong,19143,2018-09-21--2018-09-28,vn,50NsdT6u77MIFociYnvzsG
10,Em mới là người yêu anh,Min,18737,2018-09-21--2018-09-28,vn,5s5WpwEoK2V0a1eZq8ES5Y
11,IDOL,BTS,18535,2018-09-21--2018-09-28,vn,2AIWoHr9DF6y4KALCBKWQS
12,Burn Out (feat. Dewain Whitmore),Martin Garrix,17729,2018-09-21--2018-09-28,vn,7IWTIkiWGWNQyYfOLdMrGD
13,Girls Like You (feat. Cardi B),Maroon 5,17657,2018-09-21--2018-09-28,vn,7fa9MBXhVfQ8P8Df9OEbD8
14,Happier,Marshmello,17512,2018-09-21--2018-09-28,vn,2dpaYNEQHiRxtZbfNsse99
15,Love Someone,Lukas Graham,17502,2018-09-21--2018-09-28,vn,2JqnpexlO9dmvjUMCaLCLJ
16,Be Alright,Dean Lewis,16534,2018-09-21--2018-09-28,vn,3EPXxR3ImUwfayaurPi3cm
17,Hôm Nay Tôi Buồn,Phùng Khánh Linh,16255,2018-09-21--2018-09-28,vn,4Jh1gihtrVUPcMebKpVGMk
18,Người Ta Có Thương Mình Đâu,Truc Nhan,15909,2018-09-21--2018-09-28,vn,6A1Fp35pdTxUD5mb5BpjJE
19,Eastside (with Halsey & Khalid),benny blanco,15741,2018-09-21--2018-09-28,vn,0d2iYfpKoM0QCKvcLCkBao
